,description
shock_ea_epsr1,Monetary policy shock
shock_rw_us_epszcon,Exte
shock_eab_gy3,EA-wide gov. investment shock
shock_eab_gy4,EA-wide gov. consumption shock
shock_ngeu,NGEU shock
shock_at_gc,Singly-country gov. consumption shock (AT)
shock_be_gc,Singly-country gov. consumption shock (BE)
shock_fi_gc,Singly-country gov. consumption shock (FI)
shock_fr_gc,Singly-country gov. consumption shock (FR)
shock_de_gc,Singly-country gov. consumption shock (DE)
shock_gr_gc,Singly-country gov. consumption shock (GR)
shock_it_gc,Singly-country gov. consumption shock (IT)
shock_nl_gc,Singly-country gov. consumption shock (NL)
shock_pt_gc,Singly-country gov. consumption shock (PT)
shock_es_gc,Singly-country gov. consumption shock (ES)
shock_ra_gc,Singly-country gov. consumption shock (RA)
shock_at_gi,Singly-country gov. investment shock (AT)
shock_be_gi,Singly-country gov. investment shock (BE)
shock_fi_gi,Singly-country gov. investment shock (FI)
shock_fr_gi,Singly-country gov. investment shock (FR)
shock_de_gi,Singly-country gov. investment shock (DE)
shock_gr_gi,Singly-country gov. investment shock (GR)
shock_it_gi,Singly-country gov. investment shock (IT)
shock_nl_gi,Singly-country gov. investment shock (NL)
shock_pt_gi,Singly-country gov. investment shock (PT)
shock_es_gi,Singly-country gov. investment shock (ES)
shock_ra_gi,Singly-country gov. investment shock (RA)
