,description,diffTransf,diffDesc
y,Output,pctDev,\% deviation
yst,Tradable ouput,pctDev,\% deviation
ysn,Non-tradable output,pctDev,\% deviation
c,Consumption,pctDev,\% deviation
ci,Consumption: Ricardian,pctDev,\% deviation
cj,Consumption: Non-Ricardian,pctDev,\% deviation
i,Private investmetn,pctDev,\% deviation
pic4,Annual CPI inflation,dev,abs. deviation
tot,Terms of trade,pctDev,\% deviation
reer,Real effective exchange rate,pctDev,\% deviation
tby,Trade balance,dev,abs. deviation
by,Government debt ratio,dev,abs. deviation
w,Real wage,pctDev,\% deviation
nd,Hours worked,pctDev,\% deviation
rr,Real interest rate,pctDev,\% deviation
r,Nominal interest rate,pctDev,\% deviation
cg,Government consumption,pctDev,\% deviation
ig,Government investment,pctDev,\% deviation
