,,,TradeMatrix_calibrated_int,,,,,,,,,,,,,,,,OECD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,imcy,,,,,,,,,,,,,,
imcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US
EAA,,0.000887,,0.000898,0.000885,0.000913,0.000885,0.000886,0.000905,0.000892,0.000885,0.00083,0.000626,0.00052,,EAA,0,0.0109,0.0081,0.0018,0.0083,0.0033,0.002,0.0061,0.0061,0.0026,0.0017,0.0052,0.0021,0.0004
EAB,0.000871,,0.000872,,0.000869,0.000897,0.000869,0.00087,0.000889,0.000876,0.000869,0.000815,0.000615,0.000511,,EAB,0.0074,0,0.0016,0.0008,0.0013,0.0012,0.0021,0.0007,0.0031,0.0023,0.0009,0.0066,0.0009,0.0003
EAC,0.001085,0.001085,,0.001098,,0.001117,0.001082,0.001084,0.001107,0.001091,0.001083,0.001016,0.000766,0.000636,,EAC,0.0081,0.0023,0,0.0022,0.0028,0.0073,0.0037,0.0032,0.0035,0.0131,0.0036,0.0045,0.0013,0.0007
EAD,0.002884,0.002884,0.002887,,0.002878,,0.002877,0.002881,0.002944,0.002899,0.002877,0.0027,0.002037,0.001691,,EAD,0.0042,0.0033,0.0067,0,0.0034,0.0115,0.0062,0.0056,0.0075,0.0046,0.0588,0.0051,0.0024,0.0008
EAE,0.000535,0.000534,0.000535,0.000541,,0.00055,,0.000534,0.000546,0.000537,0.000533,0.0005,0.000377,0.000313,,EAE,0.0026,0.0005,0.0008,0.0005,0,0.0005,0.0005,0.0006,0.0004,0.0008,0.0003,0.0008,0.0006,0.0002
EAF,0.005785,0.005785,0.005792,0.005853,0.005773,,0.005771,,0.005905,0.005814,0.005772,0.005415,0.004085,0.003391,,EAF,0.0112,0.0051,0.0354,0.0143,0.0051,0,0.0089,0.0094,0.0128,0.0098,0.0154,0.0091,0.0043,0.0017
EAG,0.000476,0.000476,0.000476,0.000481,0.000475,0.00049,,0.000475,,0.000478,0.000475,0.000445,0.000336,0.000279,,EAG,0.0011,0.0008,0.0006,0.0005,0.0006,0.0005,0,0.0002,0.0012,0.0006,0.0004,0.0009,0.0006,0.0003
EAH,0.000681,0.000681,0.000682,0.000689,0.000679,0.000701,0.000679,,0.000695,,0.000679,0.000637,0.000481,0.000399,,EAH,0.0021,0.0013,0.0048,0.0023,0.0031,0.0025,0.0018,0,0.0036,0.0042,0.0029,0.0029,0.0018,0.0021
EAI,0.004354,0.004354,0.004359,0.004405,0.004345,0.004482,0.004344,0.004349,,0.004376,,0.004076,0.003075,0.002552,,EAI,0.013,0.0122,0.0069,0.0075,0.0036,0.0103,0.0147,0.0048,0,0.004,0.0083,0.0072,0.0032,0.0016
EAJ,0.001746,0.001746,0.001748,0.001767,0.001742,0.001797,0.001742,0.001744,0.001782,,0.001742,,0.001233,0.001023,,EAJ,0.0049,0.0042,0.0283,0.0037,0.0064,0.0054,0.0065,0.007,0.0048,0,0.0064,0.0108,0.0023,0.0007
EAK,0.000488,0.000488,0.000489,0.000494,0.000487,0.000503,0.000487,0.000488,0.000498,0.000491,,0.000457,,0.000286,,EAK,0.0009,0.0008,0.0014,0.0053,0.0008,0.002,0.0007,0.0014,0.0008,0.0009,0,0.0009,0.0004,0.0002
EAL,0.007642,0.007641,0.007651,0.007732,0.007626,0.007867,0.007624,0.007633,0.0078,0.007681,0.007624,,0.005397,,,EAL,0.026,0.0523,0.0233,0.0116,0.0158,0.0177,0.0171,0.0096,0.0165,0.0219,0.0181,0,0.0076,0.0036
RW,,0.10367,0.103799,0.104902,0.103467,0.10673,0.103431,0.103555,0.105821,0.104202,0.103439,0.09705,,0.060778,,RW,0.1119,0.0775,0.0702,0.0706,0.0913,0.0704,0.1071,0.0699,0.0724,0.0854,0.0643,0.0868,0,0.0648
US,0.041134,,0.041181,0.041619,0.041049,0.042344,0.041035,0.041084,0.041983,0.041341,0.041038,0.038503,0.029047,,,US,0.0081,0.0063,0.0115,0.0076,0.0088,0.0088,0.0083,0.0312,0.0059,0.0164,0.005,0.0099,0.0197,0
Total,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,0.17136,,Total,0.2015,0.1775,0.1996,0.1287,0.1513,0.1414,0.1796,0.1497,0.1386,0.1666,0.1861,0.1507,0.0472,0.0774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imcgy,,,,,,,,,,,,,,,,imcgy,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US
EAA,,9.90E-05,,0.0001,9.80E-05,0.000101,9.80E-05,9.80E-05,0.000101,9.90E-05,9.80E-05,9.20E-05,7.00E-05,5.80E-05,,EAA,0,0.0019,0.0016,0.0003,0.0015,0.0004,0.0003,0.0009,0.0009,0.0006,0.0002,0.0006,0.0002,0
EAB,9.70E-05,,9.70E-05,,9.70E-05,0.0001,9.70E-05,9.70E-05,9.90E-05,9.70E-05,9.70E-05,9.10E-05,6.80E-05,5.70E-05,,EAB,0.0013,0,0.0004,0.0001,0.0004,0.0002,0.0003,0.0001,0.0003,0.0004,0.0001,0.0008,0.0001,0
EAC,0.000121,0.000121,,0.000122,,0.000124,0.00012,0.00012,0.000123,0.000121,0.00012,0.000113,8.50E-05,7.10E-05,,EAC,0.002,0.0005,0,0.0006,0.0009,0.0013,0.001,0.0009,0.0007,0.003,0.0008,0.0006,0.0002,0.0001
EAD,0.00032,0.00032,0.000321,,0.00032,,0.00032,0.00032,0.000327,0.000322,0.00032,0.0003,0.000226,0.000188,,EAD,0.0006,0.0004,0.0014,0,0.0005,0.0013,0.0008,0.0008,0.0007,0.0008,0.0054,0.0005,0.0003,0.0001
EAE,5.90E-05,5.90E-05,5.90E-05,6.00E-05,,6.10E-05,,5.90E-05,6.10E-05,6.00E-05,5.90E-05,5.60E-05,4.20E-05,3.50E-05,,EAE,0.0004,0.0001,0.0002,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0003,0,0.0001,0.0001,0
EAF,0.000643,0.000643,0.000644,0.00065,0.000641,,0.000641,,0.000656,0.000646,0.000641,0.000602,0.000454,0.000377,,EAF,0.0021,0.0008,0.0068,0.0022,0.0012,0,0.0017,0.0015,0.0015,0.0019,0.0018,0.0012,0.0006,0.0002
EAG,5.30E-05,5.30E-05,5.30E-05,5.30E-05,5.30E-05,5.40E-05,,5.30E-05,,5.30E-05,5.30E-05,4.90E-05,3.70E-05,3.10E-05,,EAG,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0
