Fabios original matrix (worked),,,,,,,,,,,,,,,,Fabio's corrected matrix (does not work),,,,,,,,,,,,,,,,Fabios original calculations with new total values and sizes (worked) ,,,,,,,,,,,,,,,,Fabio's corrected calculations with new total values and new sizes (failed) ,,,,,,,,,,,,,,
imcy,,,,,,,,,,,,,,,,imcy,,,,,,,,,,,,,,,,imcy,,,,,,,,,,,,,,,,imcy,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US
EAA,,0.000857,,0.000867,0.000855,0.000882,0.000855,0.000856,0.000875,0.000861,0.000855,0.000975,0.001001,0.000442,,EAA,,0.002304,,0.002299,0.002392,0.002316,0.00236,0.002307,0.002298,0.002382,0.002306,0.002214,0.001849,0.001199,,EAA,,0.000798,,0.000807,0.000796,0.000821,0.000796,0.000797,0.000814,0.000802,0.000796,0.000924,0.000626,0.00052,,EAA,,0.000887,,0.000898,0.000885,0.000913,0.000885,0.000886,0.000905,0.000892,0.000885,0.00083,0.000626,0.00052
EAB,0.000841,,0.000842,,0.00084,0.000866,0.000839,0.00084,0.000859,0.000846,0.000839,0.000957,0.000983,0.000434,,EAB,0.00101,,0.001004,,0.001041,0.001008,0.001027,0.001004,0.001,0.001037,0.001004,0.000964,0.000805,0.000522,,EAB,0.000783,,0.000784,,0.000782,0.000806,0.000781,0.000782,0.0008,0.000787,0.000782,0.000907,0.000615,0.000511,,EAB,0.000871,,0.000872,,0.000869,0.000897,0.000869,0.00087,0.000889,0.000876,0.000869,0.000815,0.000615,0.000511
EAC,0.001048,0.001048,,0.00106,,0.001079,0.001045,0.001047,0.00107,0.001053,0.001046,0.001192,0.001225,0.000541,,EAC,0.001305,0.001296,,0.001293,,0.001303,0.001328,0.001298,0.001293,0.00134,0.001298,0.001246,0.00104,0.000675,,EAC,0.000976,0.000976,,0.000987,,0.001004,0.000973,0.000974,0.000996,0.000981,0.000973,0.00113,0.000766,0.000636,,EAC,0.001085,0.001085,,0.001098,,0.001117,0.001082,0.001084,0.001107,0.001091,0.001083,0.001016,0.000766,0.000636
EAD,0.002786,0.002785,0.002789,,0.00278,,0.002779,0.002782,0.002843,0.0028,0.002779,0.00317,0.003256,0.001437,,EAD,0.000641,0.000636,0.000637,,0.00066,,0.000652,0.000637,0.000634,0.000658,0.000637,0.000611,0.000511,0.000331,,EAD,0.002593,0.002593,0.002596,,0.002588,,0.002587,0.00259,0.002647,0.002606,0.002587,0.003002,0.002037,0.001691,,EAD,0.002884,0.002884,0.002887,,0.002878,,0.002877,0.002881,0.002944,0.002899,0.002877,0.0027,0.002037,0.001691
EAE,0.000516,0.000516,0.000517,0.000522,,0.000531,,0.000516,0.000527,0.000519,0.000515,0.000587,0.000603,0.000266,,EAE,0.007752,0.007696,0.007709,0.007681,,0.007738,,0.007708,0.007676,0.007959,0.007706,0.007398,0.006179,0.004006,,EAE,0.000481,0.000481,0.000481,0.000486,,0.000495,,0.00048,0.000491,0.000483,0.000479,0.000556,0.000377,0.000313,,EAE,0.000535,0.000534,0.000535,0.000541,,0.00055,,0.000534,0.000546,0.000537,0.000533,0.0005,0.000377,0.000313
EAF,0.005588,0.005587,0.005594,0.005654,0.005576,,0.005574,,0.005703,0.005616,0.005575,0.006358,0.00653,0.002883,,EAF,0.001994,0.00198,0.001983,0.001976,0.002056,,0.002028,,0.001975,0.002047,0.001982,0.001903,0.001589,0.001031,,EAF,0.005202,0.005201,0.005208,0.005263,0.005191,,0.005189,,0.005309,0.005228,0.00519,0.006023,0.004085,0.003391,,EAF,0.005785,0.005785,0.005792,0.005853,0.005773,,0.005771,,0.005905,0.005814,0.005772,0.005415,0.004085,0.003391
EAG,0.00046,0.00046,0.00046,0.000465,0.000459,0.000473,,0.000459,,0.000462,0.000458,0.000523,0.000537,0.000237,,EAG,0.005387,0.005348,0.005357,0.005337,0.005553,0.005377,,0.005356,,0.005531,0.005355,0.005141,0.004294,0.002784,,EAG,0.000428,0.000428,0.000428,0.000433,0.000427,0.00044,,0.000427,,0.00043,0.000427,0.000495,0.000336,0.000279,,EAG,0.000476,0.000476,0.000476,0.000481,0.000475,0.00049,,0.000475,,0.000478,0.000475,0.000445,0.000336,0.000279
EAH,0.000657,0.000657,0.000658,0.000665,0.000656,0.000677,0.000656,,0.000671,,0.000656,0.000748,0.000768,0.000339,,EAH,0.001295,0.001286,0.001288,0.001283,0.001335,0.001293,0.001318,,0.001283,,0.001288,0.001236,0.001032,0.000669,,EAH,0.000612,0.000612,0.000613,0.000619,0.000611,0.00063,0.000611,,0.000625,,0.000611,0.000709,0.000481,0.000399,,EAH,0.000681,0.000681,0.000682,0.000689,0.000679,0.000701,0.000679,,0.000695,,0.000679,0.000637,0.000481,0.000399
EAI,0.004205,0.004205,0.00421,0.004255,0.004197,0.004329,0.004195,0.0042,,0.004227,,0.004785,0.004915,0.00217,,EAI,0.000537,0.000533,0.000534,0.000532,0.000553,0.000536,0.000546,0.000534,,0.000551,,0.000512,0.000428,0.000277,,EAI,0.003915,0.003915,0.00392,0.003961,0.003907,0.00403,0.003906,0.00391,,0.003935,,0.004533,0.003075,0.002552,,EAI,0.004354,0.004354,0.004359,0.004405,0.004345,0.004482,0.004344,0.004349,,0.004376,,0.004076,0.003075,0.002552
EAJ,0.001686,0.001686,0.001688,0.001706,0.001683,0.001736,0.001682,0.001684,0.001721,,0.001682,,0.001971,0.00087,,EAJ,0.007026,0.006975,0.006987,0.006961,0.007243,0.007013,0.007147,0.006986,0.006957,,0.006984,,0.0056,0.003631,,EAJ,0.00157,0.00157,0.001572,0.001588,0.001567,0.001616,0.001566,0.001568,0.001602,,0.001566,,0.001233,0.001023,,EAJ,0.001746,0.001746,0.001748,0.001767,0.001742,0.001797,0.001742,0.001744,0.001782,,0.001742,,0.001233,0.001023
