imcy,,,,,,,,,,,,,,,,_imy,,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAA,,0.010949,0.008084,0.001788,0.008301,0.00333,0.002038,0.006119,0.006069,0.002628,0.001727,0.005193,0.000611,0.000523,,EAA,0,0.0181,0.0129,0.003,0.0138,0.0051,0.0028,0.0095,0.0088,0.0044,0.0025,0.0081,0.0011,0.0008,
EAB,0.007427,,0.001607,0.000758,0.0013,0.001228,0.002056,0.0007,0.003136,0.002305,0.000851,0.006553,0.0006,0.000514,,EAB,0.0122,0,0.0031,0.0015,0.0027,0.0022,0.003,0.0015,0.0047,0.0036,0.0015,0.0107,0.001,0.0008,
EAC,0.008053,0.002307,,0.002195,0.002799,0.00732,0.003708,0.003202,0.00347,0.013117,0.003632,0.004483,0.000747,0.00064,,EAC,0.0125,0.0041,0,0.0037,0.0053,0.0118,0.0054,0.0084,0.0053,0.0216,0.0056,0.0069,0.0013,0.001,
EAD,0.004186,0.003319,0.006726,,0.003383,0.011492,0.006153,0.005629,0.007536,0.004562,0.058762,0.00512,0.001986,0.001701,,EAD,0.0064,0.0055,0.0111,0,0.0051,0.0167,0.008,0.0086,0.0102,0.007,0.0819,0.0075,0.0034,0.0026,
EAE,0.00261,0.000536,0.000758,0.000453,,0.000479,0.000522,0.000594,0.00039,0.000839,0.000312,0.000837,0.000368,0.000315,,EAE,0.0046,0.0012,0.0014,0.0009,0,0.0009,0.0007,0.0017,0.0007,0.0018,0.0006,0.0015,0.0006,0.0005,
EAF,0.011202,0.005053,0.035367,0.014322,0.005062,,0.008884,0.00944,0.012836,0.009794,0.015359,0.009061,0.003983,0.003411,,EAF,0.0186,0.0086,0.0566,0.0231,0.0089,0,0.0135,0.0276,0.0184,0.0153,0.022,0.015,0.0069,0.0053,
EAG,0.001105,0.00078,0.000604,0.00047,0.000564,0.000519,,0.000243,0.001221,0.000562,0.000367,0.000876,0.000328,0.000281,,EAG,0.0014,0.001,0.0008,0.0006,0.0007,0.0006,0,0.0004,0.0015,0.0007,0.0005,0.001,0.0006,0.0004,
EAH,0.002101,0.001311,0.004757,0.002335,0.00315,0.002479,0.001799,,0.003606,0.004164,0.002919,0.002868,0.000469,0.000401,,EAH,0.0041,0.0032,0.0091,0.0049,0.0071,0.0049,0.003,0,0.0062,0.0084,0.0051,0.0058,0.0008,0.0006,
EAI,0.013022,0.012225,0.006896,0.007476,0.003639,0.010322,0.014735,0.004812,,0.003974,0.008312,0.007178,0.002998,0.002567,,EAI,0.0213,0.0195,0.0133,0.0131,0.0072,0.0163,0.022,0.0099,0,0.0066,0.0134,0.0114,0.0052,0.004,
EAJ,0.004925,0.004248,0.028328,0.003716,0.006375,0.005443,0.006531,0.007026,0.004765,,0.006391,0.010762,0.001202,0.00103,,EAJ,0.0072,0.0069,0.0449,0.006,0.0107,0.0082,0.0086,0.0149,0.0071,0,0.0094,0.0147,0.0021,0.0016,
EAK,0.000937,0.000791,0.001418,0.005275,0.000785,0.002002,0.000703,0.001375,0.00075,0.000935,,0.000906,0.000341,0.000288,,EAK,0.0012,0.0013,0.0024,0.0076,0.0012,0.0028,0.0009,0.0019,0.001,0.0013,0,0.0013,0.0006,0.0004,
EAL,0.025984,0.052306,0.023252,0.011605,0.015767,0.01769,0.017129,0.009608,0.01649,0.021926,0.018125,,0.005262,0.004506,,EAL,0.0488,0.0971,0.0451,0.0228,0.0314,0.0311,0.025,0.0239,0.0265,0.0387,0.0291,0,0.0091,0.007,
RW,0.111912,0.07752,0.070178,0.07061,0.091289,0.070375,0.107121,0.069943,0.072374,0.085385,0.064281,0.086845,,0.061138,,RW,0.1753,0.1315,0.1292,0.1055,0.1589,0.1064,0.1426,0.1387,0.1033,0.1403,0.0874,0.1362,0,0.0946,
US,0.00809,0.006264,0.011513,0.007576,0.008758,0.008764,0.008285,0.031186,0.005885,0.016396,0.004999,0.00986,0.019705,,,US,0.0144,0.0119,0.0229,0.0127,0.0175,0.0159,0.0116,0.0852,0.0089,0.0308,0.0073,0.0169,0.0405,0,
Total,0.201554,0.177609,0.199488,0.128579,0.151172,0.141443,0.179664,0.149877,0.138528,0.166587,0.186037,0.150542,0.0386,0.077315,,Total,0.328,0.3099,0.353,0.2054,0.2703,0.2231,0.2472,0.3321,0.2025,0.2805,0.2664,0.2371,0.0732,0.1197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imcgy,,,,,,,,,,,,,,,,_rer,,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAA,,0.001949,0.001642,0.000314,0.001537,0.000387,0.000319,0.000875,0.000874,0.000575,0.000244,0.000602,8.50E-05,5.50E-05,,EAA,,1.0281,1.0319,0.9141,1.2289,1.0439,1.2039,1.0023,0.9871,0.98,0.9719,1.0327,1.3852,1.5681,
EAB,0.001317,,0.000431,0.000133,0.000372,0.000237,0.000269,0.000122,0.000338,0.000443,0.000123,0.000782,8.40E-05,5.40E-05,,EAB,0.9727,,,,,,,,,,,,,,
EAC,0.001959,0.000518,,0.000586,0.000867,0.001314,0.000959,0.00088,0.000665,0.003015,0.000779,0.000607,0.000104,6.70E-05,,EAC,0.969086152,,,,,,,,,,,,,,
EAD,0.00063,0.000446,0.001418,,0.000536,0.001268,0.000835,0.000814,0.000658,0.000755,0.005396,0.000518,0.000277,0.000179,,EAD,1.093972213,,,,,,,,,,,,,,
EAE,0.000396,0.00011,0.000169,0.000103,,9.60E-05,5.70E-05,0.000138,5.00E-05,0.000254,4.30E-05,0.000132,5.10E-05,3.30E-05,,EAE,0.813735861,,,,,,,,,,,,,,
EAF,0.002094,0.000756,0.006792,0.002169,0.001173,,0.001709,0.001462,0.001451,0.001857,0.00177,0.001242,0.000556,0.000359,,EAF,0.957946163,,,,,,,,,,,,,,
EAG,0.000119,5.10E-05,8.40E-05,5.80E-05,4.80E-05,4.50E-05,,3.20E-05,7.40E-05,5.60E-05,4.40E-05,6.10E-05,4.60E-05,3.00E-05,,EAG,0.830633774,,,,,,,,,,,,,,
EAH,0.000685,0.000427,0.002222,0.000957,0.001469,0.000919,0.000845,,0.000934,0.001132,0.001016,0.001052,6.50E-05,4.20E-05,,EAH,0.997705278,,,,,,,,,,,,,,
EAI,0.001701,0.001255,0.002022,0.001138,0.000783,0.001331,0.001927,0.000976,,0.0007,0.000977,0.000755,0.000419,0.00027,,EAI,1.013068585,,,,,,,,,,,,,,
EAJ,0.000731,0.000677,0.005311,0.00062,0.001507,0.000824,0.000724,0.001655,0.000549,,0.000766,0.001199,0.000168,0.000108,,EAJ,1.020408163,,,,,,,,,,,,,,
EAK,7.90E-05,8.40E-05,0.000297,0.000581,0.000139,0.000184,7.80E-05,0.000137,6.90E-05,0.000149,,8.60E-05,4.90E-05,3.00E-05,,EAK,1.02891244,,,,,,,,,,,,,,
EAL,0.004701,0.007395,0.004358,0.002174,0.003645,0.002905,0.003195,0.001974,0.001776,0.004266,0.002072,,0.000735,0.000477,,EAL,0.968335431,,,,,,,,,,,,,,
RW,0.018591,0.014662,0.016057,0.010375,0.021907,0.010487,0.013922,0.011456,0.008622,0.018067,0.007753,0.011481,,0.006437,,RW,0.721917413,,,,,,,,,,,,,,
US,0.001703,0.00209,0.003792,0.002514,0.003025,0.00246,0.001095,0.007128,0.001051,0.004997,0.000638,0.002227,0.003956,,,US,0.637714431,,,,,,,,,,,,,,
Total,0.034706,0.03042,0.044595,0.021722,0.037008,0.022457,0.025934,0.027649,0.017111,0.036266,0.021621,0.020744,0.006595,0.008141,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,_y,,,,,,,,,,,,,,,
imiy,,,,,,,,,,,,,,,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,4.0085,3.9501,3.95,3.98,3.84,3.92,3.87,4.17,3.94,4.0044,3.91,3.93,4.93,4.91,
EAA,,0.004649,0.002834,0.000811,0.003562,0.001229,0.000443,0.002258,0.001672,0.001072,0.000489,0.002071,0.000326,0.000208,,,,,,,,,,,,,,,,,
EAB,0.003102,,0.000923,0.000522,0.000949,0.00065,0.000626,0.000621,0.001138,0.000796,0.000431,0.003063,0.00032,0.000205,,_py,,,,,,,,,,,,,,,
EAC,0.002247,0.001106,,0.00087,0.001469,0.00289,0.000674,0.003863,0.001047,0.004899,0.001074,0.001597,0.000399,0.000255,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAD,0.001456,0.001596,0.002691,,0.001061,0.003591,0.000884,0.001947,0.001779,0.001556,0.015992,0.001702,0.00106,0.000677,,,1.045,0.9954,0.988,1.0286,0.9404,0.9856,0.9409,1.0234,1.0062,1.035,0.9896,1.0047,0.9832,0.9578,
EAE,0.00146,0.00052,0.000447,0.000337,,0.000325,0.00014,0.000886,0.000215,0.000636,0.000219,0.000483,0.000196,0.000126,,,,,,,,,,,,,,,,,
EAF,0.004813,0.002539,0.013034,0.005975,0.002436,,0.002613,0.015019,0.00367,0.003312,0.004426,0.00424,0.002126,0.001358,,_py*_y,,,,,,,,,,,,,,,
EAG,0.000156,0.000132,0.000128,7.70E-05,6.70E-05,6.10E-05,,9.20E-05,0.000174,7.50E-05,6.10E-05,9.70E-05,0.000175,0.000112,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAH,0.001145,0.001297,0.001903,0.001416,0.00219,0.001392,0.000308,,0.001501,0.002807,0.00107,0.001673,0.00025,0.00016,,,4.1888825,3.93192954,3.9026,4.093828,3.611136,3.863552,3.641283,4.267578,3.964428,4.144554,3.869336,3.948471,4.847176,4.702798,
EAI,0.005875,0.005448,0.003967,0.004016,0.002458,0.004168,0.004796,0.003687,,0.001689,0.003705,0.003096,0.0016,0.001022,,,,,,,,,,,,,,,,,
EAJ,0.001396,0.001789,0.010172,0.00149,0.002529,0.001781,0.001209,0.005555,0.001596,,0.002012,0.002461,0.000642,0.00041,,_size,,,,,,,,,,,,,,,
EAK,0.000156,0.000364,0.000618,0.001601,0.000257,0.000543,9.80E-05,0.000351,0.000182,0.000214,,0.000314,0.00018,0.000115,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAL,0.016304,0.033634,0.015784,0.008096,0.010756,0.009444,0.004209,0.011069,0.007394,0.011234,0.00797,,0.002809,0.001794,,,0.0052,0.0051,0.0063,0.0167,0.0031,0.0336,0.0028,0.004,0.0253,0.0101,0.0028,0.0444,0.6019,0.2388,
RW,0.0403,0.035417,0.038698,0.022073,0.041107,0.022955,0.019434,0.051595,0.020058,0.033174,0.013854,0.034053,,0.024346,,,,,,,,,,,,,,,,,
US,0.004146,0.003165,0.006865,0.002335,0.00511,0.00421,0.002038,0.04219,0.00178,0.008448,0.001528,0.004356,0.015118,,,,,,,,,,,,,,,,,,
Total,0.082556,0.091656,0.098064,0.049619,0.073951,0.053239,0.037472,0.139133,0.042206,0.069912,0.052831,0.059206,0.025201,0.030788,,_pex ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
