variable,year,value
ATBE_imcgy,1995,0.000477
ATBE_imcgy,1996,0.000504
ATBE_imcgy,1997,0.000478
ATBE_imcgy,1998,0.000486
ATBE_imcgy,1999,0.000481
ATBE_imcgy,2000,0.000453
ATBE_imcgy,2001,0.000435
ATBE_imcgy,2002,0.000408
ATBE_imcgy,2003,0.000406
ATBE_imcgy,2004,0.000461
ATBE_imcgy,2005,0.000456
ATBE_imcgy,2006,0.000374
ATBE_imcgy,2007,0.000381
ATBE_imcgy,2008,0.000482
ATBE_imcgy,2009,0.000498
ATBE_imcgy,2010,0.000510
ATBE_imcgy,2011,0.000494
ATBE_imcgy,2012,0.000523
ATBE_imcgy,2013,0.000519
ATBE_imcgy,2014,0.000527
ATBE_imcgy,2015,0.000501
ATBE_imcgy,2016,0.000537
ATBE_imcgy,2017,0.000559
ATBE_imcgy,2018,0.000539
ATBE_imcgy,2019,0.000523
ATBE_imcgy,2020,0.000546
ATBE_imcgy,average,0.000490
ATBE_imcy,1995,0.003326
ATBE_imcy,1996,0.003194
ATBE_imcy,1997,0.003169
ATBE_imcy,1998,0.003111
ATBE_imcy,1999,0.002847
ATBE_imcy,2000,0.002880
ATBE_imcy,2001,0.002794
ATBE_imcy,2002,0.002756
ATBE_imcy,2003,0.002673
ATBE_imcy,2004,0.002888
ATBE_imcy,2005,0.002697
ATBE_imcy,2006,0.002292
ATBE_imcy,2007,0.002351
ATBE_imcy,2008,0.002472
ATBE_imcy,2009,0.002298
ATBE_imcy,2010,0.002467
ATBE_imcy,2011,0.002404
ATBE_imcy,2012,0.002354
ATBE_imcy,2013,0.002450
ATBE_imcy,2014,0.002455
ATBE_imcy,2015,0.002189
ATBE_imcy,2016,0.002215
ATBE_imcy,2017,0.002169
ATBE_imcy,2018,0.002047
ATBE_imcy,2019,0.002039
ATBE_imcy,2020,0.002005
ATBE_imcy,average,0.002474
ATBE_imigy,1995,0.000045
ATBE_imigy,1996,0.000044
ATBE_imigy,1997,0.000043
ATBE_imigy,1998,0.000043
ATBE_imigy,1999,0.000037
ATBE_imigy,2000,0.000039
ATBE_imigy,2001,0.000042
ATBE_imigy,2002,0.000044
ATBE_imigy,2003,0.000040
ATBE_imigy,2004,0.000046
ATBE_imigy,2005,0.000045
ATBE_imigy,2006,0.000040
ATBE_imigy,2007,0.000042
ATBE_imigy,2008,0.000045
ATBE_imigy,2009,0.000041
ATBE_imigy,2010,0.000040
ATBE_imigy,2011,0.000040
ATBE_imigy,2012,0.000041
ATBE_imigy,2013,0.000043
ATBE_imigy,2014,0.000046
ATBE_imigy,2015,0.000038
ATBE_imigy,2016,0.000037
ATBE_imigy,2017,0.000035
ATBE_imigy,2018,0.000038
ATBE_imigy,2019,0.000041
ATBE_imigy,2020,0.000040
ATBE_imigy,average,0.000042
ATBE_imiy,1995,0.001887
ATBE_imiy,1996,0.001780
ATBE_imiy,1997,0.001723
ATBE_imiy,1998,0.001680
ATBE_imiy,1999,0.001424
ATBE_imiy,2000,0.001606
ATBE_imiy,2001,0.001592
ATBE_imiy,2002,0.001504
ATBE_imiy,2003,0.001342
ATBE_imiy,2004,0.001519
ATBE_imiy,2005,0.001380
ATBE_imiy,2006,0.001236
ATBE_imiy,2007,0.001324
ATBE_imiy,2008,0.001406
ATBE_imiy,2009,0.001225
ATBE_imiy,2010,0.001164
ATBE_imiy,2011,0.001175
ATBE_imiy,2012,0.001215
ATBE_imiy,2013,0.001256
ATBE_imiy,2014,0.001285
ATBE_imiy,2015,0.001101
ATBE_imiy,2016,0.001104
ATBE_imiy,2017,0.001092
ATBE_imiy,2018,0.001054
ATBE_imiy,2019,0.001151
ATBE_imiy,2020,0.001100
ATBE_imiy,average,0.001306
ATDE_imcgy,1995,0.006509
ATDE_imcgy,1996,0.006368
ATDE_imcgy,1997,0.006351
ATDE_imcgy,1998,0.006392
ATDE_imcgy,1999,0.006609
ATDE_imcgy,2000,0.006077
ATDE_imcgy,2001,0.006654
ATDE_imcgy,2002,0.006170
ATDE_imcgy,2003,0.006874
ATDE_imcgy,2004,0.006685
ATDE_imcgy,2005,0.007000
ATDE_imcgy,2006,0.007315
ATDE_imcgy,2007,0.007350
ATDE_imcgy,2008,0.007413
