,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
RA,0.0,0.0020230709452514566,0.0038655628144948586,0.0010199250981467653,0.002192217631568191,0.0010664598951543487,0.001190780632112319,0.0013010250090831107,0.001316889112928844,0.0009550427040474024,0.0015489930623791184,0.0020798751451350994,0.0005129850964505431,0.00017997710777071661
AT,0.0007878133345430819,0.0,0.0003863901641608214,0.0001279743080735524,0.00032125606219419285,0.0001942714956498989,0.00026697468025625097,0.0003214217895246465,0.00038077050804716597,0.00011626114556302451,0.000676661241297551,0.0008652567530886159,9.534165282308398e-05,2.795379978799837e-05
BE,0.0013772173459012692,0.0004901290532467846,0.0,0.0005496051690713214,0.0008275076088529622,0.0011045769774889118,0.000975764737925012,0.0006088517022000158,0.002756129153095817,0.0006783694226991353,0.0006047608363308788,0.0009622032413756715,0.00019377396745336558,8.177316277032371e-05
ES,0.0007293281398733184,0.0004589103414568356,0.0012729804606910053,0.0,0.0004834602078838856,0.001086690877179257,0.000812508750565516,0.0005767380937383417,0.0007046168783402257,0.004609438333405943,0.0005005390857897748,0.0006753844944559041,0.00025607868476064003,8.17882121057191e-05
FI,0.0002950591628228949,0.00015982762559242284,0.00020473723031230406,0.00012731278763468003,0.0,0.00011719424316560597,0.00017877510830555668,7.46508881839981e-05,0.00027348718622599675,7.020261379974485e-05,0.000156475133299683,0.0006199251180138752,8.630726465147773e-05,2.4793224914821384e-05
FR,0.001812566770591662,0.0008707547369299114,0.005499747554992031,0.002127687281355839,0.001164752158543412,0.0,0.00186213711193528,0.0014372731632542638,0.0019088229254121038,0.0016724625931892195,0.0012925465115142323,0.0016111938855935164,0.0006053747437303103,0.00020730294044970523
GR,0.00018105342473478448,5.044746895228019e-05,7.17793399926489e-05,4.9277153075075106e-05,5.026346285340616e-05,4.097130095696678e-05,0.0,8.794726763277926e-05,5.101928360622059e-05,3.676860063078208e-05,6.53345305295858e-05,0.00016012533400850575,4.554691832527648e-05,2.9358568316365735e-05
IT,0.001645626582737709,0.0013839483722545365,0.0017762607962557389,0.0013056781512898756,0.0007729877483318854,0.001402490341961184,0.0029945416339460015,0.0,0.0007144870962952741,0.0009215851076486743,0.0007906276930115687,0.0012942775588115556,0.00039653018267598217,0.00013075837484260842
NL,0.0012247485331035458,0.0007192861850850499,0.005006748052878765,0.0006070275647848919,0.001299394595539505,0.000745547755645383,0.0008020393909473131,0.000524443866735516,0.0,0.0007074603956412751,0.0011188099226081766,0.0012587246938454055,0.0003237981860884518,8.566815807933704e-05
PT,0.0001115184963330854,7.914859879555314e-05,0.00023785406386299014,0.0005020864301601306,0.00011867240749742004,0.00016012025716172264,5.43873952751192e-05,6.533182906043848e-05,0.0001370613372333899,0.0,9.079911660649303e-05,0.00010735766328315681,4.127463760822269e-05,1.5892352060963122e-05
DE,0.003415359588858724,0.007165071088341229,0.004174141086036726,0.002187774011449927,0.0032496931092285833,0.0025488600714386983,0.0033253439863537865,0.0017953070370862485,0.004014226964480786,0.0019446836892204483,0.0,0.00445120416195195,0.0009577847961936167,0.0003398764999459158
RU,0.003097511079877767,0.0037421916471121123,0.002807471309893933,0.001033310806282332,0.00627767403134817,0.0012218612130769334,0.0016934230866952483,0.0008449926737024822,0.001988755015483906,0.000704313418957543,0.0018487094258387033,0.0,0.0005829948426899809,0.00014792679769487645
RW,0.012022632824215685,0.008283344472029983,0.010926241458587456,0.008002249442180974,0.01174178209804883,0.007948343883389176,0.009584441144815667,0.006692552786119922,0.013029783019444569,0.006430968467099625,0.008310919391019288,0.010334297882463771,0.0,0.0065787581598152544
US,0.004680620879408482,0.001975713308159542,0.003644411563527308,0.002101998540694247,0.002784092467487374,0.0025513004105425408,0.0012891306162817182,0.0010682342434311768,0.004787592193593663,0.0006568055601086875,0.0022567715931242063,0.0018096995735163593,0.0027253723777025964,0.0
Total,0.03138105616300201,0.027401843843207693,0.03987432589568659,0.01974190674419961,0.03128375358937782,0.020188688722810627,0.025030248275414793,0.015398770349752941,0.03206364067418797,0.019504362052011504,0.01926194754334926,0.02622952550554339,0.006823163351153547,0.007931827358554605
