,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
RA,0.0,0.011851428343102904,0.012741402855406985,0.0038669753656656166,0.00932455669748711,0.005162369160539961,0.004700494367160951,0.00801389621432473,0.005729821974716993,0.003858779693842002,0.0073688811548376825,0.010082040919050397,0.0034300271187872404,0.0023155649008831697
AT,0.004822133460701769,0.0,0.0016163284536214258,0.0009075349614785395,0.0013351985886329606,0.0011293346312694886,0.0017117468314348807,0.003156731400863512,0.002245359005297055,0.0009053661239408267,0.006334439175865893,0.0048341657270438805,0.0007323951282835661,0.0003372820569401927
BE,0.0067696178249029414,0.002473741083024693,0.0,0.002570264932118422,0.0028309155949006945,0.0071261426656161935,0.003809575904848083,0.003582139540734415,0.013358792378340867,0.00373652631276322,0.004563794915833314,0.0038976933493127274,0.0012366165791357286,0.0007504349434437764
ES,0.0056426588733128735,0.003324230378544752,0.0067038514106419166,0.0,0.0032980580450492495,0.011140332745246031,0.0060544354728901415,0.0069327311192585415,0.004722092777718506,0.05541655508418837,0.005447938361710177,0.004502664146254006,0.002509181087387907,0.000803205616020585
FI,0.0017983921985593855,0.0007797173006209165,0.0008676036527138414,0.0006481490808094728,0.0,0.0005965362978947482,0.0008815021749696242,0.0005302953674348978,0.0009427586325065267,0.0005595258909462762,0.0009452958157419015,0.0027388322230183166,0.0005144143656408061,0.00018972288177022105
FR,0.011224659511799538,0.005833183321511662,0.034165113919661386,0.016132283734541918,0.005396231724928775,0.0,0.009550474200416808,0.013492165397897703,0.011092355524305184,0.017041426924961096,0.009383606657468633,0.008000180279749408,0.004554409873113266,0.0020612338166616693
GR,0.002040375638636075,0.001130116825226141,0.0007433768641652515,0.00043257200579360793,0.0006368677731664615,0.0005585687224011133,0.0,0.0013816801622391747,0.0006777145905274362,0.0004100506837460377,0.0010492061453130897,0.0014053767663226055,0.0005310231595345618,0.000372294821473762
IT,0.0113078954352736,0.014536699552902155,0.007437791652857661,0.009506609310400387,0.00421099917772718,0.011308422026175024,0.017442178929981275,0.0,0.004383495886792859,0.009473966429327182,0.00826372102403681,0.008594393456507029,0.003425434932859614,0.0020522649453652356
NL,0.006743553705408735,0.0047148782693043735,0.027197817956446557,0.00409607174961344,0.005580170712924286,0.005462719711453454,0.006514818604376182,0.004894175181362152,0.0,0.006243673892219369,0.010344530061519858,0.007151174308680061,0.0021858501580450614,0.0008010452929271473
PT,0.001252574360322372,0.0008758809098475686,0.0013562938143141354,0.004950777115869367,0.0008638136642277961,0.0019550060434392457,0.0005212452377054113,0.0007420345583733944,0.0009910844322154342,0.0,0.0010175827618941684,0.000736319380398635,0.0004347812481749676,0.00020213230831020332
DE,0.019902229091823723,0.051258284024028475,0.02288241586958525,0.01323322484171309,0.014980054075336308,0.016707809245012903,0.016419537211342115,0.01667660319431524,0.021791100596792626,0.01899093394692672,0.0,0.02747752602610852,0.006559333210970499,0.003737657669189985
RU,0.020166181165279958,0.022001759064401296,0.011000158952184104,0.005969059315347912,0.02574889767280491,0.007314802007113936,0.012487796106258872,0.009037515139595841,0.009394606532737309,0.006312622327884292,0.016309831055593093,0.0,0.004071781285270931,0.0016304037705680587
RW,0.07705245835208276,0.047658616132360665,0.05727944457410799,0.05934545854074481,0.056558922302693805,0.055885895403364035,0.0694071092280261,0.05621145623860585,0.06935384318696562,0.05446833452878919,0.06010966021505568,0.05867493654597225,0.0,0.06286735437765426
US,0.02174300963220236,0.006759362247616824,0.012084603511300775,0.0073401207088701825,0.009060622830895992,0.008968803819483817,0.00876457167315826,0.006118356686734803,0.01776165798474069,0.005429530268938178,0.00932835059461137,0.007528535600893941,0.022028769826756705,0.0
Total,0.19046573925030608,0.17319789745249242,0.1960762034870073,0.12899910166296677,0.13982530886077554,0.13331674247900993,0.1582654859425687,0.13076978020174024,0.1624446835036571,0.18284729210847275,0.14046683793948167,0.14562383872931176,0.05221401797396085,0.07812059740120826
