,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
RA,0.0,0.0001845735499189833,0.00012505937721760035,0.00011371069627018674,0.00027958512175103173,0.00012704276427649697,0.00011154281393054912,0.00011609307927245197,0.00015813009844688124,6.005538867763113e-05,0.00010661666007903628,0.00022287403073580626,0.00012472051038844167,2.5772734970037054e-05
AT,9.708453584107539e-05,0.0,2.571481970351719e-05,3.3697114940472646e-05,5.6977849834669427e-05,3.404473417179926e-05,6.508132283125852e-05,5.455300918553578e-05,4.3848852552264934e-05,2.2897120293385392e-05,9.349415755606449e-05,0.00012549644797714025,5.283757256109116e-05,1.0841844730558318e-05
BE,0.00013888876872960947,4.206967902121225e-05,0.0,6.357819028289551e-05,9.423731221636794e-05,0.00015361781214742287,8.88252193807065e-05,5.4582826670546775e-05,0.00030768860400069313,5.7608706551499357e-05,5.689020455678792e-05,8.866543940038105e-05,6.238570855437627e-05,1.4557186618849522e-05
ES,9.074601460632258e-05,5.11297692841569e-05,7.653588719773414e-05,0.0,6.549848837384435e-05,0.0001982369979829891,0.00014152118420757064,8.461424561136065e-05,9.457925719013704e-05,0.0007821639459838979,5.524069880910677e-05,8.682868658438488e-05,0.00010130620538625016,1.4992853522480234e-05
FI,6.0081537142684474e-05,2.651344797582416e-05,1.5113697546969541e-05,2.4404644107323378e-05,0.0,2.100788611970535e-05,5.822419771527869e-05,1.584493899251182e-05,3.711572768095137e-05,2.1215268903104525e-05,1.895905572402114e-05,9.860553727503538e-05,4.4035840332544165e-05,6.071802841694055e-06
FR,0.00040570221287931544,0.00011146875354229602,0.0003768871358911676,0.00040380255452730334,0.0001686442173684271,0.0,0.00024001310217775554,0.0001965152989845672,0.00022718473064791946,0.0002560908206456614,0.00015114110628739605,0.00021734451347419956,0.00023482152279566756,4.608939175434231e-05
GR,1.7791463550296956e-05,3.860869069944511e-06,3.6506514092205524e-06,5.406772235683169e-06,6.178934388685887e-06,3.35329612363122e-06,0.0,7.639783593514214e-06,3.834564230037229e-06,3.1665229254255906e-06,3.6197805957932435e-06,1.3870820697706784e-05,1.4011615372935236e-05,1.526268440962719e-06
IT,0.0002759956917398149,0.00020876533736911712,0.00012181908253638262,0.0002887300237193953,0.0001682309420058729,0.00026364454599782936,0.0006500104513759272,0.0,0.00010872275638417084,0.000215583285135114,0.00010835620430448876,0.0002572343325877798,0.00022683547832204722,4.6235233362061446e-05
NL,0.00014574006961827506,7.229282712936441e-05,0.00030147730542352927,9.372210713912855e-05,0.00014383112593744995,9.581872814267075e-05,0.00013922723157772478,7.384473566207726e-05,0.0,0.00010373855837400884,8.312981586917927e-05,0.00014478501015405195,0.00010302126097346068,1.757399380673107e-05
PT,1.3077478390231126e-05,1.3197923343163922e-05,1.7683673949324564e-05,9.483344420731368e-05,1.4842850267602563e-05,2.942990476728814e-05,1.0536209174509137e-05,8.851040290743104e-06,1.2306590230355034e-05,0.0,1.1908982114969117e-05,1.2100528141838136e-05,1.5807139519816666e-05,2.8415005613717908e-06
DE,0.0006314723061934361,0.0011816299186889275,0.00046386583384419507,0.0005111082408309387,0.0006592402721503888,0.0005039273188412187,0.0005513734262959025,0.0003625401393337943,0.0006896978171751997,0.00043781704427849587,0.0,0.0009511354722690167,0.0005665143658310485,0.00012551795102368188
RU,0.00040863915276946757,0.00038458610992178627,0.00024477997475277446,0.00019717846644931925,0.0008662378272985951,0.0001934897017083002,0.0003063644052181537,0.00015181834405799402,0.00030302388174564593,0.00011345918833890269,0.00026049679825566305,0.0,0.00024948482303001655,4.0585961668579084e-05
RW,0.0015956986777337563,0.0007443851603708156,0.0008943569945078076,0.0010743728110005958,0.0015866297622004408,0.0009907157305176681,0.0016861577988187342,0.0006833744858360619,0.0014181141738421428,0.0006065608625817313,0.0007702994988618671,0.001294430643433822,0.0,0.0016174070895695696
US,0.0009259544350048471,0.00013591107285623153,0.00020636742397694795,0.0001544020188186175,0.00034298079364737774,0.00024235618760833205,0.0003281035581261589,9.141869646527796e-05,0.0004874527016715972,8.739609678644571e-05,0.00015341213701116754,0.00020588822389970904,0.0011920881931803038,0.0
Total,0.004806872344199132,0.0031603844184918237,0.002873311857957171,0.003058947084529174,0.004453115497440754,0.002856685608405352,0.004376980920830229,0.0019016906239564366,0.003891699755797996,0.0027677528094753037,0.001873565100025541,0.0037192596866308715,0.0029878702362479996,0.001970013812870919
