,RA,AT,BE,ES,FI,FR,GR,IT,NL,PT,DE,RU,RW,US
RA,0.0,0.005728859040378181,0.004567309509061725,0.002138617068719131,0.004835271484839655,0.002297358424403091,0.0013328541476842974,0.002876066089294856,0.003018144106998062,0.0015147710521868087,0.003400459358027432,0.0047730918056927895,0.0011351065686293605,0.00043907184877327364
AT,0.0025212781794043274,0.0,0.0009391342190304206,0.0006337594223066917,0.000985400692453107,0.0006156427507034046,0.0007776736843525734,0.00135148503916668,0.000836919455746127,0.0005775317712959546,0.0029819268653391525,0.002687644071880669,0.0004808854253220188,0.00018470483693303476
BE,0.0036069310001700843,0.0013057735579787547,0.0,0.0011957485742079858,0.001629782678398387,0.0027779242437386345,0.0010613956910236922,0.0013522237314129847,0.005872686832400235,0.0014530586340312716,0.0018144709121615263,0.0018988676287358863,0.0005677849404890828,0.00024800048769005876
ES,0.0023566672540862735,0.0015869838399086168,0.0027951769244337057,0.0,0.0011327604671902845,0.0035847884760553186,0.0016910735054048447,0.0020962159329324212,0.001805183393524259,0.01972844285132265,0.0017618611488124931,0.0018595315527194442,0.0009220082472297558,0.0002554226364472184
FI,0.0015603130536761608,0.0008229337637736729,0.0005519692809860085,0.00045899101980630076,0.0,0.0003798929000865144,0.0006957361096226178,0.0003925392625374416,0.0007084079240919335,0.0005351106021690198,0.0006046850314793127,0.0021117457265414485,0.0004007790816514886,0.0001034410085770417
FR,0.01053605631223397,0.0034598065472044724,0.013764343289537118,0.0075945277254528265,0.002916609332490872,0.0,0.002867979096666686,0.004868429634041666,0.004336152716905386,0.0064593531136249265,0.0048205335721133785,0.004654671129027694,0.0021371581318160907,0.0007851923542434061
GR,0.00046204298594434404,0.00011983501799026324,0.0001333259069936903,0.00010168801853463256,0.00010686128456761401,6.063881829882073e-05,0.0,0.00018926642880486797,7.318826426760303e-05,7.986889052151203e-05,0.00011545021942955717,0.0002970588380884056,0.00012752254298344226,2.6001955433790722e-05
IT,0.007167587599453579,0.0064797322846617735,0.00444897029261147,0.0054302979159566835,0.0029094619615455597,0.004767575880809876,0.0077671442527349355,0.0,0.0020751327527169005,0.005437635603541421,0.0034559408318961256,0.005508955354574339,0.0020644755272377444,0.0007876769545158938
NL,0.003784858774984842,0.0022438503048586625,0.011010291226953324,0.001762681125158273,0.0024874805122750295,0.0017327233358608403,0.0016636624677096232,0.0018294143065342883,0.0,0.002616587265200236,0.0026513638684038127,0.003100729785663751,0.0009376173147082639,0.0002993956970427178
PT,0.0003396211417325569,0.00040964180670464805,0.0006458277178476977,0.00178358262784078,0.00025669896238825326,0.0005321911879952553,0.00012589990878173209,0.00021927385331426284,0.00023488926615360958,0.0,0.00037982815863306775,0.0002591460814330019,0.00014386397108464267,4.84086344046246e-05
DE,0.01639928885389007,0.03667584681030275,0.016940903441083767,0.009612682391873096,0.011401199282790325,0.009112692704852552,0.0065885047388079465,0.008981494911502276,0.013163891143822978,0.011043015446740015,0.0,0.020369609298144336,0.00515596172493946,0.0021383605144845047
RU,0.010612328422875609,0.011936919529349638,0.008939640762571262,0.003708439467562537,0.014981108576858304,0.00349894146893213,0.0036608281054492375,0.0037611164577121105,0.005783653788576621,0.002861769740979055,0.008308352322310529,0.0,0.0022706117904160673,0.0006914343101258616
RW,0.04144017605090394,0.023104489551106094,0.03266292617469149,0.02020629639197841,0.02743989235949893,0.01791545659963647,0.020148338889900117,0.01692977908174744,0.02706678221837598,0.015299223870821336,0.02456813163577722,0.02772165189822186,0.0,0.027554620099959452
US,0.024046967849978073,0.004218455887973574,0.0075367710831510315,0.0029039202442801607,0.005931664893268661,0.004382611103269439,0.003920594907984979,0.002264788000103602,0.00930374744239231,0.002204382993786769,0.004892966413953404,0.004409322123084224,0.010849435543922132,0.0
Total,0.12483411747933384,0.0980931279421911,0.1049365898289527,0.05753123199367751,0.07701419248856499,0.05165843789464234,0.05230168550612327,0.047112092729104896,0.074278779305972,0.06981075183622097,0.05975597033833702,0.07965202529380785,0.027193210810429545,0.03356173133863088
