country,investment_type,share
US,Government investment share,0.19617350417024748
US,Private investment share,0.8038264958297525
NL,Government investment share,0.18905788120260625
NL,Private investment share,0.8109421187973938
PT,Government investment share,0.16560397486776057
PT,Private investment share,0.8343960251322394
ES,Government investment share,0.15289471678909206
ES,Private investment share,0.8471052832109079
AT,Government investment share,0.1260445922386434
AT,Private investment share,0.8739554077613566
IT,Government investment share,0.14229562777760407
IT,Private investment share,0.8577043722223959
FI,Government investment share,0.17756201848455921
FI,Private investment share,0.8224379815154408
FR,Government investment share,0.17947530529910305
FR,Private investment share,0.820524694700897
DE,Government investment share,0.1098618750303747
DE,Private investment share,0.8901381249696253
GR,Government investment share,0.24734667036080804
GR,Private investment share,0.752653329639192
BE,Government investment share,0.09968887039025376
BE,Private investment share,0.9003111296097462
RA,Government investment share,0.1628796033558284
RA,Private investment share,0.8371203966441716
RU,Government investment share,0.17889681903557147
RU,Private investment share,0.8211031809644286
RW,Government investment share,0.2850498451691138
RW,Private investment share,0.714950154830886
