"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(6.0.0)","G001.NGDPD.A","OBS_VALUE","World","Gross domestic product (GDP), Current prices, US dollar","Annual","31269.011","32143.509","32059.262","31893.491","33020.872","34138.96","33897.174","35013.212","39318.946","44255.95","47951.782","51944.573","58637.753","64361.599","60956.964","66681.954","74034.228","75474.742","77697.617","79807.571","75330.329","76597.84","81479.196","86497.192","87772.492","85519.462"
"IMF.RES:WEO(6.0.0)","G110.NGDPD.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Current prices, US dollar","Annual","25386.525","25569.176","25071.192","25154.169","26500.127","26963.822","26690.444","27848.91","31245.849","34669.549","36495.443","38384.366","41935.56","44303.754","41802.238","43660.011","46889.69","46709.437","47175.646","48288.303","45710.602","46952.89","49014.751","51863.074","52399.574","51527.538"
"IMF.RES:WEO(6.0.0)","G119.NGDPD.A","OBS_VALUE","G7","Gross domestic product (GDP), Current prices, US dollar","Annual","20505.266","20470.046","20205.15","20473.246","21594.537","22112.21","21854.685","22533.721","24879.158","27331.248","28544.573","29771.997","31977.972","33541.878","31945.782","33179.381","35291.545","35446.386","35503.783","36379.787","34937.26","35928.783","37194.333","39234.801","39955.338","39251.359"
"IMF.RES:WEO(6.0.0)","G163.NGDPD.A","OBS_VALUE","Euro Area (EA)","Gross domestic product (GDP), Current prices, US dollar","Annual","7641.512","7760.426","6970.111","7135.488","7154.319","6525.12","6621.795","7225.41","8904.607","10210.254","10601.683","11270.219","12985.332","14284.644","13057.033","12784.351","13789.822","12783.046","13346.064","13671.553","11817.521","12108.592","12825.308","13861.869","13572.908","13229.445"
"IMF.RES:WEO(6.0.0)","GX123.NGDPD.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross domestic product (GDP), Current prices, US dollar","Annual","2712.876","2893.52","2802.683","2525.131","2707.942","2800.172","2716.2","2955.345","3403.893","3888.962","4292.285","4651.311","5319.442","5612.985","5160.602","5946.533","6791.018","6848.143","7086.172","7220.494","6650.084","6791.123","7299.798","7688.832","7556.87","7515.723"
"IMF.RES:WEO(6.0.0)","G510.NGDPD.A","OBS_VALUE","ASEAN-5","Gross domestic product (GDP), Current prices, US dollar","Annual","682.569","758.546","714.207","467.858","553.957","587.767","564.573","633.787","712.337","798.144","885.755","1064.94","1272.687","1466.161","1442.422","1803.078","2079.603","2191.371","2252.201","2253.38","2177.837","2284.293","2462.802","2631.342","2781.881","2608.251"
"IMF.RES:WEO(6.0.0)","G998.NGDPD.A","OBS_VALUE","European Union (EU)","Gross domestic product (GDP), Current prices, US dollar","Annual","8290.975","8426.322","7738.035","7973.592","7942.939","7289.66","7403.04","8090.796","9949.065","11438.498","11954.984","12763.168","14790.108","16369.368","14837.588","14655.285","15870.872","14743.531","15402.091","15769.415","13658.69","13988.192","14867.334","16094.376","15802.16","15479.85"
"IMF.RES:WEO(6.0.0)","G200.NGDPD.A","OBS_VALUE","Emerging Market and Developing Economies (EMDE)","Gross domestic product (GDP), Current prices, US dollar","Annual","5882.485","6574.333","6988.071","6739.322","6520.744","7175.138","7206.73","7164.302","8073.097","9586.401","11456.338","13560.206","16702.194","20057.845","19154.726","23021.943","27144.539","28765.306","30521.971","31519.269","29619.727","29644.951","32464.444","34634.119","35372.918","33991.924"
"IMF.RES:WEO(6.0.0)","G505.NGDPD.A","OBS_VALUE","Emerging and Developing Asia","Gross domestic product (GDP), Current prices, US dollar","Annual","1811.917","2052.654","2131.736","1973.024","2165.907","2324.275","2453.501","2689.29","3067.434","3557.501","4109.284","4883.116","6176.93","7432.207","8081.869","9734.921","11666.052","12860.754","14076.158","15214.392","15831.317","16280.491","17903.701","19741.915","20585.161","20832.525"
"IMF.RES:WEO(6.0.0)","G903.NGDPD.A","OBS_VALUE","Emerging and Developing Europe","Gross domestic product (GDP), Current prices, US dollar","Annual","867.779","988.507","1049.564","934.296","801.262","891.126","912.377","1032.664","1277.175","1647.038","2049.499","2447.026","3145.641","3877.46","3023.664","3528.997","4136.414","4269.765","4513.272","4249.586","3297.207","3227.913","3647.099","3824.569","3879.711","3627.075"
"IMF.RES:WEO(6.0.0)","G400.NGDPD.A","OBS_VALUE","Middle East and Central Asia","Gross domestic product (GDP), Current prices, US dollar","Annual","789.885","896.776","949.647","950.793","1062.888","1272.628","1225.066","1042.228","1182.628","1418.578","1726.035","2059.61","2464.817","3046.837","2736.486","3211.156","3793.275","3908.08","4047.876","4150.172","3709.045","3664.137","3776.477","3937.511","3856.637","3445.323"
"IMF.RES:WEO(6.0.0)","G205.NGDPD.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross domestic product (GDP), Current prices, US dollar","Annual","1915.501","2080.03","2278.261","2301.29","2066.873","2259.769","2207.294","1958.921","1990.523","2280.138","2766.683","3245.828","3847.896","4477.464","4136.87","5155.629","5952.597","6048.382","6120.126","6061.089","5132.02","4940.908","5495.926","5358.782","5241.734","4399.085"
"IMF.RES:WEO(6.0.0)","G603.NGDPD.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Current prices, US dollar","Annual","497.404","556.365","578.862","579.919","423.814","427.34","408.492","441.199","555.338","683.145","804.838","924.627","1066.91","1223.877","1175.837","1391.241","1596.2","1678.325","1764.54","1844.029","1650.138","1531.502","1641.241","1771.342","1809.675","1687.915"
