Reporter Name,Euro Area Imports (% of importer GDP),EU Non-Euro Area Imports (% of importer GDP),Rest of World Import (% of importer GDP)
Austria,24.292865659152092,6.566928022479498,17.14530771443959
Belgium,43.978210098644105,4.280857045760137,29.975939782245824
Finland,11.528126627040036,6.808126075568537,16.41036680198194
France,16.01796271355496,1.9029026849143889,11.382031172682277
Germany,12.325034572068018,5.863392802426686,19.972163733314698
Greece,14.374017040932355,3.510547311176505,26.87514066030904
Italy,13.89852895112576,2.9180095516788023,16.24276649759609
Netherlands,25.72341645739688,4.730002020556607,37.46288957184941
Portugal,28.996452951738107,2.193232506352269,13.688335115222003
Spain,12.533871661856832,2.011343638792395,19.95569782852444
United States,1.9357458529936662,0.25221200890856127,10.781304424753852
Japan,1.7689286152729626,0.2635321107517519,19.07922102381665
Rest of Euro Area,17.612970458058854,5.996808260398036,24.376585634997706
Non-EA EU,23.120993934305933,7.221040618693113,20.116482130199046
