STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,BEL,Belgium,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2002,,95151.193,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,SAU,Saudi Arabia,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2017,,484753.472,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,SAU,Saudi Arabia,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2016,,445877.033,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,LTU,Lithuania,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2001,,6239.846,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,1995,,29205.776,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2005,,51647.096,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,NZL,New Zealand,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2004,,47332.728,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,SAU,Saudi Arabia,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2013,,591971.621,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,SAU,Saudi Arabia,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2012,,585143.46,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),Annual GDP and components - income approach,I,A,Annual,SAU,Saudi Arabia,S1,Total economy,S1,Total economy,B2A3G,"Operating surplus and mixed income, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0103,Table 0103 - GDP identity from the income side,2011,,533378.283,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
