STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2022,,17.6684765250719,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2021,,18.7334180186844,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2005,,15.7221284296698,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2004,,15.8698760874632,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2003,,16.0367533648839,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2002,,15.7700080840744,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2001,,15.2634963661635,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,15.6467672635021,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2020,,19.5848333453193,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,D62S13,Social benefits other than social transfers in kind,_T,Total,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2019,,18.2837353994248,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,D,Expenditure,D62,Social benefits other than social transfers in kind,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
