,AT_imcgy,AT_imcy,BE_imcgy,BE_imcy,DE_imcgy,DE_imcy,ES_imcgy,ES_imcy,FI_imcgy,FI_imcy,FR_imcgy,FR_imcy,GR_imcgy,GR_imcy,IT_imcgy,IT_imcy,NL_imcgy,NL_imcy,PT_imcgy,PT_imcy,RA_imcgy,RA_imcy,RU_imcgy,RU_imcy,RW_imcgy,RW_imcy,US_imcgy,US_imcy,RA_imiy,RA_imigy,AT_imiy,AT_imigy,BE_imiy,BE_imigy,ES_imiy,ES_imigy,FI_imiy,FI_imigy,FR_imiy,FR_imigy,GR_imiy,GR_imigy,IT_imiy,IT_imigy,NL_imiy,NL_imigy,PT_imiy,PT_imigy,DE_imiy,DE_imigy,RU_imiy,RU_imigy,RW_imiy,RW_imigy,US_imiy,US_imigy
RA,0.0020230709452514566,0.011851428343102904,0.0038655628144948586,0.012741402855406985,0.0015489930623791184,0.00736888115483768,0.0010199250981467653,0.0038669753656656166,0.002192217631568191,0.009324556697487107,0.0010664598951543487,0.005162369160539961,0.001190780632112319,0.004700494367160951,0.0013010250090831107,0.008013896214324726,0.001316889112928844,0.005729821974716994,0.0009550427040474024,0.0038587796938420018,0.0,0.0,0.0020798751451350994,0.010082040919050399,0.0005129850964505431,0.0034300271187872413,0.00017997710777071661,0.0023155649008831697,0.0,0.0,0.005723285467808798,0.00019014712248836626,0.004558666280113726,0.00013370260616560082,0.0021568417799079217,9.548598508139608e-05,0.004832833356577715,0.00028202325001297013,0.002308564303996876,0.00011583688468271221,0.0013109040485462028,0.00013349291306864343,0.002881082591200694,0.0001110765773666132,0.00302324399517358,0.00015303021027136297,0.0015271013871051282,4.772505375931133e-05,0.003401027234422655,0.00010604878368381116,0.0047521457316460295,0.0002438201047825663,0.001154288568192118,0.00010553851082568403,0.00044154508906013893,2.3299494683171753e-05
AT,0.0,0.0,0.0003863901641608214,0.0016163284536214258,0.000676661241297551,0.006334439175865889,0.0001279743080735524,0.0009075349614785392,0.00032125606219419285,0.0013351985886329606,0.0001942714956498989,0.0011293346312694886,0.00026697468025625097,0.0017117468314348807,0.0003214217895246465,0.0031567314008635115,0.00038077050804716597,0.002245359005297055,0.00011626114556302451,0.0009053661239408264,0.0007878133345430819,0.004822133460701771,0.0008652567530886159,0.00483416572704388,9.534165282308398e-05,0.0007323951282835662,2.795379978799837e-05,0.00033728205694019274,0.0025260215177125346,9.234119753286898e-05,0.0,0.0,0.000937356990652997,2.7492048080940868e-05,0.0006391601471973952,2.8296390049769384e-05,0.0009849038158485281,5.7474726439248184e-05,0.0006186456859284385,3.104179894676519e-05,0.0007648665707623253,7.788843642150657e-05,0.0013538423310592157,5.219571729299987e-05,0.0008383336346205967,4.2434673677795576e-05,0.0005822329174894792,1.8195974099860575e-05,0.0029824248468471844,9.299617604803203e-05,0.0026758497058737524,0.00013729081398405535,0.0004890118376547411,4.471116022836909e-05,0.00018574525764130374,9.801424022289321e-06
BE,0.0004901290532467846,0.002473741083024691,0.0,0.0,0.0006047608363308788,0.0045637949158333115,0.0005496051690713214,0.0025702649321184224,0.0008275076088529622,0.0028309155949006936,0.0011045769774889118,0.007126142665616195,0.000975764737925012,0.003809575904848084,0.0006088517022000158,0.0035821395407344132,0.002756129153095817,0.013358792378340863,0.0006783694226991353,0.0037365263127632194,0.0013772173459012692,0.006769617824902942,0.0009622032413756715,0.0038976933493127274,0.00019377396745336558,0.0012366165791357286,8.177316277032371e-05,0.0007504349434437765,0.003613716801962176,0.00013210296693751757,0.0013045031787229063,4.334005827706065e-05,0.0,0.0,0.00120593841732581,5.338834716507143e-05,0.0016289608798248263,9.505911078992887e-05,0.002791474190610368,0.00014006786527568963,0.0010439161035660596,0.00010630480683833924,0.0013545823117498562,5.2224246333675334e-05,0.005882610164445792,0.0002977652719551372,0.0014648866258506925,4.5780714732077985e-05,0.001814773928634406,5.6587188083908595e-05,0.0018905347024952765,9.699836564099096e-05,0.0005773798549942056,5.2790794049253536e-05,0.0002493974453839556,1.3160228924952778e-05
ES,0.0004589103414568356,0.0033242303785447516,0.0012729804606910053,0.0067038514106419166,0.0005005390857897748,0.005447938361710176,0.0,0.0,0.0004834602078838856,0.0032980580450492495,0.001086690877179257,0.011140332745246031,0.000812508750565516,0.0060544354728901415,0.0005767380937383417,0.006932731119258542,0.0007046168783402257,0.004722092777718506,0.004609438333405943,0.055416555084188364,0.0007293281398733184,0.005642658873312875,0.0006753844944559041,0.004502664146254006,0.00025607868476064003,0.0025091810873879073,8.17882121057191e-05,0.0008032056160205851,0.0023611009060955277,8.631236259706909e-05,0.0015854398728576168,5.2673736335157136e-05,0.002789887299533069,8.182551209837096e-05,0.0,0.0,0.001132189286168139,6.606966939599018e-05,0.0036022740837015435,0.0001807513903367637,0.0016632240732986144,0.00016937061631380076,0.0020998722019109906,8.095797663279095e-05,0.001808233689705257,9.15289610091396e-05,0.01988903365969766,0.0006215731376088904,0.0017621553794598052,5.494646816179352e-05,0.0018513712475794726,9.498899172435581e-05,0.0009375891294869836,8.572532312902221e-05,0.00025686140223555936,1.355408773413926e-05
FI,0.00015982762559242284,0.0007797173006209162,0.00020473723031230406,0.0008676036527138412,0.000156475133299683,0.0009452958157419011,0.00012731278763468003,0.0006481490808094729,0.0,0.0,0.00011719424316560597,0.0005965362978947481,0.00017877510830555668,0.0008815021749696242,7.46508881839981e-05,0.0005302953674348978,0.00027348718622599675,0.0009427586325065268,7.020261379974485e-05,0.0005595258909462759,0.0002950591628228949,0.0017983921985593857,0.0006199251180138752,0.002738832223018316,8.630726465147773e-05,0.0005144143656408062,2.4793224914821384e-05,0.000189722881770221,0.0015632485063131426,5.714608450570286e-05,0.0008221331364550638,2.731407529443336e-05,0.0005509247279820223,1.6158250550955766e-05,0.0004629024160523001,2.0493247861323935e-05,0.0,0.0,0.0003817459126820605,1.915487352415911e-05,0.00068427838440437,6.968192293352646e-05,0.000393223938722723,1.5160262807230416e-05,0.0007096049514926938,3.591870028019108e-05,0.0005394664372858597,1.6859433786264646e-05,0.0006047860138230988,1.885807338023503e-05,0.0021024786132830546,0.00010787265053342913,0.00040755178862144677,3.72631333625861e-05,0.00010402367966024026,5.489131758495493e-06
FR,0.0008707547369299114,0.005833183321511663,0.005499747554992031,0.034165113919661386,0.0012925465115142323,0.00938360665746863,0.002127687281355839,0.016132283734541918,0.001164752158543412,0.005396231724928775,0.0,0.0,0.00186213711193528,0.00955047420041681,0.0014372731632542638,0.013492165397897703,0.0019088229254121038,0.011092355524305184,0.0016724625931892195,0.017041426924961096,0.001812566770591662,0.011224659511799542,0.0016111938855935164,0.008000180279749408,0.0006053747437303103,0.004554409873113269,0.00020730294044970523,0.0020612338166616693,0.010555878035965801,0.0003858804891474873,0.0034564405221843134,0.00011483477856245384,0.013738295488280318,0.00040293493714796993,0.007659246218742762,0.0003390840612373677,0.0029151386668488555,0.0001701148830104444,0.0,0.0,0.002820747803124785,0.0002872443957196554,0.004876921263155655,0.00018802366987057847,0.004343479701033451,0.00021985774651985473,0.00651193266822607,0.00020351126604451836,0.004821338600769735,0.0001503360776310379,0.004634244728258352,0.0002377709142435388,0.002173273653902745,0.00019870600070901316,0.0007896152507895616,4.166649520818685e-05
GR,5.044746895228019e-05,0.001130116825226141,7.17793399926489e-05,0.0007433768641652515,6.53345305295858e-05,0.0010492061453130895,4.9277153075075106e-05,0.00043257200579360804,5.026346285340616e-05,0.0006368677731664616,4.097130095696678e-05,0.0005585687224011134,0.0,0.0,8.794726763277926e-05,0.0013816801622391747,5.101928360622059e-05,0.0006777145905274361,3.676860063078208e-05,0.00041005068374603767,0.00018105342473478448,0.002040375638636075,0.00016012533400850575,0.0014053767663226057,4.554691832527648e-05,0.0005310231595345619,2.9358568316365735e-05,0.00037229482147376207,0.0004629122379821283,1.6922211512512825e-05,0.00011971843122064393,3.9774558395638165e-06,0.00013307359951670407,3.902958886206714e-06,0.0001025545760854259,4.540214684889836e-06,0.00010680740103308479,6.232817923215071e-06,6.093459769891262e-05,3.0575167235393386e-06,0.0,0.0,0.00018959655174757256,7.3096606508096185e-06,7.331193363205108e-05,3.7108948655891887e-06,8.051902848675975e-05,2.5163849601778835e-06,0.00011546949960542012,3.6005004199302883e-06,0.00029575523516766906,1.5174423618443215e-05,0.00012967752774994205,1.1856630606435435e-05,2.614842140261975e-05,1.3798024721336973e-06
IT,0.0013839483722545365,0.014536699552902151,0.0017762607962557389,0.007437791652857658,0.0007906276930115687,0.00826372102403681,0.0013056781512898756,0.009506609310400387,0.0007729877483318854,0.00421099917772718,0.001402490341961184,0.011308422026175024,0.0029945416339460015,0.017442178929981275,0.0,0.0,0.0007144870962952741,0.004383495886792859,0.0009215851076486743,0.009473966429327178,0.001645626582737709,0.011307895435273602,0.0012942775588115556,0.008594393456507029,0.00039653018267598217,0.003425434932859614,0.00013075837484260842,0.0020522649453652356,0.007181072145948941,0.00026251114524445524,0.006473428192020605,0.000215069430010285,0.004440551010155223,0.00013023836499262962,0.005476573433268754,0.00024245450640732454,0.0029079948998805174,0.00016969800367091492,0.004790830798591576,0.00024038962821613024,0.007639231092346291,0.0007779236117645716,0.0,0.0,0.002078639193964578,0.00010521631513649375,0.005481898311135846,0.0001713205775406879,0.0034565179736923044,0.00010777906250830894,0.00548478004191021,0.0002814096452519076,0.0020993627966406658,0.0001919482089191258,0.0007921138465243131,4.1798341353642024e-05
NL,0.0007192861850850499,0.0047148782693043735,0.005006748052878765,0.027197817956446567,0.0011188099226081766,0.010344530061519858,0.0006070275647848919,0.00409607174961344,0.001299394595539505,0.005580170712924286,0.000745547755645383,0.005462719711453452,0.0008020393909473131,0.006514818604376182,0.000524443866735516,0.004894175181362151,0.0,0.0,0.0007074603956412751,0.006243673892219367,0.0012247485331035458,0.006743553705408734,0.0012587246938454055,0.00715117430868006,0.0003237981860884518,0.0021858501580450623,8.566815807933704e-05,0.0008010452929271474,0.0037919793163694415,0.00013861952823367532,0.0022416672763671585,7.447585562086948e-05,0.010989455225436479,0.00032231330694037596,0.0017777022128012245,7.870101949617704e-05,0.002486226229747768,0.00014508540846471118,0.0017411750815113007,8.736698249221025e-05,0.0016362644540845025,0.0001666252452028454,0.0018326052138606032,7.065382833576194e-05,0.0,0.0,0.0026378864557784765,8.243936779576791e-05,0.0026518066459222276,8.268703835076408e-05,0.003087122648333594,0.00015839214748420867,0.0009534619723094311,8.717660337229361e-05,0.0003010821579299484,1.5887532919500435e-05
PT,7.914859879555314e-05,0.0008758809098475686,0.00023785406386299014,0.0013562938143141347,9.079911660649303e-05,0.0010175827618941684,0.0005020864301601306,0.004950777115869365,0.00011867240749742004,0.0008638136642277963,0.00016012025716172264,0.0019550060434392453,5.43873952751192e-05,0.0005212452377054112,6.533182906043848e-05,0.0007420345583733943,0.0001370613372333899,0.0009910844322154342,0.0,0.0,0.0001115184963330854,0.0012525743603223722,0.00010735766328315681,0.000736319380398635,4.127463760822269e-05,0.00043478124817496763,1.5892352060963122e-05,0.00020213230831020332,0.0003402600787546661,1.2438541368122196e-05,0.0004092432686500323,1.3596461397779912e-05,0.0006446055460602926,1.890584573672966e-05,0.0017987818323871136,7.963423966098007e-05,0.00025656952498293457,1.497228767292125e-05,0.0005347870695565306,2.6834023206013003e-05,0.00012382652702121652,1.2609590935024629e-05,0.0002196563159103575,8.468577694648416e-06,0.0002352861686700386,1.1909687713926016e-05,0.0,0.0,0.00037989158990008764,1.1845550847949166e-05,0.00025800885356653814,1.3237756008301833e-05,0.00014629510724992312,1.3376003354536252e-05,4.868131457115349e-05,2.5688203948428837e-06
