Time,TaxDirectHH,GovTransf,TaxDirectFirm,GovInv,OtherSpend,OtherRev,Country
2021,-0,0,0.10242744,0.6,0,332.671359290239,AT
2022,-0,4.75758578,0.643038,308.11139852,23.0515794,903.816340338745,AT
2023,-0,6.7693048,13.079298944,638.1155336,10.50489181,906.153247232712,AT
2024,-0,2.5,69,473.902445075758,34.78,713.742343060717,AT
2025,-0,0,52,362.652074924242,12.5,461.680386690577,AT
2026,-0,0,40,154.2,0,198.325000577058,AT
Total,-0,14.02689058,174.824764384,1937.58145212,80.83647121,3516.38867719005,AT
2021,-0,0,42.5806776,155.444654547291,98.1986557699463,328.629370366334,BE
2022,-0,0,114.31413745,500.448650160057,141.042541822223,809.870410114599,BE
2023,-0,0,195.23253507,359.615942293102,114.544202202279,719.075516083083,BE
2024,-0,0,80.9679070305224,712.506993624615,97.8790607670051,1020.23635616407,BE
2025,-0,0,53.7507160590544,915.164935759685,77.429672292442,1212.92423587794,BE
2026,-0,0,43.3242774740427,820.129588240902,52.359871111226,1105.70837285383,BE
Total,-0,0,530.170250683619,3463.31076462565,581.454003965121,5196.44426145986,BE
2021,-0,0,4.61735769,6.4080567,1.42821189,12.45362628,FI
2022,-0,0,22.9389539,36.96191136,94.29375076,154.19461602,FI
2023,-0,0,38.10131394,125.22543503,99.95229803,263.279047,FI
2024,-0,0,32.51,422.05,204.31,658.87,FI
2025,-0,0,31.67,460.79,169.1,661.56,FI
2026,-0,0,8.35,136.49,38.353,183.193,FI
Total,-0,0,138.18762553,1187.92540309,607.43726068,1933.5502893,FI
2021,-0,0,4320,7654.5,1525.5,13500,FR
2022,-0,0,1128,9008.5,1263.5,11400,FR
2023,-0,0,243,5288.5,-131.5,5400,FR
2024,-0,0,100,4007.5,492.5,4600,FR
2025,-0,0,100,710,1090,1900,FR
2026,-0,0,0,2800,700,3500,FR
Total,-0,0,5891,29469,4940,40300,FR
2021,-0,0,0,0,0,6386,DE
2022,-0,0,0,0,0,3875,DE
2023,-0,0,0,0,0,2830,DE
2024,-0,0,0,0,0,5485,DE
2025,-0,0,0,0,0,3539,DE
2026,-0,0,0,0,0,5292,DE
Total,-0,0,0,0,0,27407,DE
2021,-0,98.399552,0,207.99265,0.1488,306.541002,GR
2022,-0,38.87048705,1.10000014305115e-07,912.35024387,29.994899,981.21563003,GR
2023,-0,56.29024216,345.39144549,1667.82894351,61.48936884,2131,GR
2024,-0,314.5758479,303.88694,3093.55415175,278.32727235,3990.344212,GR
2025,-0,306.11115772,297.810628,4730.51068190473,239.12763499,5573.56010261473,GR
2026,-0,318.462762,103.786346,7120.84709619051,188.494078,7731.59028219051,GR
Total,-0,1132.71004883,1050.8753596,17733.0837672252,797.58205318,20714.2512288352,GR
2021,-0,0,82.3665177028924,1002.69125427803,19.894934438117,2819.6080995,IT
2022,-0,6.08626666666667,855.26336737481,6943.26909668634,367.362753705103,12301.1255522033,IT
2023,-0,317.145597753,1091.75892785455,10868.8320773202,845.575290796735,16844.404629856,IT
2024,-0,1029.70637081946,1222.01836072437,23590.3035050358,6149.17361792783,12867.7196521421,IT
2025,-0,543.387693189819,1834.98423924548,33262.3415106172,7741.64416609454,15536.989287391,IT
2026,-0,265.653416571055,1340.77732898349,32745.4063293485,5520.62070350699,11443.7119187346,IT
Total,-0,2161.979345,6427.16874188559,108412.843773286,20644.2714664693,71813.559139827,IT
2021,-0,0,0,0,0,491.6,NL
2022,-0,0,0,0,0,983.2,NL
2023,-0,0,0,0,0,983.2,NL
2024,-0,0,0,0,0,983.2,NL
2025,-0,0,0,0,0,983.2,NL
2026,-0,0,0,0,0,983.2,NL
Total,-0,0,0,0,0,5407.6,NL
2021,-0,0,0,67.9316478504,22.34686347,90.2785113204,PT
2022,-0,0,55.02177686,455.74438815,284.19324016,790.62940517,PT
2023,-0,1.54168019,123.45718253,1231.10410913,254.70195491,1558.27970464,PT
2024,-0,27.399,106.645,2973.973,847.335,3642.827,PT
2025,-0,37.548,119.134,5238.903,1269.911,5164.494,PT
2026,-0,28.501,80.461,6138.043,1301.522,5082.115,PT
Total,-0,94.98968019,484.71895939,16105.6991451304,3980.01005854,16328.6236211304,PT
2021,-0,233.175986133743,0,2225,285.824013866257,2744,ES
2022,-0,724.006531570964,0,4011,1038.99346842904,5774,ES
2023,-0,1134.27267181133,0,7966.00007830377,1589.7273549649,10690.00010508,ES
2024,-0,897.204489692677,0,12623.6289519085,1223.39670584083,14744.230147442,ES
2025,-0,944.991725956724,0,16282.3474067303,1356.12068147797,18583.459814165,ES
2026,-0,202.738456038921,0,17864.6416075216,616.079749604436,18683.459813165,ES
Total,-0,4136.38986120436,0,60972.6180444642,6110.14197418344,71219.149879852,ES
2021,0,0,0,139.679443087056,33.243743317515,191.915827391823,RA
2022,0,0,33.4623763099996,694.845753104236,271.161532999648,1024.36966241388,RA
2023,0,0,119.280291165637,1360.51694391124,714.641080827465,2187.47157349588,RA
2024,0,-1.13686837721616e-13,371.999435905874,4548.67153612412,836.178775924879,4516.7112082486,RA
2025,0,0,402.299519327783,6062.2801808818,1361.94904732774,6182.64933957149,RA
2026,0,-2.8421709430404e-14,202.826622299177,5762.48479223328,1304.11358539185,5715.46741726494,RA
Total,0,-1.4210854715202e-13,1129.86824500847,18568.4786493417,4521.2877657891,19818.5850283866,RA
