Time,TaxDirectHH,GovTransf,TaxDirectFirm,GovInv,OtherSpend,OtherRev,Country
2021,-0,0,2.52140192761724e-05,0.000147698815529349,0,0.0818919428795113,AT
2022,-0,0.00106194357057495,0.000143532897001255,0.0687737297464283,0.00514535684008791,0.201741386490211,AT
2023,-0,0.00143045677041114,0.00276385423310768,0.13484349018272,0.00221984296113407,0.19148392424789,AT
2024,-0,0.000516291154342349,0.0142496358598488,0.0978686561655299,0.00718264253921076,0.147399543280732,AT
2025,-0,0,0.0103691176297346,0.0723150389145536,0.00249257635330158,0.0920618891718449,AT
2026,-0,0,0.00772670136822413,0.029786433774504,0,0.0383099513327951,AT
Total,-0,0.00300869149532844,0.0352780560071927,0.403735047599265,0.0170404186937343,0.752888637402984,AT
2021,-0,0,0.00841437210377692,0.0307174342595235,0.0194050465213599,0.0649404838614465,BE
2022,-0,0,0.0202788911763141,0.0887776782672043,0.0250204079796744,0.143667916147416,BE
2023,-0,0,0.0327460382672316,0.0603178020692823,0.0192123143166711,0.120609376701702,BE
2024,-0,0,0.0131872777071952,0.116046319311484,0.0159416045615129,0.166166332428979,BE
2025,-0,0,0.00846802230260983,0.144177373898893,0.0121984643169367,0.191087119090765,BE
2026,-0,0,0.00664294725606898,0.125751147288955,0.00802838229292662,0.169539178255486,BE
Total,-0,0,0.0897375488131966,0.565787755095342,0.0998062199890817,0.856010406485794,BE
2021,-0,0,0.00185611973195478,0.00257595821742696,0.000574123221205641,0.00500620117058738,FI
2022,-0,0,0.00861929242677588,0.0138884067709997,0.0354307966858925,0.0579384958836681,FI
2023,-0,0,0.0139629697003012,0.0458913033231455,0.0366294692898554,0.0964837423133021,FI
2024,-0,0,0.011780564785859,0.152937169113251,0.0740352873392448,0.238753021238354,FI
2025,-0,0,0.0113664047173467,0.165378137976198,0.0606902127471845,0.23743475544073,FI
2026,-0,0,0.00290444179444141,0.0474763186255459,0.0133406055260134,0.0637213659460007,FI
