Variables ->,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,U2,U9,RA,RU
1999Y,203065.0,242308.0,12773.791807066662,9731.6,61477.634011020746,2077239.9999999998,166742.4861398426,5406.889999999999,595242.0,126888.0,1395148.0,128668.0,22115.106445873298,46080.42989783323,92791.0,1177550.0,12763.0,19767.38591409193,6098.122952692741,3554.274591927018,420143.0,158090.75924993912,119603.3,33700.2435292311,257132.09380703222,17149.4,28614.2,6703846.279904585,1038523.2799045853,217990.97990458529,735997.4384419657
2000Y,212406.80000000002,256375.99999999997,14334.706415409759,10595.1,67283.02410192201,2129660.0,177531.72747220073,6171.64,647569.0,136386.0,1473517.0,136161.2,23966.0,51163.31835158113,108496.0,1244744.0,13369.9,22986.100000000002,6697.9615179617795,4120.0,452191.0,186306.73119952274,128414.5,40526.2142490259,284519.948527398,18731.899999999998,31632.0,7064192.101517962,1116511.1015179623,246766.6015179623,821665.6703170603
2001Y,219373.3,264335.0,15836.128020394184,11416.9,76075.54631330869,2195530.0,184094.17536716524,6982.12,700958.0,144613.0,1530071.0,147438.7,25755.0,60069.14636155572,122089.0,1308623.0,14202.400000000001,23880.0,7317.73969251192,4267.5,482941.0,213706.71676347725,135775.1,45103.70000384205,270754.028373949,20937.6,34307.299999999996,7400813.659692512,1182690.659692512,271155.5596925119,865639.4412036921
2002Y,225087.9,273255.0,17359.49493352825,11877.1,87411.666657521,2223360.0,189212.53841729593,7824.860000000001,749744.0,148440.0,1578330.0,158902.3,28298.0,71580.12253820045,135998.0,1355523.0,15209.9,25011.1,8135.446526240189,4500.0,502901.0,211337.8909712498,142554.2,48718.82515424115,282960.83454001154,23272.600000000002,37272.2,7655496.60652624,1245638.6065262398,297399.20652623964,908581.3732120481
2003Y,230541.8,281201.0,18698.714051978277,12845.3,88843.32870856354,2240810.0,193143.907524964,8746.72,802683.0,151714.0,1622313.0,174096.0,31161.0,75331.33143362275,145577.0,1399386.0,16666.8,26227.2,9142.7710948354,4761.2,514900.99999999994,193267.0828716542,146067.80000000002,51101.9415536868,295409.86823593616,25376.3,41210.799999999996,7885428.691094834,1305335.6910948344,321715.0910948345,915796.1743804056
2004Y,240541.69999999998,296820.0,21038.289945698114,13856.400000000001,96633.54815316707,2293040.0,202670.54949061337,9779.619999999999,860059.0,158741.0,1696108.0,188905.2,33635.0,83658.1612359624,156259.0,1457357.0,18288.699999999997,28189.399999999998,10628.8690315982,4900.7,531573.0,206262.5305663787,152248.4,60369.16510411524,309285.3527426286,27420.899999999998,45996.899999999994,8224348.789031599,1386211.7890315987,348955.48903159844,979917.5972385635
2005Y,252355.0,310037.0,23994.948848371994,14822.300000000001,110271.95046976933,2325710.0,213009.65630020556,11345.449999999999,928122.0,164666.0,1762048.0,194773.40000000002,36179.0,90858.16430329075,170306.0,1499073.0,20982.3,30281.0,13102.622967876,5140.900000000001,553122.0,246757.37660679748,158552.69999999998,79168.35053229777,314665.8197989854,28905.7,50275.9,8529800.272967875,1461725.272967875,381341.17296787514,1078726.2668597181
2006Y,265933.60000000003,325151.0,27380.22262938968,16000.0,124425.03321049904,2426180.0,225687.0362627486,13571.160000000002,1004976.0,172861.0,1846021.0,214298.9,39495.0,92066.02009298069,184916.0,1559864.0,24001.8,34175.1,16294.807069040398,5380.6,587444.0,275469.51815137273,166260.4,97250.26185437807,336495.37163045467,31294.399999999998,56349.0,8990467.767069042,1565982.7670690417,421477.8670690423,1178773.4638318233
2007Y,282208.19999999995,343619.0,32416.70566158818,17511.5,138508.2176526763,2542220.0,233623.08062601835,16402.16,1077541.0,187059.0,1937876.0,229282.80000000002,43267.0,102232.05531330223,197070.0,1621714.0,29011.9,37642.0,21509.3267687973,5778.2,622775.0,313514.2115996824,175483.4,127554.58338639466,357533.7904316582,34936.9,63180.6,9486087.986768797,1683961.986768797,466309.58676879806,1305382.6446713204
2008Y,291846.2,351743.0,37043.67332415156,19009.6,161036.96683199028,2589280.0,241383.60009918292,16618.92,1112432.0,194253.0,1990000.0,238735.4,46559.0,107594.75358327419,187283.0,1643718.0,32642.800000000003,40009.6,23351.890726871,6236.4,651299.0,364214.8048269632,179102.8,146584.7707879356,349936.1809554648,37742.1,68556.6,9720419.31072687,1733690.3107268699,478009.91072687064,1407794.7504089626
