"Variables ->","EA_pic4","RA_by","RA_pic4","RA_tby","AT_by","AT_pic4","AT_tby","BE_by","BE_pic4","BE_tby","ES_by","ES_pic4","ES_tby","FI_by","FI_pic4","FI_tby","FR_by","FR_pic4","FR_tby","GR_by","GR_pic4","GR_tby","IT_by","IT_pic4","IT_tby","NL_by","NL_pic4","NL_tby","PT_by","PT_pic4","PT_tby","DE_by","DE_pic4","DE_tby","RU_by","RU_pic4","RU_tby","RW_by","RW_pic4","RW_tby","US_by","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.007,-0.000,0.001,0.009,0.000,0.007,0.010,0.000,0.004,0.007,-0.000,0.004,0.003,0.000,0.004,0.003,-0.000,0.004,0.003,0.000,0.005,0.003,0.000,0.005,0.002,0.000,0.004,0.010,-0.000,0.005,0.003,0.000,0.014,-0.098,-0.000,0.003,0.005,0.000,0.001,0.001,0.000,0.001,0.000,0.028,-0.023,0.028,-0.025,0.028,-0.018,0.028,-0.005,0.028,-0.007,0.028,-0.006,0.028,-0.007,0.028,-0.006,0.028,-0.015,0.028,-0.007,0.028,-0.050,0.002,-0.011,0.001,-0.006,0.000,0.000,0.279,0.002,-0.001,0.011,-0.003,-0.004,-0.003,0.003,-0.019,-0.049,0.006,0.002,-0.004,0.003,0.000,-0.003,0.011,0.001,-0.006,0.000,0.014,-0.014,-0.051,0.003,0.012,-0.000,0.016,-0.003,-0.006,0.008,-0.001,-0.005,-0.001,0.003,-0.015,-0.048,0.003,0.002,-0.003,0.004,-0.005,-0.007,0.006,-0.000,0.002,-0.001,-0.003,-0.018,-0.047,0.003,-0.002,-0.003,-0.002,-0.005,-0.008,0.004,-0.001,-0.001,-0.001,-0.006,-0.022,-0.047,0.003,-0.004,-0.004,-0.004,-0.006,-0.008,0.005,-0.000,0.003,-0.000,-0.003,-0.019,-0.047,0.003,-0.002,-0.003,-0.002,-0.004,-0.006,0.008,-0.001,0.005,-0.000,-0.005,-0.022,-0.049,0.004,-0.003,-0.003,-0.003,-0.005,-0.008,0.006,-0.000,0.001,-0.000,-0.004,-0.019,-0.048,0.003,-0.003,-0.004,-0.002,-0.001,-0.004,0.011,-0.001,0.000,-0.001,0.008,-0.017,-0.050,0.005,0.005,-0.001,0.007,-0.005,-0.007,0.007,-0.000,0.001,-0.000,-0.002,-0.014,-0.048,0.003,-0.001,-0.003,-0.001,0.181,0.208,0.090,4.576,-0.018,-0.001,1.359,-0.026,-0.125,0.048,1.008,0.833,1.067,0.000,-0.001,0.006,0.002,-0.010,0.001,0.017,0.011,-0.018,-0.000,0.012,0.000,0.017,-0.000,-0.001,0.002,0.000,-0.007,0.000,0.003,0.020,-0.004,-0.001,0.002,-0.001,0.005,-0.000,-0.000,0.001,0.000,-0.005,0.000,0.002,0.012,-0.001,0.001,-0.000,0.002
"1Q2",0.019,-0.023,0.014,0.018,-0.036,0.020,0.031,-0.044,0.016,0.017,-0.015,0.013,0.006,-0.010,0.013,0.005,-0.019,0.013,0.005,-0.034,0.014,0.005,-0.036,0.013,0.005,-0.023,0.015,0.024,-0.020,0.014,0.007,0.456,0.034,-0.180,-0.009,0.006,0.022,-0.004,0.003,0.005,-0.003,0.002,0.002,0.032,-0.043,0.032,-0.034,0.032,-0.028,0.032,-0.010,0.032,-0.015,0.032,-0.012,0.032,-0.013,0.032,-0.011,0.032,-0.025,0.032,-0.013,0.032,-0.044,0.005,-0.007,0.001,-0.004,0.001,0.000,0.317,0.004,-0.001,0.018,0.001,-0.011,0.000,0.032,-0.003,-0.031,0.002,0.024,-0.003,0.027,0.001,-0.004,0.018,0.005,-0.012,0.003,0.053,-0.002,-0.035,0.004,0.045,0.003,0.060,-0.003,-0.009,0.012,0.002,-0.009,0.002,0.027,-0.003,-0.029,0.002,0.021,-0.002,0.029,-0.005,-0.008,0.010,0.000,0.006,-0.000,0.010,-0.002,-0.026,0.005,0.007,-0.002,0.011,-0.007,-0.010,0.007,0.000,0.000,-0.000,0.006,-0.003,-0.026,0.004,0.005,-0.003,0.007,-0.007,-0.010,0.008,0.000,0.008,0.000,0.010,-0.003,-0.027,0.005,0.007,-0.002,0.010,-0.003,-0.006,0.012,-0.000,0.011,-0.000,0.012,-0.004,-0.030,0.007,0.006,-0.001,0.009,-0.005,-0.008,0.009,0.000,0.005,-0.000,0.010,-0.003,-0.027,0.005,0.006,-0.002,0.009,-0.000,-0.005,0.018,0.001,-0.000,0.000,0.045,-0.000,-0.033,0.007,0.030,0.001,0.038,-0.004,-0.007,0.011,0.001,0.003,0.000,0.013,-0.002,-0.028,0.005,0.009,-0.001,0.013,0.599,0.680,0.329,4.607,-0.058,-0.002,1.502,-0.022,-0.190,0.080,1.113,1.101,1.117,0.000,-0.002,0.010,0.003,-0.020,0.002,0.042,0.002,-0.020,0.001,0.030,-0.000,0.041,-0.001,-0.001,0.003,0.001,-0.013,0.000,0.008,0.011,-0.004,-0.001,0.006,-0.001,0.011,-0.000,-0.001,0.001,0.000,-0.011,0.000,0.004,0.010,-0.001,0.003,-0.001,0.005
"1Q3",0.034,-0.076,0.033,0.027,-0.114,0.037,0.046,-0.131,0.031,0.026,-0.057,0.023,0.010,-0.042,0.025,0.009,-0.065,0.024,0.009,-0.114,0.025,0.008,-0.107,0.024,0.009,-0.077,0.029,0.036,-0.075,0.025,0.011,0.745,0.053,-0.236,-0.026,0.009,0.031,-0.009,0.004,0.008,-0.006,0.003,0.004,0.037,-0.046,0.037,-0.030,0.037,-0.027,0.037,-0.009,0.037,-0.016,0.037,-0.011,0.037,-0.013,0.037,-0.010,0.037,-0.026,0.037,-0.012,0.037,-0.023,0.007,0.000,0.002,0.000,0.001,0.000,0.339,0.004,-0.003,0.023,0.008,-0.022,0.008,0.060,0.008,-0.012,-0.000,0.044,-0.000,0.050,0.003,-0.003,0.023,0.010,-0.019,0.008,0.085,0.007,-0.018,0.006,0.071,0.007,0.093,-0.003,-0.009,0.016,0.007,-0.013,0.006,0.049,0.007,-0.009,0.002,0.039,0.002,0.050,-0.002,-0.005,0.014,0.001,0.012,0.000,0.026,0.014,-0.004,0.008,0.019,0.003,0.025,-0.005,-0.009,0.009,0.002,0.002,0.001,0.023,0.015,-0.004,0.005,0.017,0.000,0.023,-0.005,-0.008,0.010,0.002,0.014,0.001,0.026,0.014,-0.004,0.007,0.018,0.002,0.024,0.000,-0.003,0.018,0.001,0.017,0.001,0.034,0.014,-0.010,0.011,0.017,0.004,0.023,-0.002,-0.005,0.013,0.002,0.010,0.001,0.027,0.013,-0.005,0.008,0.018,0.002,0.023,0.002,-0.005,0.024,0.005,-0.002,0.004,0.076,0.014,-0.015,0.009,0.050,0.005,0.063,-0.001,-0.004,0.016,0.003,0.007,0.002,0.031,0.009,-0.006,0.008,0.021,0.004,0.027,0.834,0.958,0.421,4.630,-0.110,-0.003,1.560,-0.013,-0.225,0.094,1.156,1.246,1.125,-0.000,-0.003,0.013,0.004,-0.028,0.003,0.055,-0.006,-0.021,0.002,0.039,-0.001,0.053,-0.001,-0.001,0.003,0.001,-0.018,0.000,0.010,0.001,-0.005,-0.002,0.007,-0.002,0.014,-0.000,-0.001,0.001,0.001,-0.015,0.000,0.005,0.006,-0.001,0.003,-0.001,0.007
"1Q4",0.048,-0.141,0.054,0.037,-0.205,0.054,0.061,-0.231,0.048,0.036,-0.104,0.035,0.015,-0.083,0.038,0.016,-0.119,0.037,0.015,-0.203,0.038,0.013,-0.186,0.036,0.014,-0.142,0.046,0.046,-0.137,0.038,0.016,1.013,0.069,-0.278,-0.043,0.011,0.037,-0.012,0.005,0.009,-0.009,0.004,0.005,0.044,-0.037,0.044,-0.015,0.044,-0.017,0.044,0.000,0.044,-0.010,0.044,-0.005,0.044,-0.007,0.044,0.000,0.044,-0.018,0.044,-0.005,0.044,0.005,0.009,0.009,0.003,0.000,0.002,0.000,0.354,0.005,-0.004,0.029,0.017,-0.034,0.017,0.086,0.017,0.009,-0.001,0.064,0.002,0.071,0.007,-0.000,0.029,0.015,-0.024,0.013,0.109,0.016,0.001,0.008,0.092,0.013,0.119,-0.000,-0.007,0.021,0.012,-0.016,0.011,0.069,0.016,0.013,0.004,0.055,0.007,0.070,0.003,-0.000,0.019,0.003,0.018,0.001,0.043,0.029,0.019,0.011,0.032,0.008,0.040,-0.002,-0.005,0.012,0.005,0.004,0.004,0.043,0.031,0.019,0.008,0.032,0.005,0.041,-0.000,-0.004,0.014,0.004,0.020,0.003,0.044,0.029,0.018,0.010,0.031,0.007,0.039,0.005,0.002,0.026,0.002,0.022,0.002,0.057,0.030,0.011,0.015,0.029,0.009,0.037,0.002,-0.001,0.019,0.004,0.015,0.002,0.047,0.029,0.017,0.012,0.030,0.008,0.039,0.005,-0.003,0.030,0.009,-0.004,0.008,0.103,0.026,0.005,0.011,0.068,0.010,0.084,0.004,0.001,0.023,0.005,0.011,0.004,0.050,0.020,0.016,0.011,0.033,0.010,0.042,0.965,1.122,0.446,4.649,-0.165,-0.002,1.582,-0.000,-0.216,0.089,1.171,1.325,1.118,-0.000,-0.004,0.015,0.005,-0.034,0.004,0.060,-0.014,-0.019,0.003,0.043,-0.001,0.058,-0.001,-0.002,0.004,0.001,-0.022,0.000,0.010,-0.011,-0.004,-0.001,0.007,-0.002,0.015,-0.000,-0.001,0.001,0.001,-0.018,0.000,0.006,0.002,-0.001,0.003,-0.001,0.007
"2Q1",0.053,-0.206,0.074,0.036,-0.293,0.062,0.056,-0.326,0.059,0.035,-0.152,0.043,0.017,-0.127,0.048,0.020,-0.173,0.045,0.017,-0.288,0.046,0.015,-0.261,0.044,0.017,-0.206,0.057,0.042,-0.196,0.045,0.018,1.280,0.064,-0.197,-0.058,0.008,0.030,-0.014,0.004,0.008,-0.010,0.003,0.005,0.023,-0.033,0.023,-0.021,0.023,-0.024,0.023,-0.020,0.023,-0.024,0.023,-0.021,0.023,-0.023,0.023,-0.020,0.023,-0.026,0.023,-0.021,0.023,0.000,0.008,0.010,0.003,0.004,0.002,0.000,0.072,0.006,-0.004,0.033,0.025,-0.047,0.025,0.089,0.022,0.030,-0.002,0.066,0.004,0.073,0.012,0.005,0.034,0.018,-0.028,0.016,0.105,0.022,0.023,0.011,0.088,0.018,0.112,0.005,-0.002,0.025,0.017,-0.020,0.015,0.073,0.023,0.036,0.005,0.058,0.013,0.072,0.010,0.007,0.025,0.004,0.022,0.003,0.055,0.041,0.043,0.014,0.040,0.016,0.050,0.005,0.002,0.017,0.008,0.005,0.006,0.057,0.045,0.042,0.010,0.043,0.012,0.053,0.007,0.004,0.018,0.007,0.026,0.005,0.057,0.042,0.042,0.013,0.040,0.015,0.049,0.012,0.008,0.035,0.004,0.025,0.003,0.074,0.043,0.033,0.019,0.038,0.016,0.047,0.010,0.006,0.024,0.006,0.019,0.004,0.061,0.042,0.040,0.014,0.039,0.015,0.049,0.010,0.003,0.035,0.014,-0.007,0.012,0.104,0.035,0.027,0.012,0.068,0.016,0.083,0.011,0.008,0.030,0.007,0.014,0.006,0.061,0.030,0.039,0.014,0.041,0.017,0.050,0.802,0.963,0.270,0.073,-0.214,-0.001,0.187,0.010,-0.155,0.063,0.136,0.491,0.014,0.000,-0.003,0.015,0.004,-0.036,0.003,0.042,-0.025,-0.015,0.004,0.030,-0.002,0.040,-0.001,-0.001,0.003,0.001,-0.023,0.000,0.007,-0.024,-0.004,-0.001,0.004,-0.002,0.010,-0.000,-0.001,0.001,0.001,-0.021,0.000,0.004,-0.004,-0.001,0.002,-0.002,0.005
"2Q2",0.050,-0.250,0.075,0.032,-0.354,0.060,0.039,-0.384,0.059,0.027,-0.191,0.045,0.017,-0.168,0.051,0.022,-0.215,0.047,0.017,-0.348,0.048,0.015,-0.312,0.046,0.017,-0.254,0.059,0.030,-0.242,0.047,0.017,1.060,0.050,-0.128,-0.063,0.004,0.014,-0.012,0.002,0.005,-0.009,0.002,0.004,0.026,-0.009,0.026,0.000,0.026,-0.008,0.026,-0.012,0.026,-0.013,0.026,-0.012,0.026,-0.013,0.026,-0.011,0.026,-0.010,0.026,-0.012,0.026,0.016,0.006,0.009,0.003,0.005,0.002,0.000,0.028,0.005,-0.007,0.036,0.028,-0.059,0.029,0.067,0.014,0.024,0.002,0.049,0.001,0.055,0.015,0.008,0.036,0.019,-0.031,0.018,0.074,0.016,0.018,0.014,0.062,0.020,0.077,0.008,0.000,0.030,0.018,-0.023,0.017,0.058,0.019,0.030,0.008,0.046,0.015,0.056,0.013,0.009,0.030,0.005,0.024,0.004,0.054,0.037,0.036,0.017,0.040,0.019,0.048,0.009,0.006,0.021,0.009,0.005,0.008,0.057,0.039,0.035,0.013,0.043,0.016,0.052,0.011,0.008,0.023,0.008,0.028,0.007,0.057,0.037,0.035,0.016,0.040,0.019,0.048,0.014,0.010,0.042,0.005,0.025,0.004,0.072,0.038,0.025,0.022,0.037,0.019,0.044,0.013,0.009,0.030,0.007,0.021,0.005,0.060,0.038,0.034,0.018,0.039,0.018,0.047,0.012,0.004,0.037,0.016,-0.012,0.015,0.076,0.027,0.022,0.015,0.050,0.018,0.059,0.014,0.010,0.035,0.008,0.015,0.007,0.058,0.026,0.033,0.017,0.039,0.020,0.046,0.383,0.504,-0.016,0.066,-0.253,0.000,-0.007,0.014,-0.103,0.039,-0.009,0.211,-0.085,0.000,-0.002,0.013,0.004,-0.036,0.003,0.015,-0.022,-0.010,0.003,0.010,-0.002,0.014,-0.001,-0.001,0.002,0.000,-0.022,0.000,0.001,-0.023,-0.003,-0.001,0.000,-0.002,0.003,-0.000,-0.001,0.001,0.001,-0.021,0.000,0.002,-0.005,-0.001,0.001,-0.002,0.002
"2Q3",0.044,-0.261,0.065,0.030,-0.368,0.051,0.029,-0.395,0.053,0.023,-0.204,0.044,0.017,-0.188,0.049,0.023,-0.232,0.045,0.017,-0.365,0.047,0.016,-0.327,0.045,0.017,-0.268,0.053,0.023,-0.254,0.046,0.016,1.006,0.033,-0.085,-0.060,0.000,0.004,-0.008,0.000,0.002,-0.007,0.001,0.003,0.030,0.008,0.030,0.010,0.030,0.004,0.030,0.000,0.030,0.000,0.030,0.000,0.030,0.000,0.030,0.000,0.030,0.000,0.030,0.000,0.030,0.026,0.004,0.009,0.002,0.005,0.002,0.000,0.006,0.003,-0.010,0.036,0.028,-0.071,0.029,0.050,0.007,0.016,0.005,0.036,-0.005,0.041,0.015,0.008,0.037,0.018,-0.032,0.018,0.052,0.012,0.012,0.016,0.043,0.019,0.052,0.009,0.001,0.032,0.018,-0.027,0.017,0.046,0.014,0.023,0.010,0.037,0.015,0.043,0.014,0.010,0.034,0.006,0.024,0.005,0.051,0.032,0.028,0.019,0.038,0.020,0.045,0.011,0.007,0.024,0.010,0.004,0.009,0.054,0.033,0.027,0.015,0.041,0.017,0.049,0.013,0.009,0.026,0.008,0.028,0.007,0.055,0.032,0.027,0.018,0.039,0.020,0.045,0.014,0.009,0.047,0.005,0.023,0.005,0.067,0.031,0.016,0.025,0.035,0.019,0.041,0.014,0.009,0.033,0.007,0.020,0.006,0.056,0.033,0.026,0.020,0.037,0.019,0.043,0.012,0.004,0.037,0.016,-0.016,0.015,0.057,0.020,0.015,0.016,0.037,0.017,0.043,0.014,0.010,0.038,0.009,0.015,0.008,0.053,0.022,0.025,0.019,0.036,0.020,0.042,0.156,0.241,-0.125,0.056,-0.283,0.001,-0.095,0.016,-0.053,0.017,-0.077,0.057,-0.123,0.001,-0.001,0.010,0.003,-0.033,0.003,-0.000,-0.018,-0.005,0.002,-0.001,-0.002,-0.001,-0.001,-0.001,0.001,0.000,-0.020,0.000,-0.002,-0.022,-0.003,-0.001,-0.002,-0.002,-0.002,-0.000,-0.000,0.000,0.000,-0.021,0.000,-0.000,-0.005,-0.001,-0.001,-0.002,0.000
"2Q4",0.036,-0.251,0.049,0.029,-0.357,0.039,0.021,-0.378,0.043,0.020,-0.204,0.041,0.017,-0.197,0.044,0.022,-0.234,0.041,0.017,-0.357,0.043,0.016,-0.323,0.041,0.017,-0.263,0.044,0.019,-0.250,0.041,0.016,0.981,0.019,-0.056,-0.051,-0.003,-0.002,-0.003,-0.001,0.001,-0.004,0.000,0.002,0.033,0.019,0.033,0.019,0.033,0.013,0.033,0.000,0.033,0.006,0.033,0.005,0.033,0.000,0.033,0.004,0.033,0.012,0.033,0.005,0.033,0.030,0.002,0.008,0.002,0.005,0.002,0.000,-0.005,0.000,-0.013,0.035,0.026,-0.080,0.028,0.036,0.003,0.010,0.006,0.025,-0.011,0.029,0.014,0.008,0.035,0.016,-0.032,0.016,0.035,0.009,0.008,0.017,0.029,0.017,0.033,0.009,0.000,0.032,0.017,-0.029,0.017,0.036,0.011,0.017,0.012,0.028,0.013,0.033,0.013,0.009,0.035,0.006,0.023,0.005,0.046,0.027,0.020,0.021,0.035,0.019,0.040,0.011,0.007,0.026,0.010,0.002,0.009,0.049,0.026,0.018,0.017,0.037,0.017,0.044,0.013,0.009,0.027,0.008,0.027,0.008,0.050,0.026,0.019,0.020,0.036,0.020,0.041,0.013,0.008,0.048,0.005,0.020,0.005,0.060,0.025,0.008,0.026,0.031,0.018,0.037,0.013,0.009,0.034,0.007,0.019,0.007,0.051,0.028,0.018,0.021,0.033,0.018,0.039,0.010,0.003,0.036,0.015,-0.020,0.015,0.042,0.015,0.010,0.017,0.027,0.015,0.031,0.014,0.009,0.039,0.009,0.014,0.008,0.047,0.018,0.017,0.020,0.032,0.019,0.037,0.035,0.091,-0.149,0.047,-0.303,0.002,-0.127,0.018,-0.012,-0.002,-0.102,-0.025,-0.129,0.001,0.000,0.006,0.003,-0.029,0.002,-0.009,-0.015,-0.001,0.001,-0.008,-0.002,-0.010,-0.000,-0.000,-0.000,0.000,-0.017,0.000,-0.003,-0.019,-0.002,-0.001,-0.003,-0.002,-0.004,-0.000,-0.000,-0.000,0.000,-0.020,0.000,-0.001,-0.005,-0.001,-0.001,-0.002,-0.001
"3Q1",0.028,-0.229,0.032,0.027,-0.329,0.027,0.015,-0.344,0.032,0.017,-0.197,0.036,0.016,-0.197,0.037,0.021,-0.226,0.036,0.016,-0.334,0.037,0.015,-0.305,0.036,0.016,-0.246,0.034,0.015,-0.236,0.036,0.014,0.973,0.009,-0.033,-0.041,-0.004,-0.005,0.002,-0.002,-0.000,-0.001,-0.000,0.001,0.034,0.025,0.034,0.024,0.034,0.018,0.034,0.008,0.034,0.011,0.034,0.010,0.034,0.009,0.034,0.009,0.034,0.017,0.034,0.010,0.034,0.032,0.001,0.006,0.001,0.000,0.001,0.000,-0.009,-0.002,-0.015,0.031,0.023,-0.087,0.025,0.024,0.001,0.006,0.006,0.015,-0.017,0.019,0.013,0.007,0.032,0.014,-0.029,0.014,0.022,0.007,0.006,0.017,0.017,0.014,0.018,0.008,-0.000,0.030,0.015,-0.031,0.015,0.027,0.008,0.012,0.012,0.021,0.011,0.024,0.013,0.008,0.035,0.006,0.021,0.005,0.041,0.022,0.013,0.021,0.031,0.018,0.035,0.010,0.006,0.026,0.009,0.001,0.009,0.042,0.021,0.011,0.018,0.032,0.015,0.037,0.012,0.008,0.027,0.008,0.025,0.008,0.044,0.021,0.012,0.020,0.031,0.019,0.036,0.012,0.007,0.047,0.005,0.016,0.005,0.052,0.019,0.002,0.027,0.027,0.017,0.031,0.012,0.008,0.034,0.007,0.016,0.007,0.044,0.023,0.011,0.022,0.029,0.017,0.034,0.009,0.002,0.032,0.014,-0.022,0.014,0.029,0.011,0.006,0.017,0.019,0.013,0.021,0.013,0.008,0.038,0.008,0.012,0.008,0.041,0.014,0.011,0.021,0.028,0.018,0.031,-0.028,0.006,-0.141,0.040,-0.315,0.003,-0.127,0.020,0.020,-0.016,-0.105,-0.068,-0.118,0.002,0.001,0.003,0.002,-0.024,0.002,-0.013,-0.012,0.003,0.001,-0.011,-0.001,-0.014,-0.000,-0.000,-0.001,0.000,-0.013,0.000,-0.004,-0.017,-0.001,-0.001,-0.004,-0.001,-0.006,-0.000,-0.000,-0.001,0.000,-0.018,0.000,-0.002,-0.005,-0.001,-0.002,-0.002,-0.002
"3Q2",0.022,-0.199,0.020,0.024,-0.292,0.019,0.010,-0.300,0.024,0.014,-0.184,0.032,0.014,-0.191,0.030,0.019,-0.212,0.031,0.014,-0.300,0.032,0.014,-0.279,0.031,0.014,-0.221,0.026,0.011,-0.215,0.031,0.013,0.971,0.005,-0.015,-0.031,-0.005,-0.008,0.005,-0.003,-0.001,0.002,-0.001,0.001,0.034,0.027,0.034,0.026,0.034,0.021,0.034,0.012,0.034,0.015,0.034,0.013,0.034,0.013,0.034,0.013,0.034,0.020,0.034,0.013,0.034,0.032,-0.000,0.005,0.000,0.000,0.001,0.000,-0.011,-0.004,-0.016,0.026,0.020,-0.092,0.022,0.014,-0.000,0.004,0.006,0.007,-0.023,0.011,0.012,0.007,0.028,0.011,-0.025,0.012,0.012,0.006,0.004,0.016,0.008,0.012,0.007,0.007,-0.000,0.027,0.013,-0.031,0.014,0.019,0.007,0.008,0.012,0.014,0.009,0.016,0.011,0.007,0.033,0.005,0.019,0.005,0.034,0.018,0.008,0.022,0.026,0.016,0.030,0.010,0.005,0.026,0.008,-0.000,0.009,0.034,0.016,0.006,0.018,0.026,0.014,0.030,0.011,0.007,0.026,0.007,0.023,0.007,0.037,0.017,0.007,0.021,0.027,0.017,0.030,0.011,0.006,0.044,0.005,0.013,0.005,0.043,0.014,-0.003,0.026,0.023,0.015,0.026,0.011,0.007,0.032,0.006,0.014,0.006,0.037,0.018,0.006,0.022,0.025,0.015,0.028,0.008,0.002,0.028,0.012,-0.024,0.013,0.019,0.008,0.004,0.016,0.012,0.010,0.013,0.012,0.007,0.035,0.008,0.010,0.008,0.034,0.011,0.006,0.021,0.023,0.016,0.026,-0.061,-0.042,-0.125,0.035,-0.319,0.004,-0.114,0.021,0.042,-0.028,-0.097,-0.090,-0.100,0.002,0.003,0.001,0.001,-0.018,0.001,-0.014,-0.009,0.006,-0.000,-0.012,-0.000,-0.016,-0.000,0.000,-0.002,-0.000,-0.008,0.000,-0.004,-0.015,-0.000,-0.001,-0.004,-0.001,-0.006,-0.000,0.000,-0.001,0.000,-0.016,0.000,-0.002,-0.005,-0.001,-0.002,-0.001,-0.003
