"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.004,0.000,0.000,0.002,0.003,-0.000,0.000,0.002,0.002,0.000,0.000,0.002,0.004,-0.000,0.000,0.018,-0.090,0.000,0.000,0.002,0.002,0.000,0.000,0.002,0.004,0.000,0.000,0.002,0.001,0.000,0.000,0.002,0.003,-0.000,0.000,0.002,0.004,-0.000,0.000,0.006,0.013,0.000,-0.000,0.002,0.003,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,-0.075,0.013,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,0.000,0.013,-0.024,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.004,0.003,0.005,0.001,0.001,0.001,0.009,0.000,-0.006,0.001,0.007,0.002,0.007,0.000,-0.000,0.002,0.000,0.001,0.000,0.003,0.001,-0.005,0.001,0.003,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.001,0.009,0.000,-0.006,0.001,0.007,0.002,0.008,0.546,0.598,0.297,5.117,-0.093,-0.000,1.597,-0.010,-0.118,0.073,1.173,1.033,1.225,0.001,0.000,0.002,0.000,0.003,0.000,0.005,0.001,-0.005,0.001,0.004,0.001,0.005,0.002,0.001,0.004,0.000,0.003,0.000,0.011,0.002,-0.007,0.002,0.008,0.002,0.010,0.000,0.000,0.002,0.000,0.002,0.000,0.005,0.001,-0.005,0.001,0.002,0.001,0.003,0.001,0.001,0.003,0.000,0.003,0.000,0.009,0.001,-0.006,0.002,0.006,0.002,0.007,0.002,0.001,0.004,0.000,0.002,0.000,0.009,0.001,-0.006,0.001,0.006,0.002,0.007,0.006,0.004,0.018,0.002,-0.007,0.002,0.035,0.002,-0.012,0.004,0.024,0.005,0.031,-0.002,-0.003,0.002,0.000,-0.003,0.000,0.004,0.001,-0.005,0.000,0.003,-0.001,0.005,0.000,-0.000,0.002,0.000,-0.002,0.000,0.004,-0.001,-0.006,0.000,0.003,-0.000,0.004,-0.000,-0.000,0.001,0.000,-0.003,0.000,0.001,-0.000,-0.004,-0.000,0.001,-0.000,0.002,-0.001,-0.001,0.000,0.000,-0.003,0.000,0.000,0.004,-0.000,0.000,-0.001,0.001
"1Q2",0.009,-0.004,0.000,0.007,0.009,0.003,0.000,0.004,0.005,-0.004,0.000,0.007,0.011,0.342,0.000,0.040,-0.234,0.001,0.000,0.004,0.006,-0.001,0.000,0.006,0.013,0.006,0.000,0.005,0.003,0.001,0.000,0.005,0.009,-0.001,0.000,0.005,0.010,-0.017,0.000,0.015,0.041,0.002,-0.000,0.004,0.009,-0.002,0.000,0.001,0.007,-0.001,0.000,0.001,0.004,-0.001,0.000,0.001,0.001,0.018,0.000,0.018,0.005,0.018,0.000,0.018,-0.055,0.018,0.005,0.018,0.000,0.018,0.004,0.018,0.000,0.018,0.000,0.018,-0.024,0.018,0.005,0.001,0.000,0.001,0.000,0.000,0.000,0.177,0.006,0.005,0.009,0.002,0.001,0.002,0.024,0.002,-0.006,0.001,0.018,0.004,0.019,0.000,-0.000,0.003,0.001,0.002,0.001,0.009,0.002,-0.004,0.001,0.008,0.002,0.010,0.003,0.002,0.005,0.002,0.002,0.002,0.022,0.002,-0.006,0.001,0.018,0.004,0.022,1.581,1.776,0.642,5.158,-0.211,-0.001,2.130,-0.028,-0.251,0.128,1.563,1.725,1.502,0.001,0.001,0.004,0.001,0.005,0.001,0.013,0.004,-0.005,0.002,0.010,0.002,0.012,0.003,0.002,0.007,0.002,0.006,0.001,0.029,0.005,-0.008,0.004,0.020,0.004,0.026,0.001,0.000,0.004,0.001,0.004,0.000,0.013,0.003,-0.006,0.003,0.007,0.002,0.008,0.002,0.002,0.005,0.001,0.006,0.001,0.023,0.004,-0.007,0.004,0.015,0.003,0.019,0.003,0.002,0.007,0.001,0.004,0.001,0.024,0.003,-0.006,0.003,0.016,0.004,0.019,0.009,0.005,0.030,0.006,-0.016,0.005,0.092,0.003,-0.022,0.007,0.063,0.009,0.084,-0.003,-0.004,0.003,0.001,-0.006,0.001,0.013,0.005,-0.004,0.001,0.010,-0.002,0.014,0.000,-0.001,0.003,0.001,-0.004,0.000,0.012,-0.001,-0.007,0.001,0.008,-0.000,0.011,-0.000,-0.001,0.002,0.000,-0.007,0.000,0.004,-0.000,-0.004,-0.001,0.003,-0.001,0.006,-0.001,-0.001,0.000,0.000,-0.005,0.000,0.001,0.005,-0.000,0.001,-0.001,0.002
"1Q3",0.015,-0.016,0.000,0.012,0.013,0.001,0.000,0.008,0.006,-0.019,0.000,0.012,0.015,0.299,0.000,0.059,-0.310,-0.003,0.000,0.008,0.008,-0.012,0.000,0.011,0.017,0.006,0.000,0.008,0.005,-0.006,0.000,0.009,0.012,-0.010,0.000,0.010,0.013,-0.058,0.000,0.025,0.056,-0.002,-0.000,0.008,0.012,-0.006,0.000,0.002,0.009,-0.004,0.000,0.002,0.005,-0.002,0.000,0.001,0.002,0.021,0.000,0.021,0.006,0.021,0.000,0.021,-0.021,0.021,0.006,0.021,0.000,0.021,0.006,0.021,0.006,0.021,0.000,0.021,-0.018,0.021,0.007,0.002,0.000,0.001,0.000,0.000,0.000,0.196,0.007,0.005,0.011,0.004,-0.000,0.004,0.032,0.003,-0.006,0.002,0.024,0.005,0.026,0.001,0.000,0.003,0.002,0.004,0.002,0.014,0.005,-0.001,0.002,0.012,0.003,0.015,0.003,0.003,0.006,0.004,0.002,0.004,0.030,0.003,-0.005,0.002,0.024,0.006,0.030,2.027,2.282,0.800,5.185,-0.342,-0.002,2.312,-0.042,-0.346,0.155,1.694,2.011,1.576,0.002,0.002,0.005,0.001,0.008,0.001,0.019,0.007,-0.003,0.003,0.014,0.004,0.017,0.004,0.002,0.009,0.003,0.008,0.002,0.040,0.008,-0.008,0.005,0.028,0.006,0.035,0.002,0.001,0.005,0.001,0.007,0.001,0.020,0.006,-0.004,0.005,0.010,0.003,0.013,0.003,0.002,0.006,0.002,0.009,0.001,0.031,0.007,-0.006,0.005,0.020,0.005,0.026,0.004,0.003,0.009,0.003,0.005,0.002,0.032,0.006,-0.006,0.004,0.021,0.005,0.026,0.012,0.006,0.040,0.010,-0.026,0.009,0.123,0.002,-0.031,0.010,0.084,0.013,0.113,-0.003,-0.005,0.004,0.002,-0.008,0.002,0.019,0.008,-0.001,0.002,0.014,-0.002,0.020,-0.000,-0.001,0.004,0.001,-0.006,0.001,0.015,-0.001,-0.007,0.001,0.011,-0.000,0.015,-0.000,-0.001,0.002,0.000,-0.009,0.000,0.006,-0.001,-0.004,-0.001,0.004,-0.001,0.009,-0.001,-0.001,0.000,0.000,-0.007,0.000,0.002,0.005,-0.001,0.001,-0.001,0.003
"1Q4",0.019,-0.031,0.000,0.017,0.015,-0.004,0.000,0.011,0.008,-0.038,0.000,0.016,0.017,0.327,0.000,0.069,-0.361,-0.010,0.000,0.011,0.010,-0.026,0.000,0.015,0.020,0.003,0.000,0.012,0.006,-0.017,0.000,0.012,0.014,-0.021,0.000,0.014,0.015,-0.106,0.000,0.035,0.066,-0.009,-0.000,0.011,0.015,-0.011,0.000,0.003,0.010,-0.006,0.000,0.003,0.006,-0.003,0.000,0.001,0.003,0.023,0.004,0.023,0.009,0.023,0.006,0.023,0.021,0.023,0.009,0.023,0.007,0.023,0.009,0.023,0.009,0.023,0.007,0.023,-0.004,0.023,0.010,0.002,0.000,0.002,0.000,0.001,0.000,0.202,0.007,0.005,0.013,0.006,-0.002,0.007,0.038,0.004,-0.004,0.002,0.028,0.006,0.030,0.002,0.001,0.004,0.003,0.006,0.003,0.018,0.007,0.002,0.003,0.015,0.005,0.019,0.004,0.003,0.007,0.006,0.002,0.006,0.035,0.004,-0.003,0.003,0.028,0.007,0.035,2.214,2.500,0.836,5.208,-0.469,-0.003,2.350,-0.047,-0.376,0.149,1.720,2.119,1.570,0.003,0.003,0.006,0.002,0.010,0.002,0.024,0.010,-0.000,0.005,0.018,0.006,0.022,0.005,0.004,0.010,0.004,0.010,0.003,0.047,0.010,-0.007,0.007,0.033,0.008,0.042,0.003,0.002,0.006,0.002,0.009,0.001,0.026,0.009,-0.003,0.006,0.013,0.005,0.017,0.004,0.004,0.008,0.002,0.012,0.002,0.037,0.010,-0.004,0.007,0.024,0.007,0.031,0.005,0.004,0.010,0.004,0.006,0.004,0.038,0.008,-0.004,0.005,0.025,0.007,0.030,0.014,0.008,0.046,0.014,-0.035,0.013,0.141,-0.001,-0.036,0.013,0.096,0.016,0.128,-0.003,-0.005,0.004,0.003,-0.010,0.003,0.024,0.011,0.002,0.002,0.018,-0.001,0.025,-0.000,-0.001,0.004,0.001,-0.008,0.001,0.017,-0.002,-0.006,0.001,0.012,-0.000,0.016,-0.001,-0.001,0.002,0.001,-0.011,0.000,0.007,-0.003,-0.004,-0.001,0.005,-0.001,0.009,-0.001,-0.001,0.000,0.000,-0.009,0.000,0.002,0.004,-0.001,0.001,-0.001,0.004
"2Q1",0.019,-0.046,0.000,0.019,0.012,-0.009,0.000,0.013,0.007,-0.056,0.000,0.018,0.014,0.417,0.000,0.052,-0.293,-0.018,0.000,0.013,0.008,-0.041,0.000,0.017,0.017,0.001,0.000,0.014,0.006,-0.028,0.000,0.014,0.012,-0.032,0.000,0.016,0.012,-0.151,0.000,0.036,0.054,-0.015,-0.000,0.013,0.013,-0.016,0.000,0.003,0.008,-0.008,0.000,0.003,0.005,-0.004,0.000,0.001,0.002,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.038,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.002,0.000,0.002,0.000,0.001,0.000,0.073,0.007,0.005,0.014,0.008,-0.005,0.008,0.033,0.005,-0.000,0.003,0.024,0.007,0.026,0.004,0.003,0.004,0.004,0.008,0.004,0.019,0.008,0.006,0.004,0.016,0.007,0.019,0.005,0.004,0.008,0.007,0.003,0.007,0.031,0.005,-0.000,0.004,0.025,0.009,0.030,1.695,1.922,0.603,0.088,-0.577,-0.004,0.686,-0.049,-0.329,0.108,0.496,1.070,0.282,0.005,0.005,0.007,0.003,0.012,0.003,0.024,0.012,0.003,0.006,0.018,0.008,0.021,0.007,0.005,0.011,0.005,0.012,0.004,0.043,0.010,-0.005,0.008,0.030,0.010,0.037,0.004,0.004,0.007,0.002,0.011,0.002,0.028,0.011,0.000,0.007,0.015,0.007,0.018,0.006,0.005,0.009,0.003,0.014,0.003,0.035,0.012,-0.001,0.008,0.023,0.009,0.028,0.006,0.005,0.011,0.005,0.007,0.005,0.034,0.009,-0.000,0.006,0.023,0.009,0.027,0.016,0.010,0.048,0.016,-0.040,0.015,0.118,-0.006,-0.036,0.014,0.080,0.019,0.105,-0.001,-0.003,0.005,0.004,-0.011,0.003,0.024,0.013,0.006,0.003,0.017,0.000,0.023,-0.000,-0.001,0.004,0.001,-0.009,0.002,0.012,-0.004,-0.005,0.001,0.008,-0.000,0.012,-0.001,-0.001,0.002,0.001,-0.012,0.001,0.004,-0.005,-0.004,-0.001,0.003,-0.001,0.007,-0.001,-0.001,0.000,0.000,-0.010,0.000,0.002,0.003,-0.001,0.001,-0.001,0.003
"2Q2",0.016,-0.060,0.000,0.018,0.007,-0.022,0.000,0.013,0.005,-0.077,0.000,0.017,0.007,0.198,0.000,0.023,-0.155,-0.032,0.000,0.013,0.005,-0.060,0.000,0.016,0.009,-0.016,0.000,0.014,0.005,-0.049,0.000,0.014,0.006,-0.046,0.000,0.015,0.006,-0.188,0.000,0.030,0.025,-0.026,-0.000,0.013,0.010,-0.018,0.000,0.002,0.003,-0.008,0.000,0.002,0.002,-0.004,0.000,0.001,0.002,0.008,0.000,0.008,0.000,0.008,0.000,0.008,0.050,0.008,0.000,0.008,0.000,0.008,0.000,0.008,0.000,0.008,0.000,0.008,0.008,0.008,0.000,0.002,0.000,0.002,0.000,0.001,0.000,0.015,0.007,0.005,0.013,0.009,-0.007,0.009,0.019,0.004,-0.000,0.003,0.014,0.006,0.015,0.005,0.005,0.005,0.004,0.009,0.004,0.016,0.008,0.005,0.005,0.014,0.008,0.015,0.006,0.005,0.009,0.007,0.003,0.008,0.020,0.004,-0.000,0.005,0.016,0.010,0.018,0.592,0.669,0.222,0.078,-0.662,-0.004,0.028,-0.039,-0.243,0.060,0.007,0.299,-0.102,0.006,0.006,0.007,0.003,0.014,0.003,0.019,0.011,0.003,0.006,0.015,0.009,0.017,0.008,0.007,0.012,0.005,0.013,0.005,0.029,0.008,-0.005,0.009,0.020,0.011,0.024,0.005,0.005,0.008,0.002,0.012,0.002,0.026,0.010,-0.001,0.009,0.013,0.008,0.016,0.007,0.006,0.009,0.003,0.016,0.003,0.025,0.010,-0.001,0.009,0.017,0.010,0.019,0.007,0.006,0.011,0.006,0.007,0.005,0.022,0.007,-0.000,0.006,0.015,0.010,0.016,0.017,0.012,0.045,0.016,-0.041,0.016,0.064,-0.011,-0.036,0.015,0.043,0.019,0.053,-0.001,-0.002,0.005,0.004,-0.012,0.004,0.017,0.012,0.006,0.003,0.013,0.001,0.017,-0.000,-0.001,0.003,0.001,-0.009,0.002,0.004,-0.004,-0.004,0.001,0.002,-0.000,0.003,-0.000,-0.001,0.001,0.001,-0.013,0.001,0.001,-0.006,-0.004,-0.001,0.000,-0.001,0.001,-0.001,-0.001,0.000,0.000,-0.011,0.000,0.001,0.002,-0.001,0.000,-0.001,0.002
"2Q3",0.011,-0.065,0.000,0.015,0.005,-0.031,0.000,0.012,0.004,-0.087,0.000,0.014,0.004,0.424,0.000,-0.007,-0.096,-0.041,0.000,0.012,0.004,-0.071,0.000,0.013,0.005,-0.030,0.000,0.012,0.005,-0.063,0.000,0.012,0.004,-0.054,0.000,0.013,0.004,-0.198,0.000,0.020,0.013,-0.031,-0.000,0.011,0.008,-0.017,0.000,0.001,0.001,-0.006,0.000,0.001,0.001,-0.003,0.000,0.001,0.002,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.055,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.016,0.007,0.000,0.001,0.000,0.002,0.000,0.001,0.000,-0.008,0.006,0.004,0.012,0.009,-0.010,0.009,0.013,0.002,-0.001,0.004,0.009,0.005,0.010,0.006,0.006,0.006,0.004,0.010,0.004,0.014,0.007,0.004,0.005,0.012,0.009,0.013,0.006,0.005,0.009,0.007,0.003,0.007,0.014,0.003,-0.001,0.005,0.011,0.010,0.012,0.142,0.173,-0.008,0.064,-0.723,-0.004,-0.222,-0.026,-0.148,0.014,-0.181,-0.020,-0.241,0.007,0.007,0.008,0.004,0.015,0.003,0.017,0.010,0.002,0.007,0.013,0.010,0.014,0.008,0.007,0.011,0.005,0.015,0.005,0.022,0.006,-0.006,0.010,0.015,0.012,0.017,0.006,0.005,0.009,0.002,0.013,0.002,0.024,0.008,-0.002,0.010,0.012,0.008,0.014,0.007,0.007,0.010,0.003,0.017,0.003,0.020,0.008,-0.002,0.010,0.013,0.010,0.015,0.007,0.006,0.010,0.006,0.007,0.006,0.016,0.006,-0.001,0.007,0.011,0.010,0.011,0.016,0.012,0.039,0.015,-0.039,0.014,0.035,-0.014,-0.034,0.016,0.023,0.018,0.025,-0.000,-0.002,0.005,0.004,-0.013,0.004,0.014,0.011,0.005,0.004,0.010,0.001,0.013,-0.000,-0.001,0.003,0.001,-0.009,0.001,-0.000,-0.003,-0.003,0.001,-0.000,-0.000,-0.000,-0.000,-0.001,0.001,0.001,-0.012,0.001,-0.001,-0.006,-0.003,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,0.000,-0.011,0.000,0.000,0.002,-0.001,-0.000,-0.001,0.001
"2Q4",0.006,-0.065,0.000,0.011,0.004,-0.037,0.000,0.010,0.003,-0.088,0.000,0.010,0.002,0.592,0.000,-0.029,-0.065,-0.048,0.000,0.010,0.003,-0.076,0.000,0.010,0.003,-0.038,0.000,0.011,0.005,-0.070,0.000,0.010,0.003,-0.057,0.000,0.010,0.002,-0.189,0.000,0.008,0.005,-0.033,-0.000,0.009,0.008,-0.015,0.000,0.000,-0.000,-0.003,0.000,-0.000,0.000,-0.002,0.000,0.000,0.002,0.006,0.005,0.006,0.000,0.006,0.005,0.006,0.054,0.006,0.000,0.006,0.004,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.020,0.006,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.017,0.005,0.003,0.011,0.008,-0.012,0.009,0.008,0.001,-0.001,0.004,0.006,0.003,0.006,0.006,0.006,0.006,0.004,0.011,0.004,0.013,0.006,0.003,0.006,0.011,0.010,0.012,0.006,0.005,0.009,0.006,0.003,0.007,0.010,0.002,-0.001,0.006,0.008,0.009,0.008,-0.044,-0.025,-0.133,0.052,-0.761,-0.003,-0.300,-0.014,-0.062,-0.026,-0.244,-0.154,-0.278,0.008,0.007,0.008,0.003,0.015,0.003,0.015,0.008,0.000,0.008,0.012,0.010,0.012,0.008,0.008,0.011,0.005,0.016,0.004,0.017,0.004,-0.006,0.010,0.012,0.012,0.012,0.006,0.005,0.010,0.002,0.014,0.002,0.021,0.006,-0.004,0.010,0.011,0.008,0.012,0.007,0.007,0.010,0.003,0.018,0.003,0.016,0.007,-0.003,0.010,0.011,0.010,0.011,0.007,0.006,0.010,0.005,0.007,0.005,0.012,0.005,-0.002,0.007,0.008,0.010,0.008,0.015,0.012,0.032,0.012,-0.033,0.012,0.016,-0.014,-0.030,0.015,0.009,0.016,0.007,0.000,-0.001,0.005,0.004,-0.013,0.004,0.012,0.009,0.004,0.004,0.008,0.001,0.011,-0.000,-0.000,0.002,0.001,-0.009,0.001,-0.002,-0.003,-0.002,0.000,-0.002,-0.000,-0.002,-0.000,-0.000,-0.000,0.000,-0.011,0.000,-0.002,-0.006,-0.003,-0.001,-0.002,-0.001,-0.002,-0.001,-0.001,-0.000,0.000,-0.011,0.000,-0.000,0.001,-0.001,-0.000,-0.001,0.000
"3Q1",0.002,-0.061,0.000,0.006,0.003,-0.041,0.000,0.008,0.003,-0.084,0.000,0.006,0.001,0.729,0.000,-0.042,-0.041,-0.052,0.000,0.008,0.003,-0.077,0.000,0.006,0.002,-0.043,0.000,0.008,0.004,-0.072,0.000,0.007,0.002,-0.056,0.000,0.007,0.001,-0.168,0.000,-0.003,-0.000,-0.032,-0.000,0.007,0.007,-0.012,0.000,-0.001,-0.001,-0.000,0.000,-0.001,-0.000,-0.001,0.000,0.000,0.001,0.005,0.006,0.005,0.000,0.005,0.006,0.005,0.049,0.005,0.000,0.005,0.005,0.005,0.000,0.005,0.000,0.005,0.004,0.005,0.022,0.005,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.019,0.005,0.003,0.009,0.007,-0.013,0.008,0.005,0.001,-0.001,0.004,0.003,0.002,0.003,0.006,0.006,0.006,0.004,0.012,0.004,0.011,0.005,0.002,0.006,0.010,0.010,0.010,0.006,0.006,0.008,0.005,0.003,0.006,0.007,0.002,-0.001,0.006,0.006,0.009,0.005,-0.119,-0.103,-0.191,0.043,-0.780,-0.003,-0.302,-0.002,0.008,-0.057,-0.251,-0.207,-0.268,0.008,0.008,0.008,0.003,0.016,0.003,0.013,0.006,-0.001,0.008,0.010,0.010,0.010,0.009,0.008,0.011,0.004,0.017,0.004,0.012,0.003,-0.006,0.010,0.009,0.011,0.008,0.006,0.005,0.010,0.002,0.015,0.002,0.018,0.005,-0.005,0.010,0.010,0.008,0.011,0.007,0.007,0.010,0.003,0.018,0.003,0.013,0.005,-0.003,0.010,0.009,0.010,0.009,0.007,0.007,0.009,0.005,0.007,0.005,0.009,0.004,-0.002,0.007,0.006,0.009,0.005,0.014,0.012,0.025,0.009,-0.024,0.009,0.001,-0.013,-0.024,0.014,-0.001,0.014,-0.006,0.000,-0.001,0.005,0.004,-0.014,0.004,0.010,0.008,0.003,0.004,0.007,0.001,0.009,0.000,0.000,0.001,0.001,-0.008,0.001,-0.003,-0.003,-0.000,0.000,-0.002,-0.000,-0.003,-0.000,-0.000,-0.001,0.000,-0.009,0.000,-0.002,-0.006,-0.002,-0.001,-0.002,-0.001,-0.003,-0.001,-0.001,-0.000,0.000,-0.011,0.000,-0.000,0.000,-0.001,-0.001,-0.001,0.000
"3Q2",-0.001,-0.055,0.000,0.003,0.002,-0.043,0.000,0.006,0.002,-0.076,0.000,0.003,0.000,0.841,0.000,-0.046,-0.020,-0.055,0.000,0.006,0.002,-0.074,0.000,0.004,0.000,-0.044,0.000,0.006,0.004,-0.072,0.000,0.005,0.001,-0.054,0.000,0.005,0.000,-0.142,0.000,-0.010,-0.005,-0.030,-0.000,0.005,0.006,-0.009,0.000,-0.001,-0.002,0.002,0.000,-0.001,-0.000,0.001,0.000,-0.000,0.001,0.005,0.006,0.005,0.000,0.005,0.006,0.005,0.042,0.005,0.000,0.005,0.005,0.005,0.000,0.005,0.000,0.005,0.004,0.005,0.022,0.005,0.000,0.000,0.000,0.000,0.000,0.001,0.000,-0.019,0.004,0.003,0.008,0.006,-0.014,0.007,0.002,0.000,-0.001,0.004,0.001,0.001,0.001,0.006,0.006,0.006,0.003,0.012,0.004,0.009,0.004,0.001,0.006,0.008,0.009,0.008,0.006,0.006,0.008,0.004,0.004,0.005,0.005,0.001,-0.001,0.006,0.004,0.009,0.003,-0.146,-0.132,-0.213,0.036,-0.782,-0.002,-0.272,0.009,0.059,-0.082,-0.235,-0.226,-0.238,0.008,0.008,0.008,0.003,0.016,0.003,0.010,0.005,-0.001,0.008,0.009,0.010,0.008,0.009,0.008,0.010,0.003,0.018,0.003,0.009,0.002,-0.005,0.010,0.007,0.011,0.005,0.005,0.005,0.010,0.002,0.015,0.002,0.015,0.003,-0.006,0.011,0.008,0.007,0.009,0.007,0.007,0.010,0.002,0.019,0.003,0.010,0.004,-0.003,0.010,0.007,0.010,0.006,0.007,0.007,0.008,0.004,0.008,0.004,0.006,0.003,-0.002,0.007,0.005,0.009,0.003,0.013,0.012,0.019,0.006,-0.014,0.007,-0.009,-0.011,-0.018,0.013,-0.008,0.012,-0.016,0.001,-0.000,0.004,0.003,-0.014,0.003,0.008,0.006,0.003,0.004,0.006,0.001,0.007,0.000,0.000,0.000,0.001,-0.006,0.001,-0.003,-0.003,0.000,0.000,-0.003,-0.000,-0.004,-0.000,0.000,-0.001,0.000,-0.007,0.000,-0.002,-0.005,-0.002,-0.000,-0.002,-0.001,-0.003,-0.001,-0.001,-0.001,0.000,-0.010,0.000,-0.000,-0.000,-0.001,-0.001,-0.001,-0.000
