"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.009,-0.085,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.036,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.018,0.002,0.002,0.001,-0.000,0.000,-0.000,0.000,0.000,-0.001,-0.004,0.001,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.004,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.001,-0.004,0.000,-0.000,0.000,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.003,0.000,-0.000,-0.000,-0.001,0.083,0.069,0.138,3.882,-0.027,-0.000,1.278,-0.027,-0.003,-0.071,0.044,0.956,0.782,1.014,-0.001,-0.001,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.003,0.000,-0.000,-0.000,-0.001,-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.001,-0.003,0.000,-0.001,-0.001,-0.001,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.003,0.000,-0.000,-0.000,-0.001,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.001,-0.004,0.000,0.000,0.000,-0.000,-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.001,-0.003,0.000,-0.001,-0.001,-0.001,-0.000,-0.000,0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.001,-0.004,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,-0.001,-0.003,0.000,0.001,-0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.001,-0.000,-0.000,-0.000,-0.000
"1Q2",0.000,-0.001,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.001,0.000,0.000,-0.000,0.454,0.000,0.018,-0.123,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,-0.001,-0.000,0.000,0.000,-0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.025,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.018,0.003,0.004,0.001,-0.000,0.000,-0.000,0.002,0.000,-0.001,-0.003,0.001,0.001,0.001,0.001,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.003,0.000,0.000,-0.000,0.000,0.001,0.001,0.000,-0.000,0.000,-0.000,0.001,0.000,-0.000,-0.003,0.000,0.000,0.000,0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.002,0.000,-0.000,-0.000,-0.000,0.238,0.236,0.245,3.918,-0.078,-0.001,1.283,-0.078,-0.012,-0.141,0.071,0.960,0.867,0.991,-0.001,-0.001,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.002,0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.001,-0.002,-0.000,-0.001,-0.001,-0.001,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.002,0.000,-0.000,-0.000,-0.000,0.001,0.001,0.001,-0.000,0.000,-0.000,0.001,0.000,-0.001,-0.003,0.000,0.001,0.001,0.001,-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.000,-0.002,0.000,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.001,-0.002,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.001,0.000,-0.002,0.000,0.002,-0.002,-0.001,-0.003,0.000,0.002,-0.000,0.002,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.001,-0.000,-0.000,-0.000,0.000
"1Q3",0.001,-0.003,0.000,0.001,0.000,-0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.844,0.000,0.025,-0.157,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,-0.002,-0.000,0.000,0.000,-0.001,0.000,0.000,0.002,0.000,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.007,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.018,0.004,0.004,0.002,0.000,-0.000,0.000,0.003,-0.000,-0.000,-0.002,0.001,0.002,0.001,0.002,0.000,0.000,0.000,0.000,-0.000,0.000,0.001,-0.000,0.000,-0.002,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,-0.000,-0.002,0.000,0.001,0.001,0.001,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.001,0.000,0.000,-0.000,0.000,0.322,0.337,0.265,3.943,-0.141,-0.002,1.260,-0.141,-0.018,-0.183,0.079,0.942,0.907,0.953,-0.001,-0.001,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,0.000,-0.002,-0.000,-0.001,-0.002,0.000,-0.001,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.001,0.002,0.001,0.000,0.001,-0.000,0.002,0.001,0.000,-0.002,0.001,0.001,0.001,0.001,-0.001,-0.001,-0.000,0.000,-0.001,-0.000,0.000,-0.001,0.000,-0.001,0.000,-0.000,-0.001,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,-0.001,0.000,-0.001,0.000,0.000,-0.000,0.000,0.000,0.000,0.001,0.000,-0.003,0.000,0.003,-0.003,-0.001,-0.003,0.000,0.002,-0.000,0.003,-0.000,-0.000,-0.000,0.000,-0.002,0.000,0.000,-0.002,0.000,-0.001,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.000,0.000
"1Q4",0.001,-0.006,0.000,0.001,0.000,-0.002,0.000,0.001,0.000,-0.005,0.000,0.001,0.000,-0.000,0.000,0.000,0.000,1.216,0.000,0.027,-0.187,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,-0.003,0.000,0.001,0.000,0.001,0.000,0.000,0.001,-0.004,-0.000,0.000,0.000,-0.002,0.000,0.000,0.002,0.000,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.014,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.018,0.004,0.005,0.002,0.001,-0.000,0.000,0.004,-0.000,0.000,-0.002,0.001,0.003,0.002,0.003,0.000,0.000,0.000,0.000,-0.000,0.000,0.001,-0.000,0.000,-0.001,0.000,0.001,0.000,0.001,0.001,0.002,0.001,0.000,0.001,0.000,0.002,0.001,0.000,-0.001,0.000,0.002,0.001,0.002,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.001,-0.000,0.001,-0.000,0.000,0.000,0.000,0.001,0.361,0.396,0.231,3.964,-0.206,-0.003,1.228,-0.206,-0.020,-0.188,0.069,0.917,0.920,0.916,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.001,-0.000,0.001,-0.000,0.000,0.000,-0.000,0.001,-0.001,-0.001,-0.000,0.000,-0.002,-0.000,0.000,-0.002,0.001,-0.000,-0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,-0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.002,-0.000,-0.001,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,-0.000,0.000,0.000,-0.000,0.001,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,-0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,-0.003,0.000,0.004,-0.003,-0.001,-0.003,0.000,0.003,-0.000,0.004,-0.000,-0.000,-0.000,0.000,-0.002,0.000,0.000,-0.002,-0.000,-0.001,-0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.000,0.000
"2Q1",0.001,-0.009,0.000,0.002,-0.000,-0.003,0.000,0.001,0.000,-0.007,0.000,0.001,0.000,-0.001,0.000,0.001,0.000,1.581,0.000,0.015,-0.118,-0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.001,0.000,-0.005,0.000,0.001,0.000,-0.000,0.000,0.000,0.001,-0.006,-0.000,0.001,0.001,-0.003,0.000,0.000,0.002,0.000,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.022,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.005,0.006,0.002,0.001,-0.000,0.001,0.003,-0.000,0.000,-0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.001,0.000,0.002,0.001,0.001,-0.000,0.001,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.282,0.332,0.097,0.085,-0.261,-0.004,-0.091,-0.261,-0.025,-0.148,0.041,-0.072,0.125,-0.136,0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.002,-0.000,0.001,-0.002,0.001,0.001,0.000,0.001,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.002,0.003,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.001,0.002,0.002,0.002,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,0.001,0.000,0.001,-0.000,0.001,0.000,0.000,0.001,0.000,-0.002,0.000,0.001,-0.002,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,-0.003,0.000,0.002,-0.003,-0.002,-0.003,0.000,0.002,0.000,0.002,-0.000,-0.000,-0.000,0.000,-0.002,0.000,0.000,-0.002,-0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.000,0.000
"2Q2",0.001,-0.011,0.000,0.002,-0.001,-0.005,0.000,0.001,0.000,-0.010,0.000,0.001,0.000,-0.002,0.000,0.001,0.000,1.476,0.000,0.000,-0.092,-0.002,0.000,0.001,0.000,-0.002,0.000,0.000,0.001,-0.004,0.000,0.001,0.000,-0.007,0.000,0.001,-0.000,-0.002,0.000,0.000,0.001,-0.007,-0.000,0.001,0.001,-0.004,0.000,-0.000,0.001,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.025,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.001,0.005,0.006,0.002,0.001,-0.000,0.001,0.002,-0.000,-0.000,-0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.001,0.000,0.002,0.001,0.000,-0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.115,0.159,-0.051,0.074,-0.303,-0.004,-0.154,-0.303,-0.019,-0.097,0.015,-0.121,0.016,-0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.002,-0.001,0.001,0.001,0.000,0.001,-0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.003,0.003,0.001,0.000,0.002,0.000,0.002,0.002,0.000,-0.001,0.001,0.002,0.002,0.001,0.000,-0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,-0.002,0.000,0.001,-0.002,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,-0.003,0.000,0.001,-0.003,-0.001,-0.002,0.000,0.001,0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.000,-0.000,-0.000,-0.000,0.000
"2Q3",0.000,-0.012,0.000,0.001,-0.001,-0.006,0.000,0.001,0.000,-0.011,0.000,0.001,-0.000,-0.003,0.000,0.000,0.000,1.429,0.000,-0.013,-0.069,-0.003,0.000,0.001,0.000,-0.003,0.000,0.000,0.001,-0.005,0.000,0.001,0.000,-0.008,0.000,0.001,-0.000,-0.002,0.000,0.000,0.001,-0.007,-0.000,0.001,0.001,-0.003,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.024,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.002,0.005,0.006,0.002,0.001,-0.000,0.001,0.001,-0.000,-0.000,-0.002,0.001,0.001,0.002,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.001,-0.000,0.001,0.001,0.001,0.001,0.012,0.050,-0.132,0.060,-0.333,-0.004,-0.176,-0.333,-0.013,-0.049,-0.006,-0.140,-0.052,-0.169,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,-0.000,0.000,0.001,0.001,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.002,-0.001,0.001,0.000,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.001,-0.000,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.000,0.002,0.000,0.002,0.002,0.000,-0.001,0.001,0.001,0.002,0.001,0.000,-0.000,0.001,0.000,-0.001,0.000,0.001,-0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.000,-0.002,0.000,0.001,-0.002,0.001,-0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,-0.003,0.000,-0.000,-0.003,-0.001,-0.002,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.001,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.000,-0.000,-0.000,-0.000,0.000
"2Q4",0.000,-0.012,0.000,0.000,-0.001,-0.006,0.000,0.000,0.000,-0.012,0.000,0.001,-0.000,-0.003,0.000,0.000,0.000,1.399,0.000,-0.021,-0.048,-0.003,0.000,0.000,0.000,-0.003,0.000,0.000,0.001,-0.005,0.000,0.000,0.000,-0.009,0.000,0.001,-0.000,-0.003,0.000,0.000,0.001,-0.007,-0.000,0.000,0.001,-0.003,0.000,-0.001,-0.000,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.022,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.002,0.005,0.006,0.002,0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.002,0.001,-0.000,0.002,-0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.000,0.002,0.000,0.001,0.002,-0.000,-0.001,0.001,0.001,0.002,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.000,0.001,0.001,0.001,0.001,-0.048,-0.017,-0.165,0.049,-0.352,-0.003,-0.173,-0.352,-0.007,-0.010,-0.023,-0.140,-0.092,-0.155,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.001,-0.000,0.000,0.001,0.001,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,0.000,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.000,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.000,0.002,0.000,0.001,0.002,0.000,-0.001,0.001,0.001,0.002,0.000,0.000,-0.000,0.001,0.000,-0.000,0.000,0.001,-0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,-0.002,0.000,0.001,-0.002,0.000,-0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.002,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.000,-0.000,-0.000,-0.000,0.000
"3Q1",-0.000,-0.011,0.000,-0.000,-0.002,-0.006,0.000,0.000,-0.000,-0.011,0.000,0.000,-0.001,-0.004,0.000,0.000,0.000,1.374,0.000,-0.023,-0.029,-0.004,0.000,0.000,0.000,-0.003,0.000,0.000,0.001,-0.006,0.000,0.000,0.000,-0.009,0.000,0.000,-0.001,-0.003,0.000,0.000,0.001,-0.006,-0.000,0.000,0.000,-0.002,0.000,-0.001,-0.001,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.018,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.002,0.005,0.006,0.002,0.000,0.000,0.000,-0.001,0.000,-0.000,-0.002,0.001,-0.001,0.002,-0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.000,0.002,0.000,0.001,0.002,-0.000,-0.001,0.001,0.000,0.002,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,-0.082,-0.058,-0.171,0.040,-0.360,-0.003,-0.155,-0.360,-0.002,0.019,-0.036,-0.129,-0.113,-0.134,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.000,0.001,0.001,0.001,0.001,-0.000,-0.000,0.001,0.000,-0.001,0.000,0.001,-0.001,0.001,-0.000,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.000,0.002,0.000,0.001,0.002,-0.000,-0.001,0.001,0.001,0.002,0.000,0.000,-0.000,0.001,0.000,-0.000,0.000,0.001,-0.000,0.000,-0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,-0.002,0.000,0.001,-0.002,0.000,-0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,-0.001,0.000,-0.001,-0.001,-0.001,-0.001,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.000,-0.000,-0.000,-0.000,0.000
"3Q2",-0.000,-0.011,0.000,-0.001,-0.002,-0.006,0.000,-0.000,-0.000,-0.011,0.000,-0.000,-0.001,-0.004,0.000,0.000,0.000,1.348,0.000,-0.022,-0.011,-0.004,0.000,0.000,0.000,-0.002,0.000,-0.000,0.001,-0.006,0.000,0.000,0.000,-0.009,0.000,-0.000,-0.001,-0.003,0.000,0.000,0.000,-0.006,-0.000,0.000,0.000,-0.002,0.000,-0.001,-0.001,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.014,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.001,0.000,-0.000,0.000,-0.000,0.000,-0.002,0.005,0.006,0.002,0.000,0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.001,0.002,-0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,-0.000,-0.001,0.001,0.000,0.001,0.000,0.002,0.003,0.001,0.000,0.002,0.000,0.000,0.002,-0.000,-0.001,0.001,0.000,0.002,-0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,-0.099,-0.082,-0.165,0.033,-0.361,-0.002,-0.131,-0.361,0.003,0.038,-0.045,-0.114,-0.124,-0.110,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,-0.000,-0.000,0.001,0.000,-0.001,0.000,0.001,-0.001,0.000,-0.000,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,-0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.000,0.002,0.000,0.000,0.002,-0.000,-0.002,0.001,0.000,0.002,-0.000,0.000,-0.000,0.001,0.000,-0.000,0.000,0.001,-0.000,0.000,-0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,-0.002,0.000,0.000,-0.002,0.000,-0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.001,-0.001,0.000,-0.001,0.000,-0.002,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000
