"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.005,0.000,0.000,0.003,0.003,-0.000,0.000,0.002,0.001,0.000,0.000,0.005,0.005,-0.000,0.000,0.002,0.003,0.000,0.000,0.002,0.001,0.000,0.000,0.013,-0.026,0.000,0.000,0.002,0.000,0.000,0.000,0.002,0.002,-0.000,0.000,0.002,0.003,-0.000,0.000,0.002,0.003,0.000,-0.000,0.002,0.002,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.022,0.000,0.022,0.009,0.022,-0.009,0.022,0.006,0.022,0.010,0.022,-0.042,0.022,0.009,0.022,0.008,0.022,0.005,0.022,0.006,0.022,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.003,0.002,0.005,0.001,-0.001,0.001,0.008,-0.000,-0.006,0.001,0.006,0.001,0.006,-0.000,-0.001,0.002,0.000,0.001,0.000,0.003,0.000,-0.005,0.001,0.002,0.000,0.003,0.002,0.001,0.005,0.002,-0.002,0.002,0.014,-0.001,-0.008,-0.000,0.011,0.003,0.014,0.002,0.001,0.005,0.000,0.002,0.000,0.009,0.001,-0.007,0.002,0.006,0.002,0.008,-0.000,-0.001,0.002,0.000,0.002,0.000,0.003,0.000,-0.005,0.001,0.002,0.001,0.003,0.118,0.111,0.144,3.955,-0.046,-0.000,1.470,-0.008,-0.090,0.055,1.005,0.760,1.093,-0.000,-0.000,0.002,0.000,0.003,0.000,0.003,0.000,-0.006,0.001,0.002,0.000,0.002,0.001,0.000,0.003,0.000,0.003,0.000,0.007,0.001,-0.006,0.002,0.004,0.001,0.005,0.001,0.000,0.004,0.001,0.001,0.001,0.007,0.000,-0.006,0.001,0.005,0.001,0.006,0.001,0.000,0.005,0.001,0.001,0.000,0.008,0.001,-0.007,0.002,0.006,0.001,0.007,-0.002,-0.003,0.002,0.000,-0.003,0.000,0.003,0.001,-0.005,0.000,0.002,-0.002,0.003,-0.000,-0.000,0.001,0.000,-0.003,0.000,0.003,-0.000,-0.005,0.000,0.002,-0.000,0.003,-0.000,-0.001,0.000,0.000,-0.004,0.000,0.000,0.001,-0.003,-0.000,0.000,-0.001,0.001,-0.001,-0.001,0.000,0.000,-0.003,0.000,0.000,0.004,-0.000,0.000,-0.001,0.001
"1Q2",0.011,0.001,0.000,0.008,0.008,0.010,0.000,0.005,0.003,-0.005,0.000,0.012,0.015,0.007,0.000,0.006,0.009,0.007,0.000,0.005,0.003,0.500,0.000,0.029,-0.070,0.020,0.000,0.005,0.002,0.013,0.000,0.006,0.006,0.005,0.000,0.007,0.007,0.011,0.000,0.007,0.009,0.009,-0.000,0.005,0.006,-0.002,0.000,0.001,0.005,-0.001,0.000,0.001,0.002,-0.001,0.000,0.001,0.001,0.023,0.000,0.023,0.008,0.023,-0.012,0.023,0.005,0.023,0.009,0.023,-0.029,0.023,0.008,0.023,0.007,0.023,0.000,0.023,0.004,0.023,0.008,0.001,0.000,0.000,0.000,0.000,0.000,0.236,0.004,0.003,0.008,0.003,-0.004,0.003,0.022,0.002,-0.005,0.001,0.016,0.002,0.017,0.000,-0.001,0.002,0.001,0.002,0.001,0.008,0.003,-0.002,0.001,0.007,0.002,0.009,0.003,0.002,0.007,0.006,-0.004,0.006,0.036,-0.001,-0.009,-0.001,0.029,0.006,0.036,0.003,0.002,0.009,0.001,0.004,0.001,0.023,0.005,-0.006,0.004,0.017,0.004,0.022,0.000,-0.000,0.003,0.001,0.004,0.001,0.009,0.004,-0.003,0.002,0.007,0.002,0.008,0.381,0.406,0.283,3.978,-0.108,-0.001,1.566,-0.018,-0.180,0.093,1.070,0.923,1.123,0.001,0.000,0.003,0.000,0.005,0.000,0.011,0.004,-0.004,0.003,0.006,0.002,0.007,0.001,0.001,0.004,0.001,0.005,0.001,0.018,0.004,-0.005,0.003,0.012,0.003,0.015,0.002,0.001,0.006,0.002,0.002,0.002,0.021,0.003,-0.005,0.002,0.014,0.003,0.017,0.002,0.001,0.008,0.002,0.002,0.001,0.023,0.003,-0.006,0.003,0.016,0.003,0.021,-0.003,-0.005,0.002,0.001,-0.006,0.001,0.011,0.005,-0.002,0.001,0.008,-0.002,0.011,-0.000,-0.001,0.002,0.001,-0.007,0.001,0.009,-0.001,-0.006,0.000,0.006,-0.001,0.009,-0.001,-0.001,0.001,0.000,-0.008,0.000,0.002,0.000,-0.003,-0.001,0.002,-0.001,0.004,-0.001,-0.001,0.000,0.000,-0.006,0.000,0.001,0.004,-0.001,0.001,-0.001,0.002
"1Q3",0.017,-0.009,0.000,0.014,0.012,0.011,0.000,0.009,0.005,-0.036,0.000,0.021,0.023,0.002,0.000,0.011,0.014,0.007,0.000,0.008,0.005,0.860,0.000,0.043,-0.106,0.025,0.000,0.009,0.003,0.011,0.000,0.010,0.009,-0.002,0.000,0.012,0.011,0.007,0.000,0.011,0.014,0.009,-0.000,0.009,0.010,-0.005,0.000,0.003,0.007,-0.003,0.000,0.002,0.003,-0.002,0.000,0.001,0.002,0.025,0.000,0.025,0.009,0.025,-0.005,0.025,0.007,0.025,0.009,0.025,-0.006,0.025,0.009,0.025,0.008,0.025,0.005,0.025,0.006,0.025,0.010,0.002,0.000,0.001,0.000,0.001,0.000,0.245,0.005,0.004,0.010,0.005,-0.008,0.005,0.032,0.003,-0.004,0.001,0.023,0.004,0.026,0.001,0.000,0.003,0.002,0.004,0.002,0.014,0.005,0.000,0.002,0.012,0.003,0.014,0.003,0.001,0.009,0.010,-0.008,0.010,0.052,-0.002,-0.010,-0.001,0.041,0.008,0.051,0.004,0.003,0.011,0.002,0.006,0.002,0.034,0.008,-0.006,0.006,0.025,0.006,0.032,0.001,0.001,0.003,0.002,0.007,0.001,0.015,0.008,-0.001,0.003,0.011,0.004,0.014,0.533,0.587,0.325,3.994,-0.177,-0.002,1.597,-0.025,-0.240,0.110,1.090,1.011,1.119,0.002,0.001,0.003,0.001,0.008,0.001,0.019,0.007,-0.003,0.005,0.010,0.003,0.012,0.003,0.002,0.005,0.002,0.008,0.002,0.028,0.007,-0.004,0.005,0.018,0.005,0.023,0.003,0.002,0.007,0.004,0.003,0.004,0.031,0.006,-0.004,0.003,0.021,0.005,0.025,0.004,0.002,0.011,0.003,0.003,0.003,0.035,0.006,-0.006,0.005,0.024,0.006,0.031,-0.003,-0.005,0.003,0.002,-0.008,0.002,0.018,0.009,0.000,0.002,0.013,-0.002,0.019,-0.001,-0.001,0.003,0.001,-0.010,0.001,0.013,-0.002,-0.006,0.000,0.009,-0.001,0.013,-0.001,-0.001,0.001,0.000,-0.011,0.000,0.004,-0.001,-0.003,-0.001,0.003,-0.001,0.006,-0.001,-0.001,0.000,0.000,-0.008,0.000,0.002,0.004,-0.001,0.001,-0.001,0.003
"1Q4",0.022,-0.023,0.000,0.020,0.015,0.008,0.000,0.013,0.007,-0.075,0.000,0.029,0.030,-0.007,0.000,0.015,0.018,0.003,0.000,0.012,0.007,1.196,0.000,0.050,-0.138,0.026,0.000,0.013,0.005,0.004,0.000,0.014,0.012,-0.012,0.000,0.017,0.015,-0.001,0.000,0.016,0.018,0.005,-0.000,0.012,0.014,-0.010,0.000,0.003,0.009,-0.005,0.000,0.003,0.004,-0.003,0.000,0.002,0.003,0.027,0.007,0.027,0.012,0.027,0.007,0.027,0.011,0.027,0.012,0.027,0.024,0.027,0.012,0.027,0.012,0.027,0.009,0.027,0.010,0.027,0.013,0.002,0.000,0.001,0.000,0.001,0.000,0.249,0.006,0.004,0.012,0.008,-0.012,0.008,0.040,0.004,-0.003,0.001,0.029,0.004,0.032,0.002,0.002,0.003,0.003,0.006,0.003,0.019,0.008,0.003,0.003,0.016,0.006,0.020,0.003,0.000,0.011,0.014,-0.012,0.014,0.062,-0.003,-0.010,0.001,0.049,0.010,0.061,0.006,0.004,0.014,0.003,0.008,0.002,0.043,0.010,-0.005,0.007,0.032,0.009,0.040,0.003,0.002,0.004,0.002,0.009,0.002,0.021,0.011,0.002,0.004,0.016,0.006,0.019,0.619,0.699,0.308,4.007,-0.244,-0.003,1.599,-0.026,-0.252,0.104,1.090,1.057,1.102,0.003,0.003,0.004,0.001,0.011,0.001,0.026,0.010,-0.001,0.006,0.013,0.005,0.017,0.004,0.004,0.006,0.003,0.010,0.003,0.036,0.010,-0.002,0.006,0.023,0.007,0.030,0.004,0.002,0.009,0.005,0.003,0.005,0.039,0.008,-0.003,0.004,0.026,0.007,0.031,0.005,0.004,0.013,0.004,0.004,0.004,0.044,0.007,-0.005,0.007,0.030,0.008,0.039,-0.002,-0.004,0.004,0.003,-0.010,0.003,0.025,0.012,0.003,0.002,0.018,-0.000,0.025,-0.001,-0.002,0.003,0.001,-0.012,0.001,0.015,-0.003,-0.006,0.000,0.011,-0.001,0.015,-0.001,-0.001,0.001,0.001,-0.013,0.001,0.005,-0.002,-0.003,-0.001,0.003,-0.001,0.007,-0.001,-0.001,0.000,0.000,-0.011,0.000,0.002,0.004,-0.001,0.001,-0.001,0.004
"2Q1",0.021,-0.037,0.000,0.022,0.014,0.004,0.000,0.015,0.007,-0.109,0.000,0.029,0.026,-0.017,0.000,0.017,0.017,-0.003,0.000,0.014,0.007,1.526,0.000,0.038,-0.126,0.027,0.000,0.015,0.006,-0.004,0.000,0.016,0.012,-0.023,0.000,0.019,0.013,-0.009,0.000,0.018,0.017,-0.000,-0.000,0.014,0.014,-0.014,0.000,0.003,0.008,-0.007,0.000,0.003,0.004,-0.004,0.000,0.002,0.003,0.007,-0.006,0.007,-0.005,0.007,0.000,0.007,-0.005,0.007,-0.005,0.007,0.020,0.007,-0.006,0.007,-0.005,0.007,-0.005,0.007,-0.005,0.007,-0.004,0.002,0.000,0.002,0.000,0.001,0.000,0.030,0.006,0.004,0.013,0.009,-0.016,0.009,0.036,0.005,0.000,0.002,0.026,0.004,0.029,0.004,0.004,0.004,0.004,0.008,0.004,0.021,0.009,0.007,0.004,0.018,0.008,0.021,0.004,0.000,0.013,0.015,-0.015,0.015,0.053,-0.003,-0.007,0.002,0.042,0.011,0.052,0.008,0.006,0.016,0.004,0.009,0.003,0.042,0.011,-0.002,0.009,0.031,0.011,0.039,0.005,0.005,0.005,0.003,0.012,0.003,0.023,0.013,0.006,0.005,0.018,0.008,0.021,0.514,0.604,0.169,0.053,-0.298,-0.003,0.087,-0.025,-0.209,0.075,0.056,0.289,-0.029,0.005,0.005,0.005,0.002,0.013,0.002,0.030,0.012,0.002,0.008,0.016,0.007,0.019,0.006,0.006,0.007,0.004,0.012,0.003,0.037,0.012,0.000,0.008,0.024,0.009,0.029,0.005,0.004,0.010,0.007,0.003,0.007,0.038,0.009,0.000,0.005,0.025,0.009,0.030,0.007,0.006,0.015,0.005,0.005,0.005,0.043,0.008,-0.002,0.008,0.029,0.010,0.037,-0.001,-0.002,0.004,0.004,-0.011,0.003,0.026,0.014,0.007,0.003,0.019,0.001,0.025,-0.001,-0.002,0.004,0.001,-0.014,0.001,0.012,-0.005,-0.005,0.001,0.008,-0.001,0.011,-0.001,-0.001,0.001,0.001,-0.015,0.001,0.003,-0.005,-0.003,-0.001,0.002,-0.002,0.005,-0.001,-0.001,0.000,0.000,-0.012,0.000,0.002,0.003,-0.001,0.001,-0.001,0.003
"2Q2",0.016,-0.056,0.000,0.020,0.011,-0.015,0.000,0.014,0.006,-0.146,0.000,0.023,0.017,-0.041,0.000,0.016,0.012,-0.021,0.000,0.014,0.007,1.334,0.000,0.018,-0.095,-0.002,0.000,0.015,0.006,-0.035,0.000,0.015,0.009,-0.043,0.000,0.017,0.010,-0.035,0.000,0.017,0.012,-0.017,-0.000,0.014,0.012,-0.016,0.000,0.003,0.005,-0.006,0.000,0.002,0.003,-0.004,0.000,0.001,0.002,0.007,0.000,0.007,0.000,0.007,0.008,0.007,0.000,0.007,0.000,0.007,0.028,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.000,0.002,0.000,0.002,0.000,0.001,0.000,0.004,0.006,0.003,0.013,0.010,-0.019,0.010,0.026,0.003,-0.001,0.003,0.018,0.003,0.020,0.005,0.006,0.005,0.004,0.010,0.005,0.019,0.008,0.005,0.005,0.016,0.009,0.019,0.004,-0.000,0.014,0.015,-0.017,0.015,0.033,-0.004,-0.009,0.004,0.026,0.010,0.031,0.009,0.007,0.016,0.004,0.010,0.003,0.033,0.009,-0.004,0.010,0.024,0.012,0.029,0.006,0.006,0.006,0.004,0.013,0.003,0.022,0.012,0.003,0.007,0.017,0.010,0.019,0.246,0.311,-0.006,0.046,-0.340,-0.003,-0.067,-0.019,-0.152,0.045,-0.052,0.108,-0.110,0.005,0.005,0.007,0.002,0.015,0.002,0.029,0.010,-0.001,0.009,0.015,0.008,0.018,0.007,0.007,0.008,0.004,0.014,0.004,0.030,0.010,-0.002,0.009,0.020,0.010,0.024,0.006,0.005,0.011,0.007,0.003,0.007,0.029,0.007,-0.002,0.006,0.019,0.010,0.022,0.008,0.007,0.016,0.005,0.006,0.005,0.033,0.006,-0.005,0.009,0.023,0.011,0.027,0.000,-0.001,0.005,0.004,-0.012,0.004,0.022,0.013,0.005,0.004,0.016,0.002,0.021,-0.001,-0.002,0.003,0.001,-0.014,0.002,0.006,-0.004,-0.004,0.001,0.004,-0.001,0.006,-0.001,-0.001,0.001,0.001,-0.015,0.001,0.001,-0.005,-0.003,-0.001,0.001,-0.002,0.002,-0.001,-0.001,0.000,0.000,-0.013,0.000,0.001,0.002,-0.001,0.000,-0.001,0.002
"2Q3",0.010,-0.064,0.000,0.016,0.009,-0.028,0.000,0.013,0.006,-0.154,0.000,0.014,0.010,-0.054,0.000,0.014,0.009,-0.033,0.000,0.013,0.006,1.275,0.000,-0.000,-0.073,-0.019,0.000,0.013,0.006,-0.053,0.000,0.013,0.007,-0.053,0.000,0.014,0.007,-0.049,0.000,0.014,0.008,-0.026,-0.000,0.012,0.010,-0.016,0.000,0.001,0.003,-0.005,0.000,0.001,0.002,-0.003,0.000,0.001,0.002,0.006,0.000,0.006,0.000,0.006,0.013,0.006,0.000,0.006,0.000,0.006,0.031,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.002,0.000,0.002,0.000,0.001,0.000,-0.011,0.005,0.002,0.013,0.010,-0.021,0.010,0.017,0.001,-0.002,0.004,0.012,0.001,0.014,0.006,0.006,0.006,0.005,0.011,0.005,0.017,0.007,0.003,0.006,0.015,0.010,0.016,0.003,-0.000,0.014,0.013,-0.018,0.013,0.019,-0.004,-0.009,0.005,0.014,0.008,0.016,0.009,0.007,0.016,0.004,0.012,0.003,0.025,0.007,-0.005,0.011,0.019,0.012,0.022,0.007,0.007,0.007,0.004,0.014,0.004,0.020,0.010,0.002,0.007,0.015,0.010,0.017,0.087,0.136,-0.099,0.038,-0.369,-0.003,-0.144,-0.013,-0.093,0.019,-0.107,0.001,-0.146,0.006,0.005,0.008,0.002,0.016,0.002,0.026,0.009,-0.003,0.010,0.014,0.008,0.016,0.007,0.007,0.009,0.004,0.015,0.004,0.025,0.009,-0.003,0.010,0.016,0.011,0.019,0.006,0.005,0.011,0.007,0.003,0.007,0.022,0.005,-0.003,0.007,0.014,0.010,0.016,0.008,0.007,0.015,0.005,0.007,0.005,0.025,0.005,-0.006,0.010,0.018,0.011,0.020,0.001,-0.001,0.005,0.004,-0.013,0.004,0.018,0.011,0.004,0.005,0.013,0.002,0.017,-0.001,-0.002,0.003,0.001,-0.014,0.002,0.002,-0.003,-0.003,0.000,0.001,-0.001,0.002,-0.001,-0.001,0.000,0.001,-0.015,0.001,-0.000,-0.005,-0.003,-0.001,-0.001,-0.002,0.000,-0.001,-0.001,-0.000,0.000,-0.013,0.000,0.001,0.001,-0.001,-0.000,-0.002,0.001
"2Q4",0.005,-0.066,0.000,0.011,0.007,-0.036,0.000,0.011,0.005,-0.145,0.000,0.005,0.005,-0.060,0.000,0.010,0.006,-0.042,0.000,0.011,0.005,1.247,0.000,-0.014,-0.055,-0.031,0.000,0.011,0.006,-0.064,0.000,0.010,0.005,-0.057,0.000,0.010,0.005,-0.056,0.000,0.011,0.005,-0.031,-0.000,0.010,0.009,-0.014,0.000,0.000,0.001,-0.003,0.000,0.000,0.001,-0.002,0.000,0.001,0.002,0.006,0.006,0.006,0.000,0.006,0.015,0.006,0.000,0.006,0.000,0.006,0.030,0.006,0.000,0.006,0.000,0.006,0.004,0.006,0.000,0.006,0.000,0.002,0.000,0.002,0.000,0.001,0.000,-0.018,0.004,0.002,0.011,0.009,-0.023,0.009,0.011,0.001,-0.002,0.004,0.007,-0.000,0.008,0.006,0.006,0.006,0.004,0.011,0.005,0.015,0.006,0.002,0.006,0.013,0.010,0.014,0.003,-0.000,0.013,0.010,-0.017,0.011,0.008,-0.003,-0.007,0.006,0.006,0.007,0.006,0.009,0.007,0.016,0.004,0.013,0.003,0.019,0.006,-0.006,0.011,0.015,0.011,0.016,0.007,0.007,0.008,0.003,0.015,0.004,0.017,0.009,0.000,0.008,0.013,0.011,0.014,-0.003,0.032,-0.138,0.031,-0.387,-0.003,-0.173,-0.006,-0.042,-0.003,-0.130,-0.061,-0.155,0.006,0.005,0.009,0.002,0.016,0.002,0.023,0.007,-0.004,0.011,0.012,0.008,0.014,0.007,0.007,0.010,0.004,0.016,0.004,0.020,0.007,-0.004,0.010,0.013,0.010,0.015,0.006,0.005,0.011,0.006,0.003,0.006,0.016,0.004,-0.003,0.007,0.010,0.009,0.011,0.008,0.007,0.015,0.005,0.008,0.005,0.019,0.003,-0.006,0.010,0.013,0.011,0.014,0.001,-0.000,0.005,0.004,-0.013,0.004,0.015,0.010,0.003,0.005,0.011,0.002,0.014,-0.001,-0.001,0.002,0.001,-0.013,0.001,-0.000,-0.003,-0.002,0.000,-0.001,-0.001,-0.000,-0.001,-0.001,-0.000,0.000,-0.014,0.001,-0.001,-0.005,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,0.000,-0.013,0.000,0.000,0.001,-0.001,-0.000,-0.001,0.001
"3Q1",0.001,-0.062,0.000,0.006,0.006,-0.042,0.000,0.008,0.004,-0.126,0.000,-0.002,0.002,-0.063,0.000,0.007,0.004,-0.048,0.000,0.009,0.004,1.232,0.000,-0.021,-0.039,-0.038,0.000,0.009,0.005,-0.069,0.000,0.008,0.004,-0.058,0.000,0.006,0.003,-0.058,0.000,0.007,0.003,-0.033,-0.000,0.008,0.008,-0.011,0.000,-0.001,0.000,-0.000,0.000,-0.001,0.001,-0.001,0.000,0.000,0.002,0.005,0.007,0.005,0.000,0.005,0.014,0.005,0.000,0.005,0.000,0.005,0.028,0.005,0.000,0.005,0.000,0.005,0.005,0.005,0.004,0.005,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.021,0.003,0.001,0.010,0.008,-0.024,0.008,0.006,0.000,-0.002,0.004,0.003,-0.002,0.004,0.007,0.007,0.007,0.004,0.012,0.004,0.013,0.005,0.001,0.007,0.011,0.010,0.012,0.004,0.001,0.012,0.008,-0.016,0.009,0.001,-0.001,-0.005,0.006,-0.000,0.005,-0.002,0.008,0.007,0.015,0.003,0.014,0.003,0.014,0.004,-0.006,0.011,0.011,0.011,0.011,0.008,0.007,0.009,0.003,0.015,0.003,0.015,0.007,-0.001,0.008,0.012,0.011,0.012,-0.053,-0.029,-0.149,0.026,-0.394,-0.002,-0.175,0.000,-0.001,-0.021,-0.133,-0.094,-0.148,0.006,0.005,0.010,0.002,0.017,0.002,0.020,0.005,-0.005,0.011,0.011,0.008,0.012,0.007,0.007,0.010,0.003,0.017,0.003,0.016,0.006,-0.004,0.010,0.011,0.010,0.011,0.006,0.005,0.010,0.005,0.003,0.006,0.011,0.003,-0.003,0.007,0.007,0.009,0.007,0.008,0.007,0.014,0.004,0.010,0.004,0.014,0.002,-0.006,0.010,0.010,0.010,0.010,0.001,-0.000,0.005,0.004,-0.013,0.004,0.012,0.008,0.003,0.005,0.008,0.002,0.011,-0.000,-0.001,0.001,0.001,-0.012,0.001,-0.002,-0.003,-0.001,0.000,-0.002,-0.001,-0.002,-0.000,-0.000,-0.001,0.000,-0.012,0.000,-0.001,-0.005,-0.002,-0.001,-0.002,-0.001,-0.002,-0.001,-0.001,-0.000,0.000,-0.013,0.000,-0.000,0.000,-0.001,-0.001,-0.001,-0.000
"3Q2",-0.001,-0.056,0.000,0.002,0.005,-0.045,0.000,0.006,0.003,-0.102,0.000,-0.006,-0.001,-0.063,0.000,0.005,0.002,-0.053,0.000,0.007,0.003,1.222,0.000,-0.023,-0.025,-0.042,0.000,0.007,0.004,-0.071,0.000,0.005,0.002,-0.056,0.000,0.004,0.002,-0.057,0.000,0.005,0.001,-0.033,-0.000,0.006,0.007,-0.009,0.000,-0.001,-0.001,0.002,0.000,-0.001,0.000,0.001,0.000,-0.000,0.001,0.004,0.007,0.004,0.000,0.004,0.013,0.004,0.004,0.004,0.000,0.004,0.024,0.004,0.000,0.004,0.000,0.004,0.005,0.004,0.004,0.004,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.022,0.003,0.001,0.008,0.007,-0.023,0.007,0.002,0.000,-0.001,0.003,0.001,-0.003,0.001,0.007,0.007,0.007,0.004,0.013,0.004,0.010,0.004,0.000,0.007,0.009,0.010,0.009,0.004,0.002,0.010,0.005,-0.013,0.006,-0.004,0.000,-0.002,0.005,-0.004,0.004,-0.007,0.008,0.007,0.013,0.003,0.015,0.003,0.010,0.003,-0.005,0.011,0.008,0.010,0.007,0.008,0.007,0.009,0.003,0.016,0.003,0.012,0.006,-0.001,0.008,0.010,0.010,0.010,-0.080,-0.063,-0.147,0.022,-0.393,-0.001,-0.161,0.005,0.028,-0.035,-0.126,-0.111,-0.132,0.005,0.005,0.010,0.002,0.017,0.002,0.017,0.004,-0.006,0.011,0.009,0.008,0.010,0.007,0.006,0.010,0.003,0.017,0.003,0.012,0.005,-0.004,0.010,0.008,0.010,0.008,0.006,0.005,0.009,0.005,0.004,0.005,0.007,0.003,-0.002,0.007,0.005,0.008,0.004,0.007,0.007,0.012,0.004,0.011,0.004,0.010,0.002,-0.005,0.010,0.007,0.010,0.006,0.001,0.000,0.005,0.003,-0.013,0.004,0.009,0.007,0.002,0.005,0.006,0.001,0.008,-0.000,-0.000,0.000,0.001,-0.010,0.001,-0.003,-0.003,0.000,-0.000,-0.003,-0.001,-0.003,-0.000,-0.000,-0.001,0.000,-0.009,0.000,-0.002,-0.005,-0.001,-0.001,-0.002,-0.001,-0.003,-0.001,-0.001,-0.001,0.000,-0.012,0.000,-0.000,-0.000,-0.001,-0.001,-0.001,-0.000
