"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.007,0.000,0.000,0.005,0.003,-0.000,0.000,0.004,0.001,0.000,0.000,0.007,0.004,-0.000,0.000,0.004,0.002,0.000,0.000,0.004,0.001,0.000,1.000,0.020,-0.021,0.000,0.000,0.004,-0.000,0.000,0.000,0.004,0.002,0.000,0.000,0.004,0.002,-0.000,0.000,0.005,0.002,0.000,-0.000,0.004,0.003,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.022,-0.009,0.022,0.000,0.022,-0.024,0.022,-0.006,0.022,0.000,0.022,-0.078,0.022,0.000,0.022,-0.004,0.022,-0.006,0.022,-0.007,0.022,0.000,0.000,-0.007,0.000,0.000,0.000,0.000,0.209,-0.001,-0.003,0.003,0.001,-0.013,0.001,0.005,-0.013,0.001,-0.004,-0.001,0.004,-0.005,0.005,-0.001,-0.002,0.002,0.000,-0.004,0.000,0.002,-0.004,0.001,-0.003,0.000,0.001,-0.001,0.002,0.001,0.000,0.004,0.003,-0.012,0.003,0.011,-0.012,-0.000,-0.005,-0.002,0.008,0.000,0.011,0.001,0.001,0.005,0.000,-0.004,0.000,0.007,-0.004,0.002,-0.005,0.001,0.005,0.001,0.007,-0.001,-0.002,0.002,0.000,-0.002,0.000,0.002,-0.002,0.002,-0.003,0.000,0.002,-0.001,0.003,0.026,-0.013,0.176,-0.001,0.027,25.597,1.433,0.027,-0.012,-0.104,0.094,0.979,0.713,1.076,0.000,-0.000,0.002,0.000,-0.000,0.000,0.002,-0.000,0.002,-0.004,0.001,0.001,0.000,0.001,0.001,0.000,0.003,0.000,-0.002,0.000,0.006,-0.002,0.002,-0.004,0.001,0.004,0.001,0.005,-0.002,-0.003,0.002,0.001,-0.007,0.001,0.004,-0.007,0.002,-0.004,-0.000,0.003,-0.002,0.004,0.001,0.001,0.004,0.001,-0.005,0.001,0.006,-0.005,0.002,-0.005,0.001,0.004,0.001,0.006,-0.002,-0.003,0.002,0.000,-0.009,0.000,0.002,-0.009,0.002,-0.003,-0.000,0.002,-0.003,0.003,-0.001,-0.001,0.001,0.000,-0.008,0.000,0.002,-0.008,-0.000,-0.004,-0.000,0.001,-0.002,0.002,-0.001,-0.001,-0.001,0.000,-0.007,0.000,-0.001,-0.007,0.000,-0.003,-0.000,-0.001,-0.001,-0.000,0.000,0.000,-0.000,0.000,-0.005,0.000,0.000,-0.005,0.003,-0.000,0.000,-0.000,0.000
"1Q2",0.018,-0.000,0.000,0.013,0.006,0.006,0.000,0.010,0.002,-0.013,0.000,0.019,0.007,0.002,0.000,0.012,0.004,0.004,0.000,0.009,0.002,0.517,1.000,0.045,-0.035,0.009,0.000,0.010,-0.001,0.004,0.000,0.011,0.003,0.003,0.000,0.011,0.004,0.003,0.000,0.012,0.003,0.004,-0.000,0.010,0.005,-0.002,0.000,0.003,0.003,-0.001,0.000,0.001,0.001,-0.001,0.000,0.001,0.000,0.022,-0.014,0.022,-0.005,0.022,-0.031,0.022,-0.011,0.022,-0.004,0.022,-0.072,0.022,-0.006,0.022,-0.009,0.022,-0.011,0.022,-0.012,0.022,-0.006,0.001,-0.008,0.000,0.000,0.000,0.000,0.204,-0.003,-0.005,0.003,0.003,-0.026,0.003,0.010,-0.026,0.002,-0.004,-0.002,0.007,-0.009,0.009,-0.002,-0.003,0.002,0.001,-0.007,0.001,0.004,-0.007,0.003,-0.003,0.001,0.003,-0.002,0.005,0.001,-0.001,0.005,0.007,-0.026,0.007,0.019,-0.026,-0.002,-0.009,-0.004,0.015,0.000,0.020,0.002,0.001,0.007,0.001,-0.008,0.001,0.013,-0.008,0.005,-0.008,0.003,0.010,0.001,0.013,-0.002,-0.003,0.002,0.001,-0.004,0.001,0.005,-0.004,0.004,-0.004,0.001,0.004,-0.001,0.005,0.031,-0.027,0.255,-0.002,0.017,25.793,1.333,0.017,-0.029,-0.220,0.172,0.943,0.716,1.025,0.000,-0.000,0.003,0.001,-0.001,0.001,0.005,-0.001,0.004,-0.005,0.003,0.003,0.001,0.003,0.001,0.000,0.004,0.001,-0.005,0.001,0.011,-0.005,0.004,-0.007,0.003,0.007,0.001,0.010,-0.004,-0.005,0.003,0.002,-0.014,0.002,0.008,-0.014,0.003,-0.005,-0.000,0.005,-0.003,0.007,0.002,0.001,0.006,0.002,-0.011,0.002,0.012,-0.011,0.003,-0.008,0.003,0.008,0.001,0.011,-0.003,-0.005,0.002,0.001,-0.018,0.001,0.005,-0.018,0.005,-0.004,0.001,0.004,-0.004,0.007,-0.001,-0.002,0.001,0.001,-0.017,0.001,0.003,-0.017,-0.000,-0.005,-0.001,0.002,-0.003,0.004,-0.001,-0.001,-0.001,0.000,-0.015,0.000,-0.001,-0.015,0.002,-0.003,-0.001,-0.001,-0.002,-0.000,0.000,0.000,-0.000,0.000,-0.011,0.000,-0.000,-0.011,0.004,-0.001,-0.000,-0.001,0.000
"1Q3",0.029,-0.009,0.000,0.022,0.009,0.001,0.000,0.016,0.004,-0.049,0.000,0.032,0.010,-0.009,0.000,0.020,0.006,0.000,0.000,0.016,0.004,0.988,1.000,0.069,-0.054,0.000,0.000,0.017,-0.000,-0.010,0.000,0.019,0.005,-0.004,0.000,0.020,0.006,-0.010,0.000,0.020,0.005,-0.002,-0.000,0.017,0.007,-0.005,0.000,0.005,0.004,-0.002,0.000,0.002,0.001,-0.003,0.000,0.002,0.001,0.025,-0.013,0.025,-0.005,0.025,-0.028,0.025,-0.010,0.025,0.000,0.025,-0.051,0.025,-0.005,0.025,-0.008,0.025,-0.010,0.025,-0.011,0.025,-0.005,0.002,-0.007,0.001,0.000,0.001,0.000,0.196,-0.005,-0.008,0.003,0.006,-0.041,0.006,0.013,-0.041,0.001,-0.007,-0.003,0.009,-0.012,0.012,-0.003,-0.004,0.001,0.002,-0.009,0.002,0.006,-0.009,0.004,-0.004,0.002,0.005,-0.002,0.007,-0.002,-0.004,0.005,0.013,-0.041,0.012,0.026,-0.041,-0.006,-0.014,-0.004,0.020,-0.000,0.027,0.002,0.001,0.008,0.003,-0.013,0.002,0.018,-0.013,0.006,-0.012,0.006,0.013,0.002,0.018,-0.003,-0.004,0.002,0.002,-0.006,0.001,0.007,-0.006,0.006,-0.005,0.003,0.005,-0.001,0.007,0.021,-0.042,0.264,-0.004,-0.019,25.915,1.216,-0.019,-0.044,-0.314,0.232,0.894,0.705,0.963,0.000,-0.000,0.003,0.001,-0.002,0.001,0.009,-0.002,0.005,-0.008,0.005,0.004,0.001,0.006,0.001,0.000,0.004,0.002,-0.007,0.002,0.016,-0.007,0.005,-0.010,0.005,0.010,0.002,0.014,-0.006,-0.008,0.003,0.004,-0.020,0.004,0.011,-0.020,0.004,-0.007,0.000,0.007,-0.003,0.011,0.002,0.001,0.007,0.003,-0.016,0.003,0.017,-0.016,0.004,-0.012,0.005,0.012,0.002,0.016,-0.004,-0.006,0.002,0.002,-0.026,0.002,0.008,-0.026,0.007,-0.005,0.002,0.006,-0.006,0.010,-0.002,-0.003,0.001,0.001,-0.026,0.001,0.005,-0.026,0.000,-0.007,-0.001,0.003,-0.004,0.006,-0.001,-0.001,-0.002,0.001,-0.022,0.000,-0.001,-0.022,0.004,-0.003,-0.002,-0.001,-0.003,0.000,0.000,0.000,-0.000,0.000,-0.016,0.000,-0.000,-0.016,0.005,-0.001,-0.000,-0.001,0.000
"1Q4",0.040,-0.020,0.000,0.032,0.012,-0.006,0.000,0.024,0.005,-0.091,0.000,0.045,0.014,-0.023,0.000,0.029,0.009,-0.006,0.000,0.023,0.005,1.446,1.000,0.088,-0.076,-0.012,0.000,0.025,0.001,-0.028,0.000,0.027,0.006,-0.014,0.000,0.028,0.008,-0.025,0.000,0.029,0.007,-0.010,-0.000,0.025,0.010,-0.009,0.000,0.007,0.006,-0.003,0.000,0.003,0.002,-0.004,0.000,0.002,0.001,0.029,-0.008,0.029,0.000,0.029,-0.019,0.029,-0.005,0.029,0.000,0.029,-0.024,0.029,0.000,0.029,0.000,0.029,-0.005,0.029,-0.006,0.029,0.000,0.003,-0.005,0.001,0.000,0.001,0.000,0.187,-0.007,-0.011,0.003,0.009,-0.055,0.008,0.015,-0.055,0.000,-0.009,-0.002,0.011,-0.016,0.014,-0.003,-0.005,0.001,0.004,-0.011,0.003,0.008,-0.011,0.005,-0.005,0.003,0.007,-0.001,0.010,-0.004,-0.008,0.006,0.017,-0.056,0.017,0.029,-0.056,-0.009,-0.019,-0.004,0.023,-0.001,0.030,0.002,0.001,0.010,0.004,-0.017,0.003,0.023,-0.017,0.007,-0.016,0.008,0.017,0.002,0.022,-0.003,-0.005,0.002,0.003,-0.006,0.002,0.009,-0.006,0.007,-0.006,0.005,0.007,-0.001,0.010,0.004,-0.055,0.233,-0.005,-0.073,26.006,1.095,-0.073,-0.054,-0.375,0.277,0.841,0.685,0.897,0.000,-0.000,0.004,0.002,-0.002,0.002,0.012,-0.002,0.006,-0.010,0.007,0.006,0.002,0.008,0.001,-0.000,0.005,0.004,-0.009,0.003,0.020,-0.009,0.006,-0.013,0.008,0.013,0.002,0.017,-0.007,-0.010,0.003,0.006,-0.026,0.006,0.015,-0.026,0.005,-0.009,0.002,0.009,-0.004,0.013,0.002,0.001,0.009,0.005,-0.021,0.005,0.022,-0.021,0.005,-0.016,0.007,0.015,0.003,0.020,-0.005,-0.007,0.002,0.003,-0.033,0.003,0.011,-0.033,0.008,-0.007,0.003,0.008,-0.006,0.013,-0.003,-0.004,0.001,0.002,-0.034,0.002,0.006,-0.034,0.000,-0.008,-0.001,0.004,-0.005,0.007,-0.001,-0.001,-0.002,0.001,-0.028,0.001,-0.001,-0.028,0.004,-0.003,-0.002,-0.001,-0.003,0.001,0.000,0.000,-0.000,0.000,-0.021,0.000,-0.000,-0.021,0.005,-0.001,-0.000,-0.001,0.001
"2Q1",0.042,-0.030,0.000,0.036,0.015,-0.012,0.000,0.028,0.006,-0.126,0.000,0.050,0.017,-0.036,0.000,0.033,0.011,-0.011,0.000,0.027,0.006,1.906,1.000,0.082,-0.099,-0.020,0.000,0.029,0.002,-0.044,0.000,0.031,0.008,-0.022,0.000,0.033,0.010,-0.039,0.000,0.034,0.009,-0.017,-0.000,0.028,0.012,-0.012,0.000,0.008,0.007,-0.005,0.000,0.004,0.003,-0.005,0.000,0.003,0.002,0.033,0.000,0.033,0.004,0.033,-0.007,0.033,0.000,0.033,0.005,0.033,0.004,0.033,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.033,0.000,0.005,0.000,0.002,0.000,0.001,0.000,0.178,-0.009,-0.013,0.004,0.011,-0.068,0.011,0.017,-0.068,0.000,-0.010,-0.002,0.011,-0.019,0.015,-0.003,-0.005,0.002,0.005,-0.012,0.004,0.011,-0.012,0.007,-0.005,0.005,0.009,-0.000,0.012,-0.007,-0.012,0.007,0.021,-0.069,0.021,0.031,-0.069,-0.012,-0.023,-0.003,0.023,-0.003,0.032,0.003,0.001,0.012,0.005,-0.020,0.004,0.027,-0.020,0.008,-0.018,0.011,0.019,0.003,0.025,-0.003,-0.005,0.003,0.003,-0.006,0.003,0.012,-0.006,0.009,-0.007,0.006,0.009,0.000,0.012,-0.014,-0.065,0.183,-0.007,-0.137,26.071,0.981,-0.137,-0.059,-0.402,0.308,0.791,0.662,0.838,0.000,-0.000,0.005,0.002,-0.001,0.002,0.016,-0.001,0.008,-0.012,0.010,0.008,0.003,0.010,0.001,0.000,0.006,0.005,-0.010,0.004,0.024,-0.010,0.007,-0.015,0.010,0.015,0.003,0.020,-0.009,-0.012,0.003,0.008,-0.031,0.008,0.017,-0.031,0.006,-0.010,0.003,0.011,-0.004,0.015,0.003,0.001,0.011,0.006,-0.025,0.006,0.026,-0.025,0.005,-0.018,0.010,0.017,0.004,0.023,-0.006,-0.008,0.002,0.004,-0.038,0.004,0.014,-0.038,0.010,-0.007,0.005,0.010,-0.007,0.015,-0.004,-0.005,0.001,0.003,-0.041,0.003,0.007,-0.041,-0.000,-0.008,-0.001,0.005,-0.006,0.008,-0.002,-0.002,-0.002,0.001,-0.034,0.001,-0.000,-0.034,0.004,-0.003,-0.002,-0.001,-0.004,0.001,0.000,0.000,-0.000,0.001,-0.025,0.001,-0.000,-0.025,0.006,-0.001,-0.000,-0.002,0.001
"2Q2",0.039,-0.036,0.000,0.037,0.018,-0.017,0.000,0.029,0.008,-0.150,0.000,0.049,0.019,-0.046,0.000,0.034,0.013,-0.016,0.000,0.029,0.007,2.371,1.000,0.064,-0.120,-0.024,0.000,0.030,0.003,-0.055,0.000,0.032,0.010,-0.028,0.000,0.034,0.012,-0.048,0.000,0.035,0.011,-0.022,-0.000,0.030,0.014,-0.014,0.000,0.009,0.008,-0.006,0.000,0.004,0.004,-0.006,0.000,0.003,0.002,0.037,0.000,0.037,0.008,0.037,0.004,0.037,0.007,0.037,0.009,0.037,0.030,0.037,0.008,0.037,0.008,0.037,0.007,0.037,0.006,0.037,0.008,0.006,0.000,0.003,0.000,0.002,0.000,0.170,-0.011,-0.015,0.004,0.013,-0.079,0.013,0.018,-0.079,0.000,-0.009,-0.001,0.012,-0.022,0.016,-0.003,-0.005,0.003,0.006,-0.011,0.006,0.013,-0.011,0.008,-0.005,0.006,0.011,0.001,0.014,-0.009,-0.015,0.009,0.024,-0.079,0.024,0.031,-0.079,-0.013,-0.024,-0.001,0.023,-0.004,0.031,0.003,0.001,0.014,0.006,-0.021,0.005,0.030,-0.021,0.008,-0.019,0.013,0.021,0.005,0.028,-0.003,-0.005,0.004,0.004,-0.004,0.004,0.014,-0.004,0.011,-0.006,0.008,0.011,0.002,0.014,-0.031,-0.072,0.127,-0.008,-0.204,26.118,0.881,-0.204,-0.057,-0.398,0.326,0.751,0.641,0.790,0.001,0.000,0.006,0.002,0.001,0.003,0.020,0.001,0.009,-0.012,0.012,0.010,0.004,0.012,0.002,0.001,0.008,0.005,-0.009,0.005,0.027,-0.009,0.009,-0.016,0.013,0.017,0.005,0.022,-0.009,-0.013,0.004,0.010,-0.034,0.010,0.020,-0.034,0.006,-0.010,0.005,0.012,-0.003,0.017,0.004,0.002,0.013,0.008,-0.027,0.007,0.029,-0.027,0.005,-0.020,0.012,0.019,0.005,0.025,-0.005,-0.008,0.003,0.005,-0.041,0.005,0.017,-0.041,0.012,-0.007,0.006,0.011,-0.006,0.018,-0.004,-0.006,0.002,0.003,-0.047,0.003,0.008,-0.047,-0.001,-0.008,-0.001,0.005,-0.007,0.009,-0.002,-0.002,-0.002,0.001,-0.038,0.001,-0.000,-0.038,0.003,-0.003,-0.003,-0.001,-0.004,0.002,0.000,0.000,-0.000,0.001,-0.029,0.001,0.000,-0.029,0.005,-0.002,-0.000,-0.002,0.001
"2Q3",0.034,-0.040,0.000,0.036,0.021,-0.019,0.000,0.030,0.008,-0.160,0.000,0.044,0.021,-0.053,0.000,0.033,0.014,-0.020,0.000,0.029,0.008,2.840,1.000,0.042,-0.137,-0.023,0.000,0.030,0.004,-0.061,0.000,0.032,0.011,-0.031,0.000,0.033,0.013,-0.054,0.000,0.034,0.012,-0.025,-0.000,0.030,0.015,-0.015,0.000,0.008,0.009,-0.006,0.000,0.005,0.004,-0.006,0.000,0.003,0.003,0.039,0.009,0.039,0.012,0.039,0.014,0.039,0.012,0.039,0.012,0.039,0.054,0.039,0.012,0.039,0.012,0.039,0.012,0.039,0.011,0.039,0.012,0.007,0.000,0.003,0.000,0.002,0.000,0.165,-0.011,-0.017,0.006,0.015,-0.087,0.015,0.019,-0.087,0.001,-0.008,-0.000,0.012,-0.024,0.016,-0.002,-0.004,0.004,0.007,-0.008,0.007,0.016,-0.008,0.010,-0.003,0.008,0.013,0.003,0.017,-0.010,-0.017,0.011,0.025,-0.086,0.026,0.030,-0.086,-0.013,-0.024,0.001,0.021,-0.005,0.030,0.004,0.002,0.016,0.007,-0.020,0.005,0.032,-0.020,0.009,-0.019,0.016,0.023,0.006,0.029,-0.002,-0.004,0.005,0.005,-0.000,0.005,0.017,-0.000,0.013,-0.005,0.010,0.013,0.003,0.016,-0.044,-0.074,0.072,-0.009,-0.267,26.152,0.801,-0.267,-0.049,-0.371,0.333,0.722,0.623,0.757,0.002,0.001,0.008,0.003,0.005,0.003,0.024,0.005,0.010,-0.012,0.015,0.012,0.006,0.015,0.003,0.002,0.010,0.006,-0.006,0.006,0.030,-0.006,0.010,-0.016,0.015,0.019,0.007,0.024,-0.009,-0.013,0.006,0.011,-0.034,0.011,0.022,-0.034,0.007,-0.009,0.006,0.014,-0.002,0.018,0.005,0.003,0.016,0.009,-0.026,0.008,0.032,-0.026,0.006,-0.019,0.015,0.021,0.007,0.027,-0.005,-0.007,0.004,0.006,-0.042,0.006,0.019,-0.042,0.013,-0.006,0.008,0.013,-0.005,0.020,-0.005,-0.006,0.002,0.004,-0.051,0.004,0.008,-0.051,-0.002,-0.008,-0.001,0.005,-0.008,0.009,-0.002,-0.002,-0.002,0.002,-0.041,0.001,0.000,-0.041,0.000,-0.003,-0.003,-0.001,-0.004,0.002,0.000,0.000,-0.001,0.001,-0.032,0.001,0.000,-0.032,0.005,-0.002,-0.001,-0.002,0.001
"2Q4",0.028,-0.041,0.000,0.034,0.022,-0.021,0.000,0.029,0.009,-0.158,0.000,0.037,0.022,-0.058,0.000,0.031,0.015,-0.024,0.000,0.028,0.009,3.308,1.000,0.019,-0.149,-0.020,0.000,0.029,0.006,-0.064,0.000,0.030,0.012,-0.032,0.000,0.031,0.014,-0.056,0.000,0.032,0.013,-0.026,-0.000,0.029,0.017,-0.015,0.000,0.007,0.010,-0.006,0.000,0.004,0.005,-0.006,0.000,0.003,0.003,0.039,0.014,0.039,0.015,0.039,0.023,0.039,0.016,0.039,0.015,0.039,0.073,0.039,0.015,0.039,0.016,0.039,0.016,0.039,0.016,0.039,0.015,0.007,0.005,0.004,0.000,0.003,0.000,0.163,-0.011,-0.017,0.007,0.016,-0.093,0.016,0.021,-0.093,0.001,-0.006,0.001,0.012,-0.024,0.017,-0.000,-0.002,0.005,0.007,-0.004,0.007,0.019,-0.004,0.011,-0.001,0.009,0.016,0.006,0.019,-0.010,-0.018,0.012,0.025,-0.088,0.026,0.028,-0.088,-0.013,-0.021,0.002,0.020,-0.005,0.027,0.006,0.003,0.019,0.007,-0.016,0.006,0.035,-0.016,0.009,-0.018,0.018,0.025,0.008,0.031,-0.001,-0.003,0.007,0.005,0.004,0.005,0.020,0.004,0.015,-0.003,0.012,0.015,0.006,0.018,-0.053,-0.072,0.021,-0.009,-0.322,26.177,0.741,-0.321,-0.037,-0.324,0.330,0.706,0.610,0.740,0.004,0.003,0.009,0.003,0.010,0.004,0.028,0.010,0.012,-0.011,0.017,0.014,0.008,0.017,0.004,0.003,0.011,0.007,-0.001,0.006,0.033,-0.001,0.011,-0.014,0.017,0.021,0.009,0.026,-0.008,-0.013,0.007,0.012,-0.033,0.012,0.024,-0.033,0.008,-0.007,0.008,0.015,-0.001,0.020,0.007,0.005,0.018,0.009,-0.023,0.009,0.034,-0.023,0.006,-0.018,0.017,0.023,0.009,0.028,-0.003,-0.006,0.006,0.007,-0.041,0.006,0.022,-0.041,0.015,-0.004,0.010,0.015,-0.003,0.022,-0.005,-0.006,0.002,0.004,-0.052,0.004,0.008,-0.052,-0.004,-0.007,-0.001,0.004,-0.008,0.008,-0.002,-0.002,-0.002,0.002,-0.043,0.002,0.000,-0.043,-0.002,-0.003,-0.003,-0.001,-0.004,0.001,0.000,0.000,-0.001,0.001,-0.034,0.001,0.000,-0.034,0.003,-0.002,-0.001,-0.002,0.000
"3Q1",0.021,-0.040,0.000,0.031,0.024,-0.022,0.000,0.028,0.010,-0.146,0.000,0.029,0.023,-0.061,0.000,0.028,0.016,-0.028,0.000,0.027,0.009,3.770,1.000,-0.003,-0.155,-0.015,0.000,0.028,0.006,-0.063,0.000,0.028,0.012,-0.032,0.000,0.029,0.015,-0.056,0.000,0.029,0.014,-0.027,-0.000,0.027,0.018,-0.014,0.000,0.005,0.010,-0.005,0.000,0.004,0.005,-0.006,0.000,0.003,0.003,0.039,0.017,0.039,0.017,0.039,0.030,0.039,0.020,0.039,0.017,0.039,0.090,0.039,0.017,0.039,0.019,0.039,0.019,0.039,0.019,0.039,0.017,0.008,0.006,0.004,0.000,0.003,0.000,0.164,-0.011,-0.017,0.008,0.017,-0.095,0.017,0.022,-0.095,0.002,-0.004,0.002,0.013,-0.024,0.017,0.002,0.000,0.007,0.008,0.002,0.008,0.022,0.002,0.012,0.001,0.011,0.018,0.009,0.021,-0.009,-0.017,0.013,0.024,-0.086,0.025,0.027,-0.086,-0.011,-0.018,0.004,0.018,-0.005,0.025,0.008,0.005,0.021,0.007,-0.010,0.006,0.036,-0.010,0.010,-0.015,0.020,0.026,0.011,0.032,0.001,-0.000,0.008,0.006,0.010,0.006,0.024,0.010,0.017,-0.001,0.014,0.018,0.009,0.021,-0.057,-0.065,-0.028,-0.008,-0.364,26.195,0.703,-0.364,-0.021,-0.263,0.318,0.703,0.601,0.740,0.005,0.004,0.011,0.003,0.016,0.004,0.032,0.016,0.013,-0.009,0.019,0.016,0.010,0.019,0.006,0.005,0.012,0.007,0.005,0.007,0.035,0.005,0.012,-0.012,0.019,0.023,0.011,0.027,-0.007,-0.011,0.008,0.012,-0.030,0.012,0.026,-0.030,0.009,-0.004,0.009,0.016,0.001,0.021,0.009,0.007,0.020,0.009,-0.018,0.009,0.036,-0.018,0.006,-0.016,0.018,0.024,0.012,0.028,-0.002,-0.004,0.007,0.007,-0.037,0.007,0.025,-0.037,0.016,-0.001,0.011,0.017,-0.001,0.024,-0.004,-0.006,0.002,0.004,-0.052,0.004,0.008,-0.052,-0.005,-0.006,-0.001,0.004,-0.008,0.008,-0.002,-0.002,-0.002,0.001,-0.042,0.002,0.000,-0.042,-0.005,-0.002,-0.003,-0.002,-0.004,0.001,0.000,0.000,-0.001,0.001,-0.035,0.001,0.000,-0.035,0.002,-0.002,-0.001,-0.003,0.000
"3Q2",0.015,-0.038,0.000,0.028,0.025,-0.024,0.000,0.026,0.010,-0.126,0.000,0.021,0.023,-0.062,0.000,0.025,0.016,-0.032,0.000,0.025,0.010,4.219,1.000,-0.024,-0.156,-0.009,0.000,0.026,0.007,-0.061,0.000,0.025,0.012,-0.031,0.000,0.026,0.015,-0.053,0.000,0.026,0.014,-0.027,-0.000,0.025,0.018,-0.013,0.000,0.004,0.010,-0.003,0.000,0.003,0.005,-0.004,0.000,0.002,0.003,0.037,0.020,0.037,0.018,0.037,0.036,0.037,0.022,0.037,0.018,0.037,0.102,0.037,0.018,0.037,0.021,0.037,0.021,0.037,0.022,0.037,0.019,0.007,0.008,0.004,0.000,0.003,0.000,0.167,-0.009,-0.015,0.009,0.017,-0.094,0.017,0.024,-0.094,0.003,-0.001,0.003,0.014,-0.023,0.018,0.004,0.003,0.008,0.008,0.009,0.009,0.025,0.009,0.013,0.004,0.012,0.021,0.012,0.024,-0.008,-0.015,0.013,0.022,-0.081,0.023,0.026,-0.081,-0.009,-0.013,0.006,0.016,-0.003,0.023,0.010,0.007,0.022,0.007,-0.002,0.006,0.038,-0.002,0.010,-0.012,0.021,0.027,0.013,0.032,0.004,0.002,0.010,0.006,0.017,0.006,0.027,0.017,0.018,0.002,0.015,0.020,0.012,0.023,-0.058,-0.053,-0.076,-0.006,-0.390,26.209,0.686,-0.390,-0.002,-0.188,0.298,0.714,0.599,0.755,0.007,0.006,0.012,0.004,0.023,0.004,0.036,0.023,0.014,-0.007,0.021,0.018,0.012,0.021,0.008,0.007,0.013,0.007,0.012,0.007,0.037,0.012,0.013,-0.009,0.021,0.024,0.013,0.028,-0.005,-0.009,0.010,0.012,-0.025,0.013,0.029,-0.025,0.010,-0.001,0.011,0.018,0.003,0.022,0.010,0.009,0.021,0.009,-0.010,0.009,0.037,-0.010,0.006,-0.013,0.020,0.024,0.014,0.028,0.001,-0.002,0.008,0.007,-0.032,0.007,0.028,-0.032,0.017,0.001,0.013,0.019,0.001,0.025,-0.004,-0.005,0.002,0.003,-0.050,0.004,0.007,-0.050,-0.007,-0.004,-0.000,0.003,-0.007,0.007,-0.002,-0.001,-0.002,0.001,-0.040,0.001,0.000,-0.040,-0.009,-0.002,-0.003,-0.002,-0.004,0.000,0.000,0.000,-0.001,0.001,-0.035,0.001,0.000,-0.035,0.000,-0.002,-0.001,-0.003,-0.000
