"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.001,0.000,0.000,0.001,0.000,-0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,-0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.028,-0.038,0.000,0.000,0.001,0.001,-0.000,0.000,0.001,0.001,-0.000,0.000,0.000,0.000,0.000,-0.000,0.001,0.001,0.000,0.000,-0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,-0.136,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.027,0.003,0.003,0.002,0.001,0.001,0.001,0.004,0.001,0.001,0.001,-0.000,0.003,0.002,0.003,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.002,0.000,0.002,0.001,0.002,0.001,0.002,0.001,0.000,0.001,0.000,0.004,0.001,0.001,0.002,0.000,0.003,0.001,0.004,0.001,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.002,0.002,0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.002,0.002,0.000,0.002,0.001,0.002,0.001,0.000,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.002,0.000,0.002,0.001,0.002,0.619,0.656,0.375,4.726,-0.149,-0.001,2.429,-0.148,-0.030,-0.185,0.129,1.231,1.071,1.295,0.001,0.001,0.001,0.000,0.001,0.000,0.004,0.001,0.002,0.001,0.000,0.003,0.001,0.004,0.002,0.002,0.001,0.000,0.001,0.000,0.004,0.001,0.002,0.002,0.000,0.003,0.001,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,0.002,0.000,0.001,0.000,0.001,-0.000,-0.001,0.001,0.000,-0.001,0.000,0.002,-0.001,0.002,0.002,-0.000,0.001,-0.000,0.002,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.004,-0.004,0.000,0.000,-0.000,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,-0.000,-0.001,-0.002,-0.001,-0.000,-0.000,-0.000,0.000,-0.001,-0.001,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.001,-0.000,-0.000,-0.000,-0.000
"1Q2",0.003,-0.002,0.000,0.003,0.002,0.000,0.000,0.002,0.002,-0.001,0.000,0.002,0.004,0.001,0.000,0.001,0.002,0.000,0.000,0.001,0.002,0.001,0.000,0.001,0.002,0.209,0.000,0.064,-0.200,0.001,0.000,0.001,0.004,-0.001,0.000,0.002,0.004,0.002,0.000,0.001,0.001,0.002,-0.000,0.001,0.003,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,-0.110,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.040,0.004,0.004,0.003,0.002,0.001,0.002,0.009,0.001,0.000,-0.000,-0.000,0.007,0.003,0.007,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.000,0.004,0.001,0.005,0.002,0.002,0.002,0.001,0.002,0.001,0.008,0.002,0.001,0.000,0.001,0.007,0.002,0.008,0.001,0.001,0.002,0.000,0.002,0.000,0.005,0.002,0.002,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.001,0.000,0.001,0.000,0.005,0.001,0.002,0.001,0.000,0.004,0.001,0.005,0.001,0.001,0.001,0.000,0.002,0.000,0.005,0.002,0.002,0.001,0.001,0.004,0.001,0.004,1.799,1.967,0.683,4.771,-0.319,-0.002,3.459,-0.319,-0.062,-0.410,0.232,1.749,1.929,1.677,0.001,0.001,0.002,0.000,0.002,0.000,0.010,0.002,0.001,-0.000,0.001,0.006,0.002,0.008,0.003,0.003,0.002,0.001,0.002,0.001,0.010,0.002,0.001,-0.000,0.001,0.006,0.002,0.008,0.000,0.000,0.001,0.000,0.001,0.000,0.003,0.001,0.001,0.001,0.000,0.002,0.001,0.003,-0.001,-0.001,0.001,0.000,-0.002,0.000,0.005,-0.002,0.002,0.001,0.000,0.004,-0.000,0.005,0.000,0.000,0.001,0.000,-0.001,0.000,0.003,-0.001,-0.003,-0.004,0.000,0.002,-0.000,0.003,-0.000,-0.000,0.000,0.000,-0.002,0.000,0.001,-0.002,-0.002,-0.001,-0.000,0.000,-0.001,0.001,-0.001,-0.001,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.001,0.000
"1Q3",0.004,-0.006,0.000,0.005,0.003,0.000,0.000,0.003,0.003,-0.003,0.000,0.003,0.005,0.002,0.000,0.002,0.003,-0.001,0.000,0.002,0.003,0.002,0.000,0.002,0.003,-0.134,0.000,0.093,-0.281,0.000,0.000,0.002,0.005,-0.003,0.000,0.003,0.005,0.005,0.000,0.002,0.002,0.004,-0.000,0.002,0.004,-0.001,0.000,0.000,0.003,-0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,-0.055,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.044,0.005,0.005,0.004,0.002,0.001,0.003,0.011,0.001,-0.001,-0.002,0.000,0.008,0.003,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.001,-0.001,0.000,0.005,0.002,0.007,0.003,0.003,0.002,0.001,0.002,0.001,0.010,0.002,0.000,-0.001,0.001,0.008,0.003,0.010,0.001,0.001,0.002,0.000,0.002,0.000,0.007,0.002,0.002,-0.001,0.001,0.005,0.001,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.002,-0.000,0.001,0.005,0.002,0.006,0.001,0.001,0.001,0.000,0.002,0.000,0.007,0.002,0.002,-0.001,0.001,0.005,0.001,0.006,2.231,2.442,0.833,4.802,-0.494,-0.003,3.737,-0.494,-0.087,-0.579,0.287,1.887,2.230,1.749,0.001,0.001,0.002,0.001,0.002,0.001,0.012,0.002,0.001,-0.002,0.002,0.008,0.002,0.010,0.003,0.003,0.003,0.001,0.003,0.001,0.012,0.003,0.001,-0.002,0.001,0.008,0.003,0.009,0.000,0.000,0.001,0.000,0.001,0.000,0.004,0.001,0.001,0.000,0.001,0.003,0.001,0.004,-0.001,-0.001,0.001,0.001,-0.002,0.001,0.006,-0.002,0.002,-0.000,0.000,0.005,-0.000,0.006,0.000,-0.000,0.001,0.000,-0.002,0.000,0.005,-0.002,-0.003,-0.004,0.000,0.003,-0.000,0.005,-0.000,-0.000,0.000,0.000,-0.003,0.000,0.001,-0.003,-0.001,-0.001,-0.000,0.001,-0.001,0.002,-0.001,-0.001,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,0.000,-0.001,0.001
"1Q4",0.005,-0.010,0.000,0.006,0.003,-0.001,0.000,0.004,0.003,-0.006,0.000,0.004,0.005,0.003,0.000,0.003,0.004,-0.001,0.000,0.003,0.003,0.003,0.000,0.003,0.003,-0.303,0.000,0.108,-0.342,-0.001,0.000,0.003,0.006,-0.005,0.000,0.004,0.005,0.007,0.000,0.002,0.002,0.006,-0.000,0.003,0.004,-0.003,0.000,0.001,0.003,-0.001,0.000,0.000,0.001,-0.000,0.000,0.000,0.001,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.012,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.005,0.005,0.004,0.003,-0.000,0.003,0.011,-0.000,-0.002,-0.003,0.000,0.008,0.003,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.001,-0.001,0.001,0.006,0.002,0.007,0.003,0.003,0.002,0.001,0.003,0.001,0.011,0.003,0.000,-0.003,0.001,0.009,0.003,0.010,0.001,0.001,0.002,0.000,0.003,0.000,0.008,0.003,0.001,-0.002,0.002,0.006,0.002,0.007,0.001,0.001,0.002,0.001,0.002,0.001,0.007,0.002,0.002,-0.001,0.001,0.005,0.002,0.006,0.001,0.001,0.001,0.001,0.003,0.001,0.007,0.003,0.001,-0.001,0.001,0.005,0.002,0.006,2.391,2.622,0.855,4.827,-0.655,-0.005,3.760,-0.655,-0.100,-0.642,0.285,1.896,2.331,1.721,0.002,0.001,0.002,0.001,0.003,0.001,0.014,0.003,0.001,-0.003,0.002,0.009,0.002,0.011,0.003,0.003,0.004,0.001,0.003,0.001,0.013,0.003,0.001,-0.003,0.002,0.008,0.003,0.010,0.000,0.000,0.001,0.001,0.001,0.001,0.005,0.001,0.001,-0.001,0.001,0.003,0.001,0.005,-0.001,-0.001,0.001,0.001,-0.002,0.001,0.007,-0.002,0.001,-0.001,0.001,0.005,-0.000,0.007,0.000,-0.000,0.001,0.000,-0.002,0.001,0.006,-0.002,-0.002,-0.004,0.000,0.004,0.000,0.005,-0.000,-0.000,0.000,0.000,-0.004,0.000,0.001,-0.004,-0.001,-0.001,-0.000,0.001,-0.001,0.002,-0.001,-0.001,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,0.000,-0.001,0.001
"2Q1",0.005,-0.014,0.000,0.006,0.002,-0.001,0.000,0.004,0.003,-0.008,0.000,0.004,0.004,0.003,0.000,0.003,0.003,-0.002,0.000,0.003,0.002,0.004,0.000,0.003,0.003,-0.319,0.000,0.078,-0.333,-0.002,0.000,0.003,0.005,-0.007,0.000,0.003,0.004,0.009,0.000,0.003,0.002,0.008,-0.000,0.003,0.004,-0.005,0.000,0.001,0.002,-0.001,0.000,0.001,0.001,-0.000,0.000,0.000,0.001,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.058,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.017,0.004,0.004,0.004,0.003,-0.001,0.004,0.008,-0.001,-0.002,-0.004,0.001,0.006,0.003,0.007,0.001,0.001,0.001,0.002,0.002,0.002,0.006,0.002,0.000,-0.002,0.001,0.005,0.002,0.006,0.003,0.003,0.002,0.002,0.003,0.002,0.009,0.003,0.000,-0.003,0.002,0.007,0.003,0.008,0.001,0.001,0.002,0.000,0.003,0.000,0.007,0.003,0.001,-0.002,0.002,0.005,0.002,0.006,0.002,0.002,0.002,0.001,0.002,0.001,0.006,0.002,0.002,-0.002,0.001,0.005,0.002,0.005,0.001,0.001,0.001,0.001,0.004,0.001,0.006,0.004,0.001,-0.002,0.002,0.004,0.002,0.005,1.759,1.926,0.650,0.100,-0.787,-0.007,1.161,-0.787,-0.091,-0.577,0.221,0.581,1.218,0.323,0.002,0.001,0.002,0.001,0.003,0.001,0.011,0.003,0.001,-0.004,0.002,0.007,0.002,0.009,0.003,0.003,0.004,0.001,0.004,0.001,0.010,0.004,0.000,-0.003,0.002,0.007,0.003,0.008,0.001,0.000,0.001,0.001,0.002,0.001,0.005,0.002,0.001,-0.001,0.001,0.003,0.001,0.004,-0.000,-0.001,0.001,0.001,-0.003,0.001,0.006,-0.003,0.001,-0.002,0.001,0.004,0.000,0.006,0.000,-0.000,0.001,0.001,-0.003,0.001,0.004,-0.003,-0.002,-0.004,0.000,0.003,0.000,0.004,-0.000,-0.000,0.000,0.000,-0.004,0.000,0.001,-0.004,-0.000,-0.001,-0.000,0.001,-0.001,0.001,-0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.002,-0.000,0.000,-0.001,0.001
"2Q2",0.003,-0.017,0.000,0.004,0.000,-0.003,0.000,0.003,0.001,-0.012,0.000,0.003,0.001,0.001,0.000,0.003,0.001,-0.004,0.000,0.003,0.001,0.001,0.000,0.003,0.001,-0.494,0.000,0.029,-0.189,-0.006,0.000,0.003,0.002,-0.010,0.000,0.003,0.001,0.008,0.000,0.002,0.001,0.006,-0.000,0.003,0.002,-0.006,0.000,0.001,0.000,-0.001,0.000,0.000,0.000,-0.000,0.000,0.000,0.001,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.081,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.004,0.004,0.003,-0.002,0.003,0.004,-0.002,-0.002,-0.004,0.001,0.003,0.003,0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.004,0.002,0.001,-0.002,0.001,0.003,0.002,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.004,0.003,0.000,-0.003,0.002,0.004,0.003,0.004,0.001,0.001,0.002,0.000,0.004,0.000,0.004,0.004,0.002,-0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.002,0.001,0.002,0.001,0.004,0.002,0.001,-0.002,0.001,0.003,0.002,0.003,0.001,0.001,0.001,0.001,0.004,0.001,0.005,0.004,0.001,-0.002,0.002,0.003,0.002,0.004,0.485,0.508,0.330,0.087,-0.885,-0.008,-0.114,-0.885,-0.079,-0.437,0.140,-0.070,0.262,-0.205,0.002,0.002,0.002,0.001,0.003,0.001,0.006,0.003,0.001,-0.004,0.002,0.004,0.002,0.005,0.003,0.003,0.003,0.001,0.004,0.001,0.005,0.004,0.001,-0.004,0.002,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.002,0.001,0.004,0.002,0.001,-0.002,0.001,0.003,0.001,0.003,-0.000,-0.000,0.001,0.001,-0.003,0.001,0.004,-0.003,0.001,-0.002,0.001,0.003,0.000,0.004,0.000,-0.000,0.001,0.001,-0.003,0.001,0.001,-0.003,-0.001,-0.003,0.000,0.000,0.000,0.001,-0.000,-0.000,0.000,0.000,-0.004,0.000,-0.000,-0.004,-0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.001,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,0.000,-0.001,0.001
"2Q3",0.002,-0.018,0.000,0.003,-0.000,-0.005,0.000,0.002,0.001,-0.015,0.000,0.002,0.000,-0.001,0.000,0.002,0.001,-0.006,0.000,0.002,0.001,-0.001,0.000,0.002,0.001,-0.010,0.000,-0.020,-0.145,-0.009,0.000,0.002,0.001,-0.012,0.000,0.002,-0.000,0.006,0.000,0.002,0.001,0.004,-0.000,0.002,0.002,-0.006,0.000,0.001,-0.000,-0.001,0.000,0.000,0.000,-0.000,0.000,0.000,0.001,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.088,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.004,0.004,0.003,0.003,-0.002,0.003,0.001,-0.002,-0.002,-0.004,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.001,-0.002,0.001,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.000,-0.003,0.002,0.002,0.003,0.002,0.001,0.001,0.002,0.000,0.004,0.000,0.003,0.004,0.001,-0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.004,0.001,0.004,0.004,0.001,-0.002,0.002,0.003,0.002,0.003,0.056,0.052,0.079,0.069,-0.954,-0.009,-0.509,-0.954,-0.060,-0.280,0.062,-0.276,-0.063,-0.362,0.002,0.002,0.002,0.001,0.003,0.001,0.004,0.003,0.001,-0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.001,0.004,0.001,0.003,0.004,0.001,-0.003,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.001,0.002,0.001,0.003,0.000,-0.000,0.001,0.001,-0.002,0.001,0.003,-0.002,0.001,-0.002,0.001,0.002,0.000,0.003,0.000,-0.000,0.001,0.001,-0.003,0.001,-0.000,-0.003,-0.001,-0.002,0.000,-0.000,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,-0.000,-0.001,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"2Q4",0.000,-0.017,0.000,0.001,-0.001,-0.007,0.000,0.002,0.000,-0.016,0.000,0.002,-0.000,-0.003,0.000,0.002,0.000,-0.008,0.000,0.002,0.000,-0.003,0.000,0.002,0.001,0.355,0.000,-0.057,-0.123,-0.011,0.000,0.002,0.000,-0.013,0.000,0.002,-0.001,0.004,0.000,0.002,0.001,0.002,-0.000,0.002,0.001,-0.005,0.000,0.000,-0.001,-0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.085,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.003,0.004,0.003,0.002,-0.002,0.003,-0.000,-0.002,-0.001,-0.003,0.001,-0.000,0.002,-0.000,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,-0.002,0.001,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.003,0.001,0.001,0.003,0.000,-0.003,0.002,0.001,0.003,0.001,0.002,0.001,0.002,0.000,0.004,0.000,0.003,0.004,0.001,-0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.001,0.002,0.003,0.001,-0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.005,0.001,-0.002,0.002,0.002,0.002,0.002,-0.095,-0.096,-0.089,0.055,-0.997,-0.009,-0.601,-0.997,-0.039,-0.137,-0.004,-0.328,-0.179,-0.388,0.002,0.002,0.002,0.001,0.004,0.001,0.003,0.004,0.001,-0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.004,0.001,0.001,0.004,0.001,-0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.001,0.002,0.000,0.000,0.001,0.001,-0.002,0.001,0.002,-0.002,0.001,-0.002,0.001,0.002,0.001,0.002,0.000,0.000,0.000,0.001,-0.003,0.001,-0.001,-0.003,-0.001,-0.002,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"3Q1",-0.000,-0.015,0.000,-0.000,-0.001,-0.007,0.000,0.001,0.000,-0.016,0.000,0.001,-0.001,-0.004,0.000,0.002,0.000,-0.009,0.000,0.001,-0.000,-0.005,0.000,0.001,0.000,0.659,0.000,-0.077,-0.102,-0.012,0.000,0.001,-0.000,-0.013,0.000,0.001,-0.001,0.002,0.000,0.002,0.001,0.001,-0.000,0.001,0.001,-0.004,0.000,-0.000,-0.001,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.077,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.003,0.004,0.002,0.002,-0.003,0.002,-0.001,-0.003,-0.001,-0.003,0.001,-0.001,0.001,-0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,-0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.003,0.001,0.001,0.003,0.000,-0.002,0.002,0.001,0.003,0.000,0.002,0.001,0.002,0.000,0.005,0.000,0.002,0.005,0.001,-0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.001,0.002,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.001,0.003,0.005,0.001,-0.002,0.002,0.002,0.002,0.002,-0.150,-0.144,-0.187,0.045,-1.017,-0.008,-0.579,-1.017,-0.018,-0.022,-0.057,-0.321,-0.220,-0.362,0.002,0.002,0.002,0.001,0.004,0.001,0.002,0.004,0.001,-0.003,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.004,0.001,0.001,0.004,0.000,-0.003,0.002,0.001,0.003,-0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.002,0.000,0.000,0.001,0.001,-0.002,0.001,0.002,-0.002,0.001,-0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,-0.002,0.001,-0.001,-0.002,-0.001,-0.002,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,-0.000,-0.001,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"3Q2",-0.001,-0.013,0.000,-0.001,-0.001,-0.008,0.000,0.000,-0.000,-0.015,0.000,0.000,-0.001,-0.005,0.000,0.001,0.000,-0.009,0.000,0.001,-0.000,-0.006,0.000,0.001,0.000,0.914,0.000,-0.082,-0.078,-0.013,0.000,0.001,-0.000,-0.013,0.000,0.001,-0.001,0.000,0.000,0.001,0.001,0.000,-0.000,0.001,0.001,-0.003,0.000,-0.001,-0.001,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.066,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.005,0.003,0.004,0.002,0.001,-0.003,0.002,-0.002,-0.003,-0.000,-0.002,0.002,-0.001,0.001,-0.002,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.003,0.001,0.000,0.003,0.000,-0.002,0.002,0.000,0.003,-0.000,0.002,0.001,0.002,0.000,0.005,0.000,0.002,0.005,0.001,-0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.001,0.001,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.005,0.001,0.002,0.005,0.001,-0.002,0.002,0.002,0.002,0.002,-0.168,-0.158,-0.235,0.037,-1.017,-0.007,-0.512,-1.017,-0.000,0.062,-0.098,-0.292,-0.232,-0.317,0.002,0.002,0.002,0.001,0.004,0.001,0.001,0.004,0.001,-0.002,0.002,0.001,0.002,0.000,0.003,0.004,0.002,0.001,0.004,0.001,0.000,0.004,0.000,-0.002,0.002,0.000,0.003,-0.000,0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.003,0.001,-0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,-0.002,0.001,0.001,-0.002,0.001,-0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.001,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.000,-0.001,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
