"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.001,0.000,0.000,0.001,-0.000,-0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,-0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,1.000,0.022,0.033,0.000,0.000,0.001,0.000,0.000,0.000,0.001,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.001,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.108,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.020,0.002,0.002,0.001,0.001,-0.000,0.001,0.002,-0.000,0.002,0.003,-0.000,0.001,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.003,-0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.003,-0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.002,0.003,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.003,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.003,0.000,0.001,0.000,0.001,-0.051,-0.093,0.229,-0.001,-0.034,22.660,1.811,-0.034,-0.023,-0.123,0.105,0.919,0.592,1.051,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.003,0.000,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.003,-0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.003,0.000,0.001,0.000,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.001,-0.001,0.002,0.003,-0.000,0.001,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.002,-0.002,0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.001,0.000,-0.001,-0.001,-0.002,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,-0.000
"1Q2",0.002,-0.001,0.000,0.003,-0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.001,0.000,-0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.610,1.000,0.050,0.017,0.000,0.000,0.001,0.001,-0.000,0.000,0.002,0.000,0.001,0.000,0.001,0.000,0.002,-0.000,0.001,0.001,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.099,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.019,0.002,0.003,0.001,0.001,-0.001,0.001,0.003,-0.001,0.001,0.001,-0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.001,0.002,0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.002,0.000,0.001,0.001,0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.002,0.000,0.001,0.001,0.002,0.001,0.002,0.001,0.000,0.001,0.000,0.003,0.001,0.002,0.001,0.001,0.003,0.001,0.003,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.002,0.002,0.000,0.001,0.001,0.002,-0.067,-0.127,0.331,-0.002,-0.095,22.926,1.656,-0.095,-0.049,-0.269,0.189,0.860,0.575,0.976,0.001,0.001,0.001,0.000,0.001,0.000,0.004,0.001,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0.000,0.001,0.000,0.003,0.001,0.001,0.001,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.000,0.001,0.000,0.001,-0.000,-0.001,0.000,0.000,-0.003,0.000,0.001,-0.003,0.002,0.002,-0.000,0.001,-0.001,0.002,-0.000,-0.000,-0.000,-0.000,-0.002,0.000,-0.001,-0.002,-0.002,-0.002,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.001,-0.000,-0.001,-0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.001,-0.002,0.000,-0.000,-0.000,-0.000,-0.000
"1Q3",0.004,-0.003,0.000,0.004,0.000,-0.001,0.000,0.003,0.001,-0.001,0.000,0.003,0.001,0.000,0.000,0.002,0.001,-0.002,0.000,0.002,0.001,0.000,0.000,0.002,0.001,1.138,1.000,0.076,-0.006,-0.001,0.000,0.002,0.001,-0.001,0.000,0.002,0.001,0.001,0.000,0.002,0.001,0.002,-0.000,0.002,0.001,0.000,0.000,0.000,-0.000,0.001,0.000,-0.000,-0.000,0.001,0.000,-0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,-0.074,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.018,0.003,0.003,0.001,0.002,-0.002,0.002,0.003,-0.002,-0.000,-0.000,-0.000,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.000,0.000,0.002,0.001,0.003,0.001,0.002,0.001,0.001,0.000,0.001,0.003,0.000,0.001,0.000,0.000,0.002,0.001,0.003,0.001,0.000,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.000,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.000,0.002,0.000,0.004,0.002,0.001,-0.000,0.001,0.003,0.002,0.003,0.000,0.000,0.001,0.000,0.001,0.000,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,-0.078,-0.140,0.338,-0.004,-0.174,23.095,1.498,-0.174,-0.072,-0.388,0.253,0.801,0.559,0.898,0.001,0.001,0.001,0.000,0.002,0.000,0.005,0.002,0.001,-0.000,0.001,0.003,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.000,0.001,0.002,0.002,0.002,0.000,-0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,0.001,0.000,0.001,0.000,0.002,-0.001,-0.001,0.000,0.001,-0.004,0.001,0.002,-0.004,0.002,0.001,0.000,0.001,-0.001,0.002,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.002,-0.002,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.003,0.000,-0.001,-0.003,-0.000,-0.001,-0.000,-0.001,-0.001,-0.000,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.001,-0.002,0.000,-0.000,-0.000,-0.000,-0.000
"1Q4",0.005,-0.005,0.000,0.005,0.000,-0.002,0.000,0.003,0.001,-0.003,0.000,0.004,0.001,0.000,0.000,0.003,0.001,-0.004,0.000,0.003,0.001,0.000,0.000,0.003,0.001,1.653,1.000,0.095,-0.034,-0.003,0.000,0.003,0.002,-0.002,0.000,0.003,0.001,0.002,0.000,0.003,0.001,0.002,-0.000,0.003,0.002,0.000,0.000,0.001,-0.000,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.003,-0.045,0.003,0.000,0.003,0.000,0.003,0.000,0.003,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.017,0.003,0.003,0.001,0.002,-0.003,0.002,0.003,-0.003,-0.001,-0.001,-0.000,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.000,0.001,0.003,0.000,0.001,-0.001,0.001,0.002,0.001,0.003,0.001,0.000,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.000,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.004,0.002,0.001,-0.001,0.001,0.003,0.002,0.003,0.000,0.000,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.000,0.001,0.002,0.001,0.002,-0.089,-0.146,0.289,-0.006,-0.264,23.218,1.342,-0.264,-0.089,-0.467,0.297,0.740,0.541,0.821,0.001,0.001,0.001,0.001,0.002,0.001,0.005,0.002,0.001,-0.002,0.001,0.003,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.004,0.001,0.001,-0.001,0.001,0.002,0.002,0.003,-0.000,-0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.000,0.001,0.001,0.000,0.002,-0.001,-0.001,0.000,0.001,-0.004,0.001,0.002,-0.004,0.001,-0.000,0.000,0.001,-0.001,0.002,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.001,-0.002,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.001,0.000,-0.003,0.000,-0.001,-0.003,0.000,-0.001,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,0.001,-0.000,-0.000,-0.001,-0.000
"2Q1",0.005,-0.007,0.000,0.005,0.000,-0.003,0.000,0.004,0.001,-0.004,0.000,0.004,0.001,0.000,0.000,0.003,0.001,-0.005,0.000,0.003,0.001,-0.000,0.000,0.003,0.001,2.179,1.000,0.085,-0.065,-0.005,0.000,0.004,0.002,-0.003,0.000,0.003,0.001,0.002,0.000,0.003,0.001,0.003,-0.000,0.003,0.002,0.000,0.000,0.001,-0.000,0.001,0.000,0.000,0.000,0.001,0.000,-0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,-0.014,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.016,0.003,0.003,0.001,0.003,-0.004,0.003,0.003,-0.004,-0.001,-0.002,0.000,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.000,0.001,0.003,0.000,0.000,-0.001,0.001,0.002,0.002,0.003,0.000,0.000,0.001,0.000,0.002,0.000,0.003,0.002,0.001,-0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.004,0.002,0.001,-0.002,0.002,0.003,0.002,0.003,0.000,0.000,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.001,0.001,0.002,0.001,0.002,-0.100,-0.147,0.214,-0.008,-0.358,23.306,1.198,-0.358,-0.099,-0.505,0.324,0.685,0.522,0.751,0.001,0.001,0.001,0.001,0.002,0.001,0.005,0.002,0.001,-0.003,0.002,0.003,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.002,0.001,0.002,0.002,0.002,-0.000,-0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.001,0.001,0.001,0.000,0.002,-0.001,-0.001,0.000,0.001,-0.005,0.001,0.002,-0.005,0.001,-0.001,0.000,0.002,-0.001,0.002,-0.000,-0.000,-0.000,0.000,-0.004,0.001,-0.000,-0.004,-0.001,-0.002,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.001,0.000,-0.004,0.000,-0.000,-0.004,0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,0.001,-0.000,-0.000,-0.001,-0.000
"2Q2",0.005,-0.008,0.000,0.005,0.000,-0.003,0.000,0.004,0.001,-0.004,0.000,0.004,0.001,0.000,0.000,0.003,0.001,-0.006,0.000,0.003,0.001,0.000,0.000,0.003,0.001,2.721,1.000,0.062,-0.094,-0.006,0.000,0.004,0.002,-0.004,0.000,0.003,0.001,0.003,0.000,0.003,0.001,0.003,-0.000,0.003,0.002,-0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.015,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,0.015,0.002,0.003,0.001,0.003,-0.005,0.003,0.002,-0.005,-0.002,-0.003,0.000,0.002,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.000,-0.002,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,-0.000,0.001,0.003,-0.000,0.000,-0.002,0.001,0.002,0.002,0.002,0.001,0.000,0.001,0.000,0.002,0.000,0.003,0.002,0.001,-0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.004,0.002,0.001,-0.003,0.002,0.003,0.002,0.003,0.000,0.000,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.001,0.002,0.001,0.002,-0.109,-0.145,0.131,-0.009,-0.449,23.368,1.075,-0.449,-0.102,-0.508,0.336,0.640,0.505,0.694,0.001,0.001,0.001,0.001,0.002,0.001,0.005,0.002,0.001,-0.003,0.002,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.002,0.001,0.002,0.002,0.002,-0.000,-0.000,0.001,0.001,0.000,0.001,0.002,0.000,0.001,-0.001,0.001,0.002,0.001,0.002,-0.001,-0.001,0.000,0.001,-0.005,0.001,0.002,-0.005,0.001,-0.001,0.001,0.002,-0.001,0.002,-0.000,-0.000,-0.000,0.001,-0.004,0.001,0.000,-0.004,-0.001,-0.002,-0.000,0.000,-0.001,0.000,-0.000,-0.000,-0.001,0.000,-0.004,0.000,-0.000,-0.004,0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"2Q3",0.004,-0.008,0.000,0.004,0.000,-0.003,0.000,0.003,0.001,-0.004,0.000,0.003,0.001,0.001,0.000,0.003,0.001,-0.007,0.000,0.003,0.001,0.000,0.000,0.003,0.001,3.277,1.000,0.034,-0.120,-0.006,0.000,0.003,0.002,-0.004,0.000,0.003,0.001,0.004,0.000,0.003,0.001,0.004,-0.000,0.003,0.002,-0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.041,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,0.015,0.002,0.003,0.001,0.003,-0.006,0.003,0.002,-0.006,-0.002,-0.003,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.000,-0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.000,0.001,0.003,0.000,0.000,-0.002,0.001,0.002,0.002,0.002,0.001,0.000,0.001,0.000,0.002,0.000,0.003,0.002,0.001,-0.002,0.002,0.002,0.001,0.003,0.002,0.001,0.002,0.001,0.003,0.001,0.004,0.003,0.001,-0.003,0.002,0.003,0.002,0.003,0.000,0.000,0.001,0.001,0.003,0.001,0.003,0.003,0.001,-0.002,0.002,0.002,0.001,0.003,-0.116,-0.140,0.050,-0.011,-0.531,23.411,0.977,-0.531,-0.097,-0.482,0.335,0.606,0.491,0.652,0.001,0.001,0.002,0.001,0.002,0.001,0.005,0.002,0.001,-0.004,0.002,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.002,0.002,0.002,0.002,0.002,0.000,-0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.001,-0.001,0.001,0.002,0.001,0.002,-0.001,-0.001,0.000,0.001,-0.005,0.001,0.002,-0.005,0.001,-0.002,0.001,0.002,-0.001,0.002,-0.000,-0.001,-0.000,0.001,-0.005,0.001,0.000,-0.005,-0.001,-0.002,-0.000,0.000,-0.001,0.000,-0.000,-0.000,-0.001,0.000,-0.005,0.000,-0.000,-0.005,0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"2Q4",0.003,-0.008,0.000,0.004,0.000,-0.003,0.000,0.003,0.001,-0.003,0.000,0.003,0.001,0.001,0.000,0.003,0.001,-0.007,0.000,0.003,0.001,0.001,0.000,0.003,0.001,3.841,1.000,0.005,-0.140,-0.006,0.000,0.003,0.002,-0.004,0.000,0.003,0.001,0.005,0.000,0.003,0.001,0.005,-0.000,0.003,0.002,-0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.064,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.001,0.000,0.000,0.000,-0.000,0.000,0.014,0.002,0.002,0.001,0.003,-0.007,0.003,0.001,-0.007,-0.002,-0.003,0.000,0.001,-0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.001,0.000,-0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.000,0.002,0.003,0.000,0.000,-0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.000,0.003,0.000,0.003,0.003,0.002,-0.002,0.002,0.002,0.001,0.003,0.002,0.002,0.002,0.001,0.003,0.001,0.003,0.003,0.001,-0.003,0.002,0.003,0.002,0.003,0.000,0.000,0.001,0.001,0.003,0.001,0.003,0.003,0.001,-0.002,0.002,0.002,0.001,0.003,-0.119,-0.133,-0.028,-0.011,-0.602,23.442,0.907,-0.602,-0.086,-0.434,0.324,0.586,0.481,0.628,0.001,0.001,0.002,0.001,0.003,0.001,0.005,0.003,0.001,-0.004,0.003,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.002,0.000,0.000,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.002,-0.000,-0.001,0.000,0.001,-0.005,0.001,0.003,-0.005,0.001,-0.002,0.001,0.002,-0.000,0.003,-0.000,-0.001,-0.000,0.001,-0.005,0.001,0.001,-0.005,-0.001,-0.002,-0.000,0.000,-0.001,0.001,-0.000,-0.000,-0.000,0.000,-0.005,0.000,-0.000,-0.005,0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"3Q1",0.002,-0.007,0.000,0.003,0.000,-0.003,0.000,0.003,0.001,-0.002,0.000,0.003,0.001,0.001,0.000,0.003,0.001,-0.007,0.000,0.003,0.001,0.001,0.000,0.003,0.001,4.406,1.000,-0.022,-0.154,-0.005,0.000,0.003,0.002,-0.004,0.000,0.003,0.001,0.006,0.000,0.003,0.001,0.005,-0.000,0.003,0.002,-0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.084,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.014,0.002,0.002,0.001,0.003,-0.007,0.003,0.001,-0.007,-0.001,-0.003,0.001,0.001,-0.000,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.001,0.001,-0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.001,0.001,0.000,0.002,0.003,0.000,0.000,-0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.000,0.003,0.000,0.003,0.003,0.002,-0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.001,0.004,0.001,0.003,0.004,0.001,-0.003,0.002,0.003,0.002,0.003,0.000,0.000,0.001,0.001,0.004,0.001,0.003,0.004,0.002,-0.002,0.002,0.002,0.001,0.003,-0.120,-0.122,-0.103,-0.011,-0.656,23.464,0.867,-0.656,-0.070,-0.367,0.301,0.579,0.476,0.621,0.001,0.001,0.002,0.001,0.003,0.001,0.005,0.003,0.001,-0.004,0.003,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.002,0.000,0.000,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.001,0.002,0.002,0.001,0.002,-0.000,-0.000,0.000,0.001,-0.004,0.001,0.003,-0.004,0.001,-0.002,0.001,0.002,0.000,0.003,-0.000,-0.000,0.000,0.001,-0.005,0.001,0.001,-0.005,-0.001,-0.002,-0.000,0.000,-0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.005,0.000,0.000,-0.005,0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.001,0.000
"3Q2",0.001,-0.006,0.000,0.002,0.001,-0.002,0.000,0.002,0.001,-0.001,0.000,0.002,0.001,0.001,0.000,0.002,0.001,-0.008,0.000,0.002,0.001,0.002,0.000,0.002,0.001,4.966,1.000,-0.047,-0.162,-0.005,0.000,0.002,0.002,-0.003,0.000,0.002,0.001,0.006,0.000,0.002,0.001,0.006,-0.000,0.002,0.002,-0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.101,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.014,0.002,0.002,0.001,0.003,-0.007,0.003,0.001,-0.007,-0.001,-0.003,0.001,0.000,-0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.003,0.001,0.000,-0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.000,0.004,0.000,0.003,0.004,0.002,-0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.001,0.004,0.001,0.003,0.004,0.001,-0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.005,0.002,-0.002,0.002,0.003,0.002,0.003,-0.118,-0.110,-0.175,-0.011,-0.691,23.480,0.854,-0.691,-0.049,-0.283,0.269,0.587,0.475,0.632,0.001,0.001,0.002,0.001,0.003,0.001,0.005,0.003,0.001,-0.003,0.003,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.002,0.002,0.002,0.002,0.001,0.000,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.001,0.002,0.002,0.001,0.003,0.000,0.000,0.000,0.001,-0.003,0.001,0.003,-0.003,0.001,-0.002,0.001,0.002,0.000,0.003,-0.000,-0.000,0.000,0.001,-0.005,0.001,0.001,-0.005,-0.001,-0.002,-0.000,0.000,-0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.005,0.000,0.000,-0.005,-0.000,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.001,-0.000,-0.000,-0.000,0.000
