"Variables ->","EA_pic4","RA_by","RA_pic4","RA_tby","AT_by","AT_pic4","AT_tby","BE_by","BE_pic4","BE_tby","ES_by","ES_pic4","ES_tby","FI_by","FI_pic4","FI_tby","FR_by","FR_pic4","FR_tby","GR_by","GR_pic4","GR_tby","IT_by","IT_pic4","IT_tby","NL_by","NL_pic4","NL_tby","PT_by","PT_pic4","PT_tby","DE_by","DE_pic4","DE_tby","RU_by","RU_pic4","RU_tby","RW_by","RW_pic4","RW_tby","US_by","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.006,0.000,0.004,0.010,-0.000,0.004,0.007,0.000,0.003,0.008,-0.000,0.003,0.005,0.000,0.002,0.002,0.000,0.003,0.005,0.000,0.004,0.005,0.000,0.021,-0.091,-0.000,0.003,0.006,-0.000,0.003,0.003,0.000,0.003,0.005,0.000,0.001,0.005,0.000,0.001,0.002,0.000,0.001,0.000,0.021,-0.010,0.021,-0.004,0.021,0.000,0.021,0.000,0.021,0.004,0.021,0.000,0.021,0.000,0.021,-0.082,0.021,0.000,0.021,0.000,0.021,0.000,0.001,-0.006,0.000,-0.005,0.000,0.000,0.207,0.008,0.006,0.013,0.001,0.001,0.001,0.023,-0.001,-0.016,0.003,0.017,0.003,0.018,0.002,0.000,0.006,0.001,0.000,0.001,0.014,0.000,-0.015,0.002,0.011,0.002,0.015,0.002,0.001,0.006,0.001,0.001,0.001,0.014,-0.000,-0.015,0.002,0.011,0.002,0.014,0.002,0.001,0.008,0.000,0.004,0.000,0.011,0.000,-0.015,0.003,0.008,0.003,0.011,-0.001,-0.002,0.003,0.000,0.001,0.000,0.003,-0.001,-0.013,0.002,0.002,0.000,0.003,0.001,0.000,0.005,0.000,0.004,0.000,0.012,0.000,-0.015,0.003,0.008,0.002,0.011,0.002,0.001,0.008,0.000,-0.000,0.000,0.017,0.000,-0.016,0.004,0.008,0.002,0.011,0.490,0.557,0.169,4.962,-0.090,-0.001,1.806,-0.011,-0.139,0.080,1.167,1.009,1.227,0.001,0.000,0.006,0.000,0.003,0.000,0.012,-0.000,-0.014,0.003,0.008,0.002,0.010,0.001,-0.000,0.006,0.000,0.000,0.000,0.007,-0.000,-0.014,0.002,0.005,0.001,0.007,-0.003,-0.005,0.003,0.000,-0.006,0.000,0.005,-0.000,-0.013,0.001,0.004,-0.003,0.006,0.000,-0.001,0.003,0.000,-0.006,0.000,0.009,0.001,-0.011,0.001,0.006,-0.001,0.008,-0.000,-0.001,0.001,0.000,-0.006,0.000,0.002,0.004,-0.005,-0.001,0.001,-0.001,0.003,-0.001,-0.001,0.000,0.000,-0.005,0.000,0.000,0.007,-0.001,0.000,-0.001,0.001
"1Q2",0.015,-0.013,0.012,0.028,-0.005,0.010,0.023,-0.008,0.010,0.022,0.001,0.008,0.015,0.003,0.007,0.006,-0.000,0.009,0.015,-0.000,0.010,0.015,0.078,0.047,-0.229,-0.001,0.008,0.018,0.004,0.008,0.009,-0.001,0.007,0.015,-0.004,0.003,0.015,-0.002,0.002,0.005,-0.001,0.001,0.002,0.029,-0.010,0.029,0.000,0.029,0.000,0.029,0.005,0.029,0.007,0.029,0.000,0.029,0.000,0.029,-0.060,0.029,0.000,0.029,0.004,0.029,0.007,0.002,-0.005,0.001,-0.005,0.000,0.000,0.283,0.012,0.009,0.022,0.004,-0.002,0.004,0.064,0.005,-0.018,0.004,0.047,0.006,0.052,0.003,0.001,0.010,0.003,0.000,0.003,0.039,0.005,-0.014,0.003,0.033,0.004,0.043,0.004,0.002,0.009,0.002,0.002,0.002,0.040,0.005,-0.014,0.003,0.031,0.005,0.040,0.004,0.002,0.013,0.001,0.007,0.000,0.032,0.008,-0.014,0.006,0.024,0.005,0.031,-0.001,-0.002,0.004,0.001,0.003,0.001,0.013,0.005,-0.010,0.003,0.010,0.001,0.012,0.002,0.001,0.009,0.002,0.008,0.001,0.034,0.008,-0.014,0.005,0.024,0.004,0.031,0.003,0.002,0.013,0.001,-0.001,0.000,0.048,0.008,-0.019,0.008,0.024,0.004,0.032,1.452,1.666,0.433,4.989,-0.211,-0.002,2.378,-0.029,-0.284,0.143,1.535,1.668,1.485,0.003,0.000,0.010,0.001,0.005,0.001,0.036,0.006,-0.013,0.005,0.024,0.003,0.030,0.002,0.000,0.009,0.001,0.001,0.001,0.023,0.004,-0.013,0.004,0.015,0.003,0.020,-0.005,-0.008,0.005,0.001,-0.012,0.001,0.021,0.008,-0.009,0.002,0.016,-0.004,0.023,0.000,-0.001,0.006,0.001,-0.012,0.001,0.026,0.002,-0.013,0.001,0.018,-0.001,0.025,-0.001,-0.001,0.002,0.000,-0.012,0.000,0.007,0.004,-0.006,-0.001,0.005,-0.001,0.010,-0.001,-0.001,0.000,0.000,-0.009,0.000,0.002,0.008,-0.001,0.001,-0.001,0.003
"1Q3",0.024,-0.048,0.022,0.038,-0.027,0.018,0.031,-0.038,0.017,0.029,-0.011,0.014,0.020,-0.002,0.012,0.009,-0.014,0.015,0.021,-0.019,0.018,0.021,-0.294,0.069,-0.304,-0.015,0.014,0.023,-0.003,0.015,0.013,-0.013,0.013,0.021,-0.014,0.005,0.020,-0.007,0.004,0.007,-0.004,0.002,0.003,0.033,-0.006,0.033,0.000,0.033,0.000,0.033,0.008,0.033,0.010,0.033,0.006,0.033,0.000,0.033,-0.021,0.033,0.006,0.033,0.007,0.033,0.010,0.004,0.000,0.002,0.000,0.001,0.000,0.312,0.014,0.009,0.029,0.008,-0.009,0.008,0.085,0.009,-0.016,0.005,0.062,0.007,0.069,0.004,0.001,0.013,0.006,0.000,0.006,0.054,0.009,-0.011,0.005,0.046,0.007,0.060,0.005,0.003,0.012,0.005,0.002,0.005,0.054,0.008,-0.010,0.005,0.043,0.008,0.054,0.006,0.003,0.017,0.002,0.011,0.001,0.046,0.014,-0.011,0.009,0.034,0.008,0.043,0.000,-0.001,0.006,0.002,0.005,0.002,0.021,0.011,-0.004,0.004,0.016,0.003,0.020,0.004,0.002,0.011,0.003,0.012,0.002,0.049,0.014,-0.011,0.008,0.034,0.007,0.043,0.005,0.003,0.017,0.002,-0.003,0.001,0.068,0.014,-0.018,0.011,0.035,0.007,0.046,1.871,2.146,0.561,5.008,-0.349,-0.003,2.571,-0.041,-0.387,0.175,1.658,1.943,1.550,0.004,0.001,0.014,0.003,0.006,0.003,0.050,0.012,-0.009,0.007,0.033,0.006,0.041,0.003,0.002,0.012,0.003,0.002,0.002,0.034,0.008,-0.009,0.007,0.023,0.006,0.030,-0.005,-0.009,0.007,0.003,-0.017,0.003,0.032,0.015,-0.004,0.002,0.024,-0.004,0.034,-0.000,-0.002,0.008,0.002,-0.017,0.002,0.033,0.001,-0.013,0.001,0.024,-0.001,0.032,-0.001,-0.001,0.003,0.001,-0.017,0.000,0.009,0.002,-0.006,-0.001,0.006,-0.002,0.013,-0.001,-0.001,0.000,0.001,-0.013,0.000,0.003,0.008,-0.001,0.002,-0.002,0.004
"1Q4",0.032,-0.090,0.031,0.044,-0.057,0.026,0.036,-0.076,0.025,0.034,-0.027,0.021,0.024,-0.011,0.018,0.011,-0.035,0.022,0.025,-0.045,0.025,0.026,-0.593,0.083,-0.354,-0.035,0.021,0.027,-0.016,0.021,0.016,-0.030,0.018,0.025,-0.025,0.006,0.022,-0.011,0.005,0.008,-0.006,0.003,0.003,0.036,0.000,0.036,0.010,0.036,0.009,0.036,0.013,0.036,0.013,0.036,0.012,0.036,0.009,0.036,0.027,0.036,0.011,0.036,0.012,0.036,0.014,0.005,0.000,0.003,0.000,0.001,0.000,0.322,0.014,0.008,0.034,0.012,-0.017,0.012,0.097,0.011,-0.012,0.005,0.071,0.008,0.079,0.006,0.003,0.015,0.009,0.001,0.008,0.064,0.012,-0.005,0.006,0.055,0.011,0.070,0.006,0.004,0.014,0.008,0.002,0.008,0.064,0.012,-0.005,0.006,0.051,0.011,0.063,0.008,0.006,0.020,0.003,0.015,0.002,0.056,0.019,-0.006,0.011,0.041,0.011,0.052,0.002,0.001,0.007,0.003,0.008,0.003,0.029,0.017,0.003,0.006,0.022,0.006,0.027,0.006,0.004,0.013,0.005,0.016,0.004,0.060,0.019,-0.007,0.010,0.041,0.011,0.053,0.007,0.005,0.021,0.003,-0.003,0.002,0.084,0.019,-0.015,0.014,0.043,0.010,0.056,2.051,2.354,0.612,5.023,-0.486,-0.004,2.611,-0.045,-0.417,0.172,1.681,2.050,1.542,0.006,0.003,0.016,0.005,0.008,0.005,0.060,0.017,-0.003,0.008,0.040,0.009,0.049,0.006,0.004,0.015,0.004,0.004,0.003,0.044,0.012,-0.003,0.009,0.030,0.009,0.038,-0.005,-0.009,0.008,0.005,-0.021,0.004,0.041,0.021,0.004,0.003,0.031,-0.003,0.042,-0.000,-0.003,0.009,0.003,-0.021,0.002,0.037,-0.001,-0.013,0.002,0.026,-0.001,0.035,-0.001,-0.001,0.004,0.001,-0.020,0.001,0.010,-0.001,-0.006,-0.002,0.007,-0.002,0.014,-0.001,-0.001,0.000,0.001,-0.016,0.001,0.004,0.006,-0.001,0.002,-0.002,0.005
"2Q1",0.031,-0.131,0.036,0.035,-0.086,0.029,0.029,-0.112,0.029,0.027,-0.045,0.024,0.021,-0.023,0.022,0.011,-0.055,0.025,0.021,-0.069,0.028,0.024,-0.784,0.065,-0.284,-0.054,0.024,0.022,-0.029,0.024,0.015,-0.046,0.022,0.023,-0.035,0.006,0.017,-0.013,0.005,0.007,-0.007,0.003,0.004,0.018,0.000,0.018,0.000,0.018,0.000,0.018,0.000,0.018,0.000,0.018,0.000,0.018,0.000,0.018,0.040,0.018,0.000,0.018,0.000,0.018,0.000,0.005,0.004,0.003,0.000,0.002,0.000,0.109,0.013,0.006,0.034,0.015,-0.025,0.015,0.078,0.010,-0.004,0.005,0.057,0.007,0.063,0.008,0.006,0.016,0.011,0.002,0.010,0.057,0.012,0.002,0.007,0.048,0.014,0.060,0.008,0.006,0.015,0.010,0.002,0.010,0.056,0.012,0.003,0.007,0.044,0.013,0.054,0.011,0.009,0.022,0.004,0.018,0.003,0.054,0.020,0.001,0.013,0.040,0.015,0.049,0.005,0.004,0.008,0.005,0.011,0.004,0.033,0.022,0.011,0.007,0.025,0.010,0.030,0.009,0.008,0.015,0.006,0.020,0.005,0.058,0.020,0.000,0.012,0.040,0.014,0.049,0.010,0.008,0.024,0.004,-0.002,0.002,0.080,0.019,-0.010,0.017,0.041,0.013,0.052,1.574,1.808,0.459,0.059,-0.604,-0.004,0.716,-0.048,-0.360,0.129,0.456,1.019,0.244,0.008,0.006,0.017,0.007,0.009,0.006,0.055,0.019,0.004,0.009,0.037,0.012,0.044,0.009,0.008,0.017,0.006,0.007,0.005,0.045,0.014,0.004,0.011,0.031,0.013,0.038,-0.003,-0.007,0.009,0.006,-0.024,0.005,0.040,0.024,0.012,0.004,0.029,-0.001,0.040,-0.001,-0.003,0.009,0.003,-0.024,0.003,0.026,-0.006,-0.010,0.002,0.018,-0.001,0.025,-0.001,-0.001,0.003,0.001,-0.022,0.001,0.007,-0.007,-0.006,-0.001,0.005,-0.002,0.010,-0.001,-0.001,0.000,0.001,-0.019,0.001,0.003,0.004,-0.001,0.002,-0.002,0.004
"2Q2",0.026,-0.162,0.034,0.016,-0.118,0.027,0.013,-0.150,0.027,0.013,-0.071,0.023,0.011,-0.044,0.022,0.009,-0.085,0.024,0.012,-0.109,0.027,0.014,-1.011,0.033,-0.155,-0.079,0.025,0.011,-0.055,0.024,0.010,-0.065,0.022,0.017,-0.040,0.005,0.006,-0.012,0.003,0.004,-0.007,0.003,0.003,0.012,0.000,0.012,0.000,0.012,0.000,0.012,0.000,0.012,0.000,0.012,0.000,0.012,0.000,0.012,0.052,0.012,0.000,0.012,0.000,0.012,0.000,0.004,0.005,0.003,0.004,0.002,0.000,0.019,0.010,0.003,0.031,0.016,-0.033,0.017,0.036,0.005,-0.003,0.005,0.026,0.004,0.029,0.010,0.008,0.016,0.011,0.003,0.011,0.035,0.009,0.003,0.009,0.030,0.016,0.034,0.010,0.007,0.016,0.010,0.001,0.011,0.033,0.009,0.003,0.008,0.027,0.015,0.030,0.013,0.011,0.023,0.005,0.021,0.003,0.040,0.016,0.001,0.015,0.030,0.017,0.034,0.008,0.007,0.010,0.005,0.013,0.005,0.030,0.020,0.011,0.009,0.023,0.012,0.026,0.012,0.010,0.016,0.007,0.023,0.006,0.042,0.016,0.000,0.014,0.029,0.017,0.034,0.012,0.010,0.025,0.005,-0.001,0.003,0.058,0.013,-0.011,0.019,0.029,0.014,0.036,0.550,0.627,0.179,0.053,-0.696,-0.005,0.004,-0.038,-0.265,0.079,-0.009,0.285,-0.119,0.010,0.007,0.017,0.008,0.009,0.008,0.035,0.016,0.005,0.010,0.023,0.014,0.026,0.011,0.009,0.019,0.006,0.009,0.005,0.037,0.011,0.003,0.012,0.025,0.015,0.030,-0.002,-0.005,0.009,0.007,-0.027,0.006,0.028,0.021,0.014,0.005,0.020,-0.001,0.028,-0.001,-0.002,0.007,0.003,-0.024,0.003,0.008,-0.008,-0.007,0.001,0.005,-0.002,0.007,-0.001,-0.001,0.002,0.001,-0.023,0.001,0.001,-0.010,-0.005,-0.001,0.000,-0.002,0.002,-0.001,-0.001,0.000,0.001,-0.020,0.001,0.001,0.002,-0.001,0.000,-0.002,0.002
"2Q3",0.018,-0.166,0.027,0.010,-0.131,0.022,0.007,-0.166,0.023,0.007,-0.087,0.021,0.008,-0.059,0.021,0.008,-0.103,0.021,0.008,-0.132,0.024,0.011,-0.683,0.001,-0.099,-0.090,0.022,0.006,-0.073,0.022,0.008,-0.072,0.019,0.014,-0.037,0.002,0.001,-0.009,0.002,0.002,-0.006,0.002,0.003,0.011,0.008,0.011,0.006,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.000,0.011,0.058,0.011,0.000,0.011,0.000,0.011,0.000,0.003,0.006,0.003,0.005,0.002,0.000,-0.016,0.007,0.001,0.026,0.016,-0.038,0.017,0.016,0.002,-0.002,0.006,0.011,0.000,0.013,0.011,0.009,0.016,0.011,0.004,0.011,0.023,0.007,0.002,0.010,0.020,0.016,0.021,0.010,0.008,0.016,0.010,0.001,0.011,0.022,0.007,0.003,0.009,0.018,0.015,0.019,0.013,0.011,0.023,0.005,0.023,0.004,0.032,0.013,-0.001,0.016,0.024,0.018,0.027,0.009,0.009,0.011,0.006,0.015,0.005,0.028,0.017,0.008,0.010,0.021,0.014,0.024,0.013,0.012,0.016,0.007,0.025,0.006,0.034,0.012,-0.002,0.015,0.024,0.018,0.026,0.012,0.010,0.026,0.004,0.001,0.003,0.045,0.008,-0.013,0.020,0.023,0.015,0.026,0.129,0.150,0.029,0.043,-0.763,-0.004,-0.266,-0.026,-0.162,0.031,-0.189,-0.021,-0.252,0.010,0.008,0.017,0.008,0.009,0.008,0.026,0.013,0.004,0.010,0.017,0.014,0.018,0.012,0.010,0.020,0.006,0.012,0.006,0.032,0.009,0.001,0.014,0.022,0.015,0.025,-0.001,-0.005,0.009,0.007,-0.029,0.007,0.023,0.018,0.012,0.005,0.016,-0.000,0.022,-0.001,-0.002,0.005,0.003,-0.023,0.003,-0.001,-0.008,-0.004,0.001,-0.001,-0.002,-0.001,-0.001,-0.001,0.001,0.001,-0.022,0.001,-0.002,-0.011,-0.004,-0.001,-0.002,-0.002,-0.002,-0.001,-0.001,-0.000,0.001,-0.020,0.001,0.001,0.000,-0.001,-0.000,-0.002,0.001
"2Q4",0.010,-0.157,0.018,0.007,-0.132,0.015,0.004,-0.166,0.017,0.004,-0.095,0.017,0.006,-0.070,0.018,0.008,-0.112,0.017,0.006,-0.140,0.018,0.009,-0.354,-0.025,-0.068,-0.094,0.018,0.004,-0.082,0.018,0.007,-0.072,0.016,0.014,-0.032,0.000,-0.001,-0.005,-0.000,0.001,-0.004,0.001,0.003,0.010,0.012,0.010,0.009,0.010,0.007,0.010,0.000,0.010,0.000,0.010,0.004,0.010,0.005,0.010,0.057,0.010,0.000,0.010,0.000,0.010,0.000,0.002,0.006,0.002,0.005,0.002,0.000,-0.029,0.005,-0.001,0.021,0.015,-0.042,0.015,0.005,0.000,-0.001,0.005,0.003,-0.003,0.004,0.011,0.010,0.015,0.010,0.006,0.010,0.016,0.005,0.002,0.010,0.014,0.016,0.013,0.010,0.008,0.016,0.010,0.002,0.010,0.016,0.005,0.002,0.009,0.013,0.014,0.012,0.013,0.011,0.022,0.004,0.025,0.004,0.027,0.009,-0.003,0.017,0.020,0.018,0.021,0.010,0.009,0.012,0.006,0.016,0.005,0.025,0.014,0.005,0.011,0.020,0.014,0.021,0.013,0.012,0.017,0.006,0.027,0.006,0.028,0.009,-0.003,0.016,0.020,0.018,0.021,0.012,0.010,0.025,0.004,0.005,0.004,0.036,0.004,-0.014,0.020,0.018,0.014,0.020,-0.044,-0.044,-0.047,0.035,-0.805,-0.004,-0.347,-0.013,-0.070,-0.011,-0.246,-0.148,-0.283,0.010,0.009,0.016,0.008,0.009,0.008,0.020,0.010,0.003,0.011,0.013,0.014,0.013,0.012,0.010,0.020,0.006,0.014,0.006,0.028,0.006,-0.002,0.015,0.019,0.015,0.021,-0.001,-0.004,0.009,0.007,-0.031,0.007,0.019,0.015,0.010,0.006,0.013,-0.000,0.018,-0.000,-0.001,0.003,0.002,-0.021,0.002,-0.005,-0.007,-0.002,0.000,-0.004,-0.002,-0.005,-0.001,-0.001,-0.001,0.001,-0.019,0.001,-0.003,-0.011,-0.003,-0.001,-0.003,-0.002,-0.004,-0.001,-0.001,-0.000,0.001,-0.020,0.001,-0.000,-0.001,-0.001,-0.001,-0.002,0.000
"3Q1",0.004,-0.140,0.009,0.005,-0.126,0.009,0.001,-0.157,0.011,0.002,-0.098,0.013,0.004,-0.077,0.014,0.007,-0.115,0.013,0.004,-0.138,0.013,0.007,-0.044,-0.039,-0.045,-0.093,0.014,0.003,-0.085,0.014,0.006,-0.068,0.012,0.013,-0.025,-0.002,-0.002,-0.000,-0.001,0.000,-0.001,0.000,0.002,0.010,0.014,0.010,0.010,0.010,0.008,0.010,0.004,0.010,0.000,0.010,0.006,0.010,0.007,0.010,0.052,0.010,0.005,0.010,0.000,0.010,0.005,0.002,0.005,0.002,0.004,0.002,0.000,-0.033,0.003,-0.001,0.017,0.013,-0.044,0.014,-0.001,-0.001,0.000,0.005,-0.002,-0.006,-0.002,0.011,0.010,0.014,0.008,0.008,0.009,0.011,0.004,0.001,0.010,0.009,0.015,0.007,0.010,0.008,0.015,0.008,0.002,0.009,0.011,0.004,0.001,0.009,0.009,0.014,0.007,0.013,0.011,0.022,0.004,0.027,0.004,0.022,0.007,-0.004,0.017,0.017,0.017,0.017,0.010,0.010,0.013,0.005,0.018,0.005,0.022,0.011,0.003,0.012,0.017,0.014,0.018,0.013,0.013,0.016,0.006,0.029,0.005,0.023,0.006,-0.005,0.016,0.017,0.018,0.016,0.011,0.010,0.024,0.003,0.009,0.004,0.027,0.001,-0.014,0.020,0.014,0.014,0.014,-0.114,-0.120,-0.084,0.030,-0.825,-0.003,-0.346,-0.002,0.004,-0.045,-0.251,-0.199,-0.270,0.010,0.009,0.014,0.007,0.009,0.008,0.015,0.007,0.002,0.011,0.010,0.014,0.010,0.011,0.010,0.020,0.006,0.016,0.006,0.024,0.004,-0.004,0.015,0.017,0.015,0.017,-0.001,-0.003,0.008,0.006,-0.031,0.006,0.016,0.012,0.009,0.006,0.011,-0.001,0.015,-0.000,-0.000,0.002,0.002,-0.018,0.002,-0.007,-0.006,0.000,0.000,-0.006,-0.001,-0.008,-0.000,-0.000,-0.001,0.000,-0.016,0.000,-0.003,-0.011,-0.003,-0.001,-0.003,-0.002,-0.005,-0.001,-0.001,-0.001,0.001,-0.019,0.001,-0.000,-0.001,-0.001,-0.001,-0.002,-0.000
"3Q2",-0.001,-0.120,0.002,0.004,-0.117,0.004,-0.001,-0.143,0.006,-0.000,-0.098,0.010,0.003,-0.081,0.011,0.005,-0.113,0.009,0.002,-0.130,0.008,0.005,0.233,-0.044,-0.024,-0.089,0.009,0.001,-0.084,0.010,0.005,-0.061,0.009,0.012,-0.018,-0.003,-0.003,0.003,-0.002,-0.000,0.001,-0.000,0.002,0.008,0.014,0.008,0.010,0.008,0.008,0.008,0.005,0.008,0.000,0.008,0.006,0.008,0.008,0.008,0.045,0.008,0.006,0.008,0.005,0.008,0.005,0.001,0.005,0.001,0.000,0.001,0.000,-0.032,0.002,-0.001,0.013,0.011,-0.044,0.012,-0.005,-0.001,0.001,0.004,-0.005,-0.008,-0.005,0.011,0.010,0.013,0.007,0.010,0.007,0.007,0.003,0.002,0.010,0.006,0.014,0.003,0.010,0.009,0.014,0.007,0.003,0.008,0.007,0.003,0.001,0.009,0.006,0.013,0.003,0.012,0.011,0.020,0.003,0.028,0.004,0.017,0.005,-0.005,0.017,0.014,0.016,0.013,0.011,0.010,0.013,0.005,0.018,0.005,0.019,0.009,0.001,0.012,0.015,0.014,0.015,0.013,0.013,0.016,0.005,0.030,0.005,0.018,0.004,-0.005,0.016,0.013,0.017,0.012,0.011,0.009,0.022,0.003,0.013,0.003,0.020,-0.001,-0.014,0.019,0.010,0.013,0.009,-0.140,-0.148,-0.103,0.025,-0.828,-0.002,-0.310,0.009,0.057,-0.072,-0.232,-0.217,-0.238,0.010,0.009,0.013,0.007,0.009,0.007,0.011,0.005,0.001,0.010,0.008,0.013,0.007,0.011,0.009,0.019,0.005,0.018,0.005,0.019,0.003,-0.005,0.015,0.014,0.014,0.013,-0.000,-0.003,0.008,0.006,-0.031,0.006,0.013,0.010,0.007,0.006,0.008,-0.001,0.011,0.000,0.000,0.000,0.001,-0.014,0.002,-0.008,-0.006,0.002,-0.000,-0.007,-0.001,-0.009,-0.000,0.000,-0.002,0.000,-0.012,0.000,-0.003,-0.010,-0.002,-0.001,-0.003,-0.001,-0.005,-0.001,-0.001,-0.001,0.000,-0.017,0.000,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001
