"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.006,0.000,0.000,0.003,0.004,-0.000,0.000,0.004,0.003,0.000,0.000,0.003,0.003,-0.000,0.000,0.003,0.002,0.000,0.000,0.003,0.001,0.000,0.000,0.003,0.002,0.000,0.000,0.004,0.000,0.000,1.000,0.019,-0.043,-0.000,0.000,0.002,0.003,-0.000,0.000,0.003,0.001,0.000,-0.000,0.003,0.002,0.000,0.000,0.002,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,-0.000,0.018,-0.009,0.018,-0.008,0.018,-0.005,0.018,0.000,0.018,0.000,0.018,-0.004,0.018,-0.006,0.018,-0.079,0.018,0.000,0.018,0.000,0.018,0.000,0.001,-0.008,0.000,0.000,0.000,0.000,0.175,-0.001,-0.002,0.003,0.000,-0.010,0.000,0.003,-0.004,-0.016,0.000,0.002,-0.004,0.003,-0.000,-0.001,0.003,0.001,-0.006,0.000,0.003,-0.003,-0.016,0.000,0.003,-0.001,0.004,-0.002,-0.003,0.002,0.000,-0.006,0.000,0.001,-0.003,-0.016,0.000,0.001,-0.002,0.002,-0.001,-0.002,0.002,0.000,-0.005,-0.000,0.001,-0.003,-0.016,0.001,0.001,-0.001,0.001,-0.002,-0.003,0.001,-0.000,-0.004,-0.000,-0.002,-0.005,-0.015,0.001,-0.001,-0.002,-0.001,-0.001,-0.002,0.002,0.000,-0.004,0.000,0.002,-0.004,-0.016,0.001,0.001,-0.001,0.002,-0.000,-0.001,0.003,0.000,-0.011,-0.000,0.000,-0.004,-0.017,0.001,0.000,-0.001,0.001,0.071,0.048,0.180,-0.001,0.076,35.629,1.563,-0.014,-0.125,0.113,1.011,0.740,1.112,-0.002,-0.004,0.002,-0.000,-0.004,-0.000,0.000,-0.004,-0.015,0.001,0.000,-0.002,0.001,-0.001,-0.002,0.002,0.000,-0.007,0.000,-0.001,-0.003,-0.016,0.001,-0.000,-0.002,0.000,0.000,-0.000,0.002,0.000,-0.004,0.000,0.002,-0.004,-0.016,0.001,0.001,-0.001,0.002,-0.000,-0.000,0.001,0.001,-0.010,0.000,0.004,0.003,-0.007,-0.000,0.003,-0.001,0.004,-0.001,-0.001,-0.000,0.000,-0.008,0.000,-0.000,0.006,-0.003,-0.001,-0.000,-0.001,0.000,0.000,0.001,0.000,0.000,-0.006,0.000,0.000,0.006,-0.000,0.000,-0.000,0.000
"1Q2",0.015,-0.003,0.000,0.010,0.006,-0.002,0.000,0.010,0.004,-0.001,0.000,0.009,0.004,0.002,0.000,0.009,0.002,0.004,0.000,0.007,0.001,0.001,0.000,0.009,0.002,0.001,0.000,0.010,-0.001,0.314,1.000,0.044,-0.061,0.002,0.000,0.007,0.004,0.004,0.000,0.009,0.000,-0.003,-0.000,0.008,0.002,-0.003,0.000,0.004,0.004,-0.001,0.000,0.001,0.001,-0.002,0.000,0.001,0.000,0.019,-0.016,0.019,-0.013,0.019,-0.010,0.019,-0.007,0.019,-0.004,0.019,-0.009,0.019,-0.011,0.019,-0.071,0.019,-0.006,0.019,-0.008,0.019,-0.007,0.001,-0.009,0.000,0.000,0.000,0.000,0.172,-0.002,-0.003,0.003,0.002,-0.021,0.002,0.007,-0.002,-0.015,-0.001,0.005,-0.008,0.007,-0.000,-0.002,0.003,0.002,-0.011,0.002,0.007,-0.001,-0.016,0.001,0.006,-0.001,0.009,-0.003,-0.005,0.002,0.001,-0.012,0.001,0.004,-0.001,-0.014,-0.000,0.003,-0.003,0.005,-0.001,-0.002,0.003,0.001,-0.010,0.000,0.003,-0.000,-0.015,0.002,0.002,-0.002,0.004,-0.004,-0.005,0.001,0.000,-0.007,0.000,-0.001,-0.001,-0.013,0.001,-0.001,-0.003,-0.000,-0.002,-0.003,0.003,0.001,-0.007,0.001,0.004,-0.000,-0.015,0.002,0.003,-0.001,0.005,-0.000,-0.001,0.004,0.001,-0.022,0.000,0.004,-0.000,-0.017,0.003,0.002,-0.001,0.003,0.096,0.060,0.263,-0.002,0.105,35.890,1.458,-0.030,-0.247,0.206,0.985,0.763,1.068,-0.004,-0.006,0.002,0.000,-0.007,0.000,0.002,-0.000,-0.013,0.001,0.001,-0.003,0.003,-0.001,-0.002,0.002,0.001,-0.013,0.001,0.001,-0.001,-0.015,0.002,0.001,-0.002,0.002,0.000,-0.000,0.002,0.001,-0.009,0.001,0.004,-0.000,-0.014,0.001,0.003,-0.001,0.004,-0.001,-0.001,0.002,0.001,-0.020,0.001,0.006,0.002,-0.009,-0.001,0.004,-0.003,0.007,-0.001,-0.001,-0.001,0.000,-0.016,0.000,-0.000,0.007,-0.003,-0.001,-0.000,-0.002,0.001,0.001,0.001,-0.000,0.000,-0.012,0.000,0.000,0.006,-0.001,0.000,-0.000,0.000
"1Q3",0.024,-0.016,0.000,0.019,0.008,-0.017,0.000,0.018,0.005,-0.017,0.000,0.016,0.005,-0.007,0.000,0.015,0.003,-0.000,0.000,0.013,0.002,-0.010,0.000,0.016,0.003,-0.018,0.000,0.017,0.000,0.598,1.000,0.067,-0.083,-0.004,0.000,0.013,0.005,-0.006,0.000,0.015,0.001,-0.015,-0.000,0.015,0.003,-0.008,0.000,0.006,0.005,-0.003,0.000,0.002,0.002,-0.003,0.000,0.002,0.001,0.021,-0.016,0.021,-0.013,0.021,-0.010,0.021,-0.007,0.021,-0.004,0.021,-0.008,0.021,-0.011,0.021,-0.048,0.021,-0.006,0.021,-0.007,0.021,-0.007,0.003,-0.008,0.001,0.000,0.001,0.000,0.166,-0.004,-0.006,0.003,0.005,-0.033,0.004,0.011,-0.001,-0.014,-0.002,0.008,-0.010,0.010,-0.001,-0.002,0.003,0.004,-0.017,0.004,0.011,-0.000,-0.016,0.001,0.009,-0.001,0.013,-0.004,-0.006,0.002,0.003,-0.017,0.003,0.006,0.001,-0.013,0.000,0.005,-0.004,0.008,-0.001,-0.002,0.004,0.001,-0.013,0.001,0.006,0.002,-0.015,0.004,0.005,-0.002,0.007,-0.005,-0.006,0.001,0.001,-0.009,0.001,0.000,0.002,-0.011,0.002,0.000,-0.003,0.001,-0.002,-0.004,0.003,0.002,-0.010,0.002,0.008,0.002,-0.016,0.004,0.005,-0.001,0.008,-0.000,-0.001,0.004,0.001,-0.032,0.000,0.009,0.002,-0.018,0.005,0.004,-0.001,0.007,0.096,0.058,0.278,-0.004,0.098,36.049,1.326,-0.045,-0.345,0.280,0.941,0.762,1.008,-0.005,-0.007,0.002,0.001,-0.010,0.001,0.004,0.003,-0.012,0.002,0.003,-0.004,0.005,-0.001,-0.002,0.003,0.002,-0.019,0.001,0.004,0.001,-0.014,0.003,0.003,-0.002,0.004,-0.000,-0.001,0.003,0.002,-0.013,0.001,0.006,0.002,-0.013,0.003,0.005,-0.001,0.007,-0.002,-0.002,0.002,0.002,-0.030,0.002,0.008,0.001,-0.010,-0.001,0.005,-0.004,0.009,-0.001,-0.001,-0.001,0.001,-0.023,0.000,-0.000,0.007,-0.003,-0.002,-0.000,-0.003,0.001,0.000,0.001,-0.000,0.000,-0.017,0.000,0.000,0.006,-0.001,-0.000,-0.001,0.001
"1Q4",0.033,-0.030,0.000,0.028,0.011,-0.035,0.000,0.027,0.007,-0.036,0.000,0.024,0.007,-0.018,0.000,0.022,0.004,-0.006,0.000,0.019,0.003,-0.023,0.000,0.023,0.004,-0.040,0.000,0.025,0.002,0.896,1.000,0.084,-0.109,-0.012,0.000,0.020,0.006,-0.019,0.000,0.022,0.002,-0.029,-0.000,0.022,0.005,-0.013,0.000,0.009,0.007,-0.004,0.000,0.003,0.003,-0.005,0.000,0.003,0.001,0.024,-0.012,0.024,-0.008,0.024,-0.006,0.024,0.000,0.024,0.000,0.024,-0.005,0.024,-0.007,0.024,-0.019,0.024,0.000,0.024,-0.004,0.024,0.000,0.004,-0.005,0.001,0.000,0.001,0.000,0.159,-0.005,-0.008,0.004,0.007,-0.046,0.007,0.013,-0.001,-0.015,-0.002,0.009,-0.013,0.012,-0.002,-0.003,0.004,0.006,-0.021,0.006,0.014,0.000,-0.017,0.003,0.012,-0.001,0.016,-0.005,-0.008,0.002,0.005,-0.022,0.005,0.009,0.002,-0.012,0.001,0.007,-0.004,0.010,-0.001,-0.002,0.005,0.002,-0.016,0.001,0.010,0.004,-0.015,0.006,0.007,-0.001,0.010,-0.005,-0.006,0.001,0.002,-0.009,0.001,0.003,0.004,-0.010,0.004,0.002,-0.003,0.004,-0.003,-0.004,0.003,0.003,-0.011,0.003,0.012,0.004,-0.016,0.006,0.008,-0.001,0.011,0.000,-0.001,0.006,0.002,-0.040,0.001,0.014,0.003,-0.020,0.007,0.007,-0.001,0.010,0.087,0.051,0.255,-0.005,0.067,36.169,1.186,-0.055,-0.405,0.335,0.890,0.751,0.942,-0.006,-0.008,0.002,0.002,-0.012,0.002,0.007,0.005,-0.011,0.003,0.005,-0.004,0.007,-0.001,-0.001,0.004,0.003,-0.023,0.002,0.008,0.002,-0.014,0.005,0.005,-0.001,0.007,-0.001,-0.002,0.003,0.003,-0.017,0.002,0.009,0.005,-0.013,0.004,0.007,-0.001,0.009,-0.002,-0.003,0.002,0.003,-0.039,0.002,0.009,0.000,-0.011,-0.001,0.006,-0.005,0.010,-0.001,-0.001,-0.001,0.001,-0.029,0.001,-0.000,0.006,-0.003,-0.002,-0.001,-0.003,0.002,0.000,0.001,-0.000,0.001,-0.023,0.000,-0.000,0.006,-0.001,-0.000,-0.001,0.001
"2Q1",0.035,-0.043,0.000,0.034,0.014,-0.051,0.000,0.031,0.010,-0.052,0.000,0.028,0.009,-0.028,0.000,0.026,0.006,-0.012,0.000,0.023,0.004,-0.035,0.000,0.027,0.006,-0.059,0.000,0.030,0.004,1.230,1.000,0.076,-0.135,-0.020,0.000,0.025,0.007,-0.030,0.000,0.026,0.004,-0.041,-0.000,0.026,0.007,-0.017,0.000,0.010,0.009,-0.006,0.000,0.004,0.003,-0.006,0.000,0.003,0.002,0.028,-0.006,0.028,0.000,0.028,0.000,0.028,0.000,0.028,0.000,0.028,0.000,0.028,0.000,0.028,0.011,0.028,0.000,0.028,0.000,0.028,0.000,0.006,0.000,0.002,0.000,0.002,0.000,0.153,-0.007,-0.011,0.005,0.010,-0.058,0.010,0.016,-0.001,-0.014,-0.001,0.011,-0.016,0.014,-0.002,-0.004,0.005,0.008,-0.024,0.008,0.017,0.001,-0.017,0.004,0.014,0.000,0.019,-0.006,-0.009,0.003,0.006,-0.026,0.006,0.012,0.002,-0.011,0.002,0.009,-0.004,0.013,-0.000,-0.002,0.006,0.003,-0.016,0.002,0.014,0.006,-0.015,0.008,0.010,0.000,0.013,-0.005,-0.007,0.001,0.002,-0.009,0.002,0.006,0.007,-0.008,0.005,0.004,-0.002,0.006,-0.002,-0.004,0.005,0.004,-0.011,0.004,0.016,0.005,-0.016,0.008,0.011,0.000,0.014,0.001,-0.001,0.008,0.003,-0.046,0.001,0.020,0.003,-0.021,0.009,0.010,0.000,0.013,0.074,0.045,0.213,-0.006,0.020,36.258,1.054,-0.058,-0.427,0.374,0.843,0.734,0.884,-0.007,-0.009,0.003,0.004,-0.013,0.003,0.010,0.007,-0.010,0.005,0.007,-0.003,0.009,0.000,-0.001,0.005,0.004,-0.025,0.003,0.011,0.003,-0.014,0.007,0.007,0.000,0.010,-0.001,-0.002,0.004,0.004,-0.020,0.003,0.012,0.007,-0.012,0.006,0.009,-0.001,0.012,-0.003,-0.004,0.002,0.004,-0.047,0.003,0.010,-0.001,-0.012,-0.000,0.006,-0.006,0.011,-0.001,-0.001,-0.001,0.001,-0.035,0.001,-0.000,0.005,-0.003,-0.002,-0.001,-0.004,0.002,0.000,0.001,-0.000,0.001,-0.027,0.001,-0.000,0.005,-0.001,-0.000,-0.002,0.001
"2Q2",0.033,-0.053,0.000,0.036,0.017,-0.064,0.000,0.033,0.011,-0.064,0.000,0.030,0.011,-0.036,0.000,0.027,0.008,-0.017,0.000,0.025,0.005,-0.045,0.000,0.029,0.008,-0.073,0.000,0.031,0.007,1.605,1.000,0.055,-0.158,-0.025,0.000,0.027,0.009,-0.038,0.000,0.028,0.005,-0.050,-0.000,0.027,0.009,-0.019,0.000,0.010,0.010,-0.006,0.000,0.004,0.004,-0.007,0.000,0.003,0.002,0.031,0.000,0.031,0.000,0.031,0.000,0.031,0.005,0.031,0.006,0.031,0.005,0.031,0.000,0.031,0.039,0.031,0.004,0.031,0.005,0.031,0.005,0.007,0.000,0.003,0.000,0.002,0.000,0.148,-0.009,-0.013,0.006,0.012,-0.068,0.012,0.017,-0.001,-0.013,-0.000,0.012,-0.018,0.015,-0.001,-0.004,0.006,0.010,-0.026,0.009,0.020,0.001,-0.016,0.006,0.016,0.001,0.021,-0.006,-0.010,0.004,0.008,-0.028,0.008,0.014,0.003,-0.010,0.003,0.011,-0.003,0.015,0.001,-0.001,0.009,0.004,-0.015,0.002,0.017,0.007,-0.014,0.011,0.012,0.002,0.016,-0.004,-0.006,0.002,0.003,-0.007,0.003,0.009,0.009,-0.007,0.007,0.007,-0.001,0.009,-0.002,-0.004,0.006,0.005,-0.009,0.004,0.020,0.006,-0.015,0.010,0.013,0.002,0.017,0.002,0.000,0.011,0.004,-0.049,0.002,0.025,0.003,-0.021,0.012,0.012,0.001,0.016,0.062,0.040,0.164,-0.007,-0.033,36.323,0.938,-0.054,-0.416,0.398,0.805,0.718,0.838,-0.006,-0.009,0.004,0.005,-0.012,0.004,0.013,0.008,-0.008,0.006,0.009,-0.002,0.012,0.001,0.000,0.007,0.005,-0.025,0.004,0.015,0.004,-0.013,0.009,0.010,0.002,0.013,-0.001,-0.002,0.005,0.005,-0.022,0.004,0.015,0.009,-0.010,0.007,0.010,-0.001,0.014,-0.004,-0.005,0.003,0.004,-0.053,0.003,0.010,-0.003,-0.012,-0.000,0.006,-0.007,0.011,-0.001,-0.001,-0.002,0.001,-0.039,0.001,0.000,0.002,-0.003,-0.003,-0.001,-0.004,0.002,0.000,0.001,-0.000,0.001,-0.031,0.001,-0.000,0.004,-0.002,-0.001,-0.002,0.001
"2Q3",0.029,-0.060,0.000,0.035,0.019,-0.073,0.000,0.032,0.013,-0.072,0.000,0.030,0.012,-0.042,0.000,0.027,0.009,-0.021,0.000,0.026,0.007,-0.053,0.000,0.029,0.009,-0.081,0.000,0.030,0.009,2.016,1.000,0.031,-0.177,-0.030,0.000,0.027,0.010,-0.043,0.000,0.028,0.007,-0.057,-0.000,0.027,0.010,-0.021,0.000,0.009,0.011,-0.006,0.000,0.004,0.005,-0.007,0.000,0.003,0.003,0.033,0.006,0.033,0.009,0.033,0.008,0.033,0.009,0.033,0.009,0.033,0.009,0.033,0.008,0.033,0.064,0.033,0.008,0.033,0.009,0.033,0.009,0.008,0.000,0.003,0.000,0.002,0.000,0.145,-0.009,-0.015,0.007,0.014,-0.076,0.014,0.019,-0.001,-0.011,0.001,0.012,-0.020,0.016,-0.001,-0.003,0.008,0.011,-0.025,0.011,0.022,0.002,-0.014,0.008,0.017,0.003,0.023,-0.006,-0.010,0.005,0.009,-0.028,0.009,0.017,0.004,-0.007,0.005,0.012,-0.002,0.017,0.002,0.000,0.011,0.004,-0.012,0.003,0.021,0.008,-0.012,0.013,0.015,0.004,0.019,-0.003,-0.005,0.004,0.004,-0.004,0.003,0.013,0.012,-0.004,0.009,0.010,0.001,0.012,-0.001,-0.003,0.008,0.006,-0.005,0.005,0.023,0.007,-0.014,0.012,0.016,0.004,0.020,0.003,0.001,0.013,0.004,-0.049,0.003,0.030,0.003,-0.020,0.014,0.014,0.003,0.018,0.052,0.039,0.114,-0.008,-0.087,36.370,0.844,-0.044,-0.378,0.410,0.780,0.704,0.808,-0.006,-0.009,0.006,0.006,-0.011,0.005,0.017,0.010,-0.006,0.008,0.011,-0.000,0.014,0.003,0.002,0.010,0.006,-0.022,0.005,0.019,0.005,-0.012,0.011,0.012,0.004,0.015,-0.000,-0.002,0.007,0.006,-0.023,0.005,0.017,0.010,-0.008,0.009,0.012,0.000,0.017,-0.004,-0.005,0.003,0.004,-0.056,0.004,0.010,-0.004,-0.011,0.000,0.005,-0.008,0.010,-0.001,-0.001,-0.002,0.001,-0.042,0.001,0.000,-0.001,-0.003,-0.003,-0.001,-0.004,0.001,0.000,0.001,-0.001,0.001,-0.034,0.001,-0.000,0.003,-0.002,-0.001,-0.002,0.000
"2Q4",0.023,-0.063,0.000,0.032,0.021,-0.079,0.000,0.029,0.014,-0.075,0.000,0.029,0.013,-0.047,0.000,0.026,0.010,-0.026,0.000,0.026,0.008,-0.058,0.000,0.027,0.010,-0.084,0.000,0.029,0.010,2.455,1.000,0.005,-0.189,-0.034,0.000,0.027,0.011,-0.046,0.000,0.027,0.008,-0.062,-0.000,0.027,0.012,-0.021,0.000,0.007,0.011,-0.006,0.000,0.004,0.005,-0.007,0.000,0.003,0.003,0.034,0.011,0.034,0.013,0.034,0.011,0.034,0.012,0.034,0.011,0.034,0.012,0.034,0.012,0.034,0.085,0.034,0.010,0.034,0.012,0.034,0.012,0.008,0.006,0.003,0.000,0.003,0.000,0.145,-0.009,-0.016,0.009,0.015,-0.081,0.015,0.020,-0.000,-0.008,0.002,0.013,-0.021,0.017,0.001,-0.002,0.010,0.012,-0.022,0.011,0.023,0.002,-0.011,0.010,0.019,0.005,0.024,-0.005,-0.009,0.007,0.010,-0.027,0.010,0.019,0.005,-0.005,0.006,0.014,0.000,0.018,0.004,0.002,0.014,0.004,-0.007,0.003,0.024,0.009,-0.010,0.015,0.017,0.006,0.021,-0.001,-0.003,0.006,0.005,0.001,0.004,0.017,0.014,-0.002,0.011,0.012,0.004,0.015,0.001,-0.001,0.010,0.007,0.000,0.006,0.026,0.008,-0.012,0.014,0.018,0.006,0.022,0.004,0.003,0.015,0.004,-0.045,0.003,0.033,0.004,-0.019,0.017,0.016,0.005,0.020,0.045,0.041,0.064,-0.007,-0.134,36.404,0.774,-0.029,-0.320,0.411,0.768,0.693,0.796,-0.005,-0.008,0.007,0.007,-0.008,0.006,0.020,0.011,-0.003,0.009,0.013,0.002,0.016,0.005,0.003,0.012,0.006,-0.018,0.005,0.022,0.005,-0.009,0.013,0.014,0.006,0.018,0.001,-0.001,0.008,0.006,-0.022,0.006,0.020,0.012,-0.006,0.011,0.014,0.002,0.019,-0.004,-0.005,0.003,0.004,-0.057,0.004,0.009,-0.006,-0.010,0.000,0.005,-0.008,0.009,-0.001,-0.001,-0.002,0.001,-0.042,0.001,0.000,-0.004,-0.003,-0.003,-0.001,-0.004,0.001,0.000,0.001,-0.001,0.001,-0.035,0.001,-0.000,0.002,-0.002,-0.001,-0.002,-0.000
"3Q1",0.018,-0.064,0.000,0.029,0.023,-0.082,0.000,0.026,0.014,-0.076,0.000,0.026,0.014,-0.051,0.000,0.025,0.011,-0.031,0.000,0.025,0.009,-0.062,0.000,0.025,0.011,-0.082,0.000,0.026,0.012,2.911,1.000,-0.019,-0.194,-0.037,0.000,0.026,0.012,-0.048,0.000,0.025,0.009,-0.065,-0.000,0.025,0.013,-0.020,0.000,0.005,0.011,-0.004,0.000,0.003,0.005,-0.006,0.000,0.003,0.003,0.033,0.015,0.033,0.017,0.033,0.014,0.033,0.015,0.033,0.012,0.033,0.015,0.033,0.016,0.033,0.102,0.033,0.012,0.033,0.014,0.033,0.014,0.008,0.008,0.004,0.000,0.003,0.000,0.147,-0.009,-0.015,0.010,0.016,-0.084,0.016,0.022,0.000,-0.005,0.003,0.013,-0.021,0.018,0.002,-0.000,0.011,0.012,-0.017,0.011,0.025,0.003,-0.008,0.011,0.020,0.007,0.024,-0.003,-0.007,0.008,0.010,-0.023,0.011,0.021,0.006,-0.001,0.007,0.016,0.002,0.020,0.006,0.003,0.016,0.005,0.000,0.004,0.027,0.010,-0.007,0.017,0.019,0.009,0.023,0.001,-0.001,0.007,0.005,0.007,0.005,0.021,0.015,0.001,0.012,0.015,0.007,0.018,0.003,0.001,0.011,0.007,0.007,0.006,0.029,0.009,-0.009,0.016,0.020,0.009,0.024,0.006,0.004,0.017,0.005,-0.038,0.004,0.036,0.004,-0.016,0.019,0.017,0.007,0.021,0.041,0.047,0.015,-0.006,-0.171,36.429,0.728,-0.010,-0.246,0.402,0.771,0.686,0.802,-0.003,-0.006,0.009,0.008,-0.005,0.007,0.024,0.012,-0.001,0.011,0.015,0.004,0.018,0.006,0.005,0.015,0.006,-0.011,0.006,0.026,0.006,-0.007,0.015,0.017,0.009,0.020,0.002,0.000,0.009,0.007,-0.019,0.006,0.023,0.013,-0.003,0.012,0.016,0.003,0.021,-0.003,-0.005,0.003,0.004,-0.056,0.004,0.008,-0.008,-0.008,0.001,0.004,-0.007,0.008,-0.001,-0.001,-0.002,0.001,-0.041,0.001,-0.000,-0.007,-0.002,-0.003,-0.002,-0.004,0.000,0.000,0.001,-0.001,0.001,-0.036,0.001,-0.000,0.000,-0.002,-0.001,-0.002,-0.000
"3Q2",0.012,-0.063,0.000,0.025,0.024,-0.083,0.000,0.022,0.014,-0.074,0.000,0.024,0.014,-0.054,0.000,0.023,0.011,-0.037,0.000,0.024,0.009,-0.065,0.000,0.023,0.011,-0.077,0.000,0.023,0.012,3.372,1.000,-0.041,-0.193,-0.040,0.000,0.025,0.012,-0.049,0.000,0.023,0.009,-0.067,-0.000,0.023,0.014,-0.018,0.000,0.004,0.011,-0.002,0.000,0.002,0.005,-0.004,0.000,0.002,0.003,0.032,0.018,0.032,0.020,0.032,0.016,0.032,0.016,0.032,0.013,0.032,0.017,0.032,0.018,0.032,0.116,0.032,0.013,0.032,0.016,0.032,0.015,0.008,0.009,0.004,0.000,0.003,0.000,0.151,-0.008,-0.014,0.012,0.016,-0.084,0.016,0.023,0.001,-0.002,0.004,0.014,-0.021,0.018,0.005,0.002,0.012,0.011,-0.010,0.011,0.026,0.004,-0.004,0.013,0.021,0.010,0.025,-0.001,-0.005,0.009,0.010,-0.018,0.011,0.024,0.006,0.002,0.009,0.017,0.005,0.021,0.007,0.005,0.018,0.005,0.008,0.004,0.030,0.011,-0.004,0.019,0.021,0.012,0.025,0.003,0.001,0.009,0.006,0.013,0.005,0.025,0.017,0.003,0.014,0.018,0.010,0.021,0.005,0.003,0.013,0.007,0.016,0.006,0.032,0.009,-0.006,0.018,0.022,0.012,0.025,0.007,0.006,0.018,0.004,-0.028,0.004,0.038,0.004,-0.013,0.020,0.018,0.009,0.021,0.039,0.055,-0.035,-0.004,-0.192,36.449,0.705,0.013,-0.158,0.384,0.787,0.684,0.826,-0.001,-0.004,0.010,0.008,-0.000,0.008,0.027,0.013,0.002,0.012,0.017,0.006,0.020,0.008,0.007,0.017,0.007,-0.003,0.006,0.028,0.006,-0.004,0.017,0.018,0.011,0.021,0.004,0.002,0.011,0.007,-0.015,0.006,0.026,0.014,0.000,0.014,0.018,0.005,0.022,-0.003,-0.004,0.003,0.004,-0.053,0.004,0.008,-0.009,-0.006,0.001,0.003,-0.007,0.006,-0.001,-0.001,-0.002,0.001,-0.039,0.001,-0.000,-0.011,-0.002,-0.003,-0.002,-0.004,-0.000,0.000,0.001,-0.001,0.001,-0.036,0.001,-0.000,-0.002,-0.002,-0.002,-0.002,-0.001
