"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.001,0.000,0.000,-0.001,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.008,-0.128,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.006,0.000,0.006,0.000,0.006,-0.008,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,-0.031,0.006,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.006,-0.013,0.001,-0.002,-0.001,-0.002,-0.001,-0.002,0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.005,-0.013,0.001,-0.001,-0.001,-0.002,-0.000,-0.001,0.002,0.001,-0.004,0.001,0.004,-0.004,-0.006,-0.014,-0.000,0.003,-0.001,0.004,-0.002,-0.002,0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.006,-0.013,0.000,-0.002,-0.001,-0.002,-0.001,-0.002,0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.007,-0.013,0.001,-0.002,-0.001,-0.002,-0.002,-0.002,0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.006,-0.013,0.000,-0.001,-0.001,-0.001,-0.002,-0.003,0.000,-0.000,-0.001,-0.000,-0.004,-0.001,-0.007,-0.013,0.000,-0.002,-0.002,-0.002,-0.002,-0.002,0.000,-0.000,-0.001,-0.000,-0.003,-0.001,-0.006,-0.013,0.000,-0.002,-0.001,-0.002,0.071,0.040,0.182,3.678,-0.014,-0.001,1.427,-0.014,-0.016,-0.085,0.050,0.942,0.836,0.973,-0.002,-0.002,0.000,-0.000,-0.001,-0.000,-0.002,-0.001,-0.005,-0.013,0.000,-0.002,-0.002,-0.001,-0.001,-0.001,0.001,-0.000,-0.001,-0.000,-0.001,-0.001,-0.007,-0.013,0.000,-0.001,-0.001,-0.001,-0.000,-0.000,0.001,0.000,-0.002,0.000,0.003,-0.002,0.004,-0.003,-0.000,0.002,0.000,0.003,-0.000,-0.000,0.000,0.000,-0.002,0.000,0.001,-0.002,0.005,-0.001,-0.000,0.000,-0.000,0.001,-0.000,-0.000,0.000,0.000,-0.001,0.000,0.000,-0.001,0.003,-0.000,0.000,-0.000,0.000
"1Q2",0.002,-0.002,0.000,0.001,-0.000,-0.001,0.000,0.001,-0.000,-0.013,0.000,0.005,0.004,0.000,0.000,0.001,-0.000,0.000,0.000,0.001,-0.001,-0.000,0.000,0.001,-0.000,-0.000,0.000,0.001,-0.001,-0.002,0.000,0.001,-0.001,0.476,0.000,0.018,-0.156,0.000,0.000,0.001,-0.000,-0.008,-0.000,0.001,-0.000,-0.002,0.000,0.001,0.002,-0.001,0.000,0.001,0.001,-0.000,0.000,0.000,0.001,0.005,0.000,0.005,0.000,0.005,-0.011,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,-0.021,0.005,0.000,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.057,0.001,0.001,0.001,-0.000,-0.003,-0.000,-0.001,-0.003,-0.003,-0.008,0.000,-0.001,-0.001,-0.001,-0.002,-0.002,0.001,0.000,-0.001,0.000,-0.001,-0.001,-0.002,-0.008,0.000,-0.001,-0.001,-0.000,-0.001,-0.002,0.003,0.003,-0.007,0.003,0.011,-0.007,-0.006,-0.010,-0.002,0.008,0.000,0.011,-0.002,-0.002,0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.002,-0.008,0.001,-0.001,-0.001,-0.001,-0.001,-0.002,0.000,-0.000,-0.001,-0.000,-0.001,-0.001,-0.003,-0.008,0.000,-0.001,-0.001,-0.001,-0.002,-0.003,0.000,0.000,-0.000,0.000,-0.001,-0.000,-0.003,-0.008,0.000,-0.001,-0.001,-0.000,-0.002,-0.002,0.000,0.000,-0.001,0.000,-0.003,-0.001,-0.003,-0.008,0.000,-0.002,-0.002,-0.002,-0.002,-0.002,0.001,0.000,-0.000,-0.000,-0.002,-0.000,-0.003,-0.008,0.000,-0.001,-0.001,-0.002,0.151,0.111,0.290,3.710,-0.060,-0.003,1.386,-0.060,-0.021,-0.152,0.079,0.915,0.877,0.926,-0.002,-0.002,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.002,-0.008,0.000,-0.001,-0.001,-0.000,-0.001,-0.001,0.001,0.000,-0.003,0.000,-0.000,-0.003,-0.003,-0.008,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,0.001,0.001,-0.003,0.001,0.005,-0.003,0.001,-0.003,-0.000,0.003,0.000,0.005,-0.000,-0.001,0.000,0.000,-0.003,0.000,0.001,-0.003,0.003,-0.001,-0.000,0.001,-0.000,0.002,-0.000,-0.001,0.000,0.000,-0.002,0.000,0.001,-0.002,0.002,-0.000,0.000,-0.000,0.001
"1Q3",0.004,-0.007,0.000,0.003,-0.000,-0.006,0.000,0.002,0.000,-0.037,0.000,0.009,0.006,-0.004,0.000,0.002,-0.000,-0.003,0.000,0.002,-0.000,-0.006,0.000,0.002,0.000,-0.009,0.000,0.002,-0.001,-0.010,0.000,0.002,-0.001,0.929,0.000,0.024,-0.183,-0.006,0.000,0.002,0.000,-0.019,-0.000,0.003,0.000,-0.004,0.000,0.002,0.002,-0.001,0.000,0.001,0.001,-0.001,0.000,0.000,0.001,0.005,0.000,0.005,0.000,0.005,-0.007,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.056,0.001,0.001,0.001,0.001,-0.004,0.001,0.002,-0.004,-0.000,-0.003,-0.000,0.002,-0.000,0.002,-0.001,-0.002,0.001,0.001,-0.001,0.001,0.001,-0.001,0.000,-0.003,0.000,0.001,-0.000,0.002,-0.001,-0.003,0.004,0.005,-0.010,0.005,0.017,-0.010,-0.006,-0.007,-0.002,0.013,0.001,0.017,-0.001,-0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.001,-0.003,0.001,0.001,-0.000,0.001,-0.001,-0.001,0.001,0.000,-0.000,0.000,0.001,-0.000,0.000,-0.003,0.001,0.001,-0.000,0.001,-0.002,-0.002,0.001,0.000,0.001,0.000,0.002,0.001,0.001,-0.003,0.001,0.001,-0.001,0.002,-0.001,-0.002,0.001,0.000,-0.000,0.000,-0.000,-0.000,0.001,-0.003,0.001,-0.000,-0.001,0.000,-0.001,-0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.000,-0.003,0.001,0.000,-0.000,0.000,0.180,0.146,0.301,3.733,-0.124,-0.005,1.327,-0.124,-0.023,-0.190,0.086,0.876,0.884,0.873,-0.001,-0.001,0.001,0.000,-0.001,0.000,0.002,-0.001,0.000,-0.003,0.001,0.001,-0.000,0.002,-0.001,-0.001,0.001,0.001,-0.004,0.001,0.002,-0.004,-0.000,-0.003,-0.000,0.002,-0.000,0.003,-0.000,-0.001,0.001,0.001,-0.005,0.001,0.006,-0.005,-0.001,-0.003,-0.000,0.004,0.000,0.005,-0.000,-0.001,0.000,0.000,-0.004,0.000,0.001,-0.004,0.001,-0.001,-0.000,0.001,-0.001,0.002,-0.000,-0.001,0.000,0.000,-0.003,0.000,0.001,-0.003,0.002,-0.000,0.000,-0.001,0.001
"1Q4",0.005,-0.014,0.000,0.005,0.001,-0.013,0.000,0.003,0.001,-0.063,0.000,0.012,0.009,-0.010,0.000,0.003,0.000,-0.008,0.000,0.003,0.001,-0.012,0.000,0.003,0.001,-0.018,0.000,0.003,-0.000,-0.018,0.000,0.003,-0.000,1.373,0.000,0.026,-0.208,-0.013,0.000,0.003,0.001,-0.029,-0.000,0.004,0.001,-0.006,0.000,0.002,0.003,-0.002,0.000,0.001,0.001,-0.001,0.000,0.000,0.001,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.000,0.006,0.017,0.006,0.000,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.056,0.002,0.002,0.002,0.002,-0.004,0.002,0.006,-0.004,0.001,0.001,-0.000,0.004,0.001,0.005,-0.000,-0.001,0.001,0.001,0.000,0.001,0.004,0.000,0.002,0.002,0.000,0.003,0.001,0.004,-0.001,-0.003,0.005,0.007,-0.012,0.007,0.021,-0.012,-0.005,-0.004,-0.002,0.016,0.002,0.021,0.000,-0.000,0.002,0.000,0.002,0.000,0.004,0.002,0.003,0.002,0.001,0.003,0.001,0.003,-0.000,-0.000,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.004,0.001,0.004,-0.001,-0.001,0.001,0.001,0.002,0.001,0.005,0.002,0.003,0.001,0.001,0.003,0.001,0.004,-0.000,-0.001,0.002,0.001,0.001,0.001,0.004,0.001,0.004,0.001,0.001,0.002,0.000,0.003,0.000,-0.000,0.002,0.001,0.002,0.001,0.003,0.002,0.003,0.002,0.001,0.002,0.001,0.003,0.177,0.158,0.245,3.753,-0.192,-0.006,1.269,-0.192,-0.021,-0.186,0.074,0.837,0.872,0.827,-0.000,-0.000,0.002,0.001,-0.000,0.001,0.005,-0.000,0.002,0.001,0.001,0.003,0.001,0.004,-0.001,-0.001,0.002,0.002,-0.005,0.002,0.005,-0.005,0.003,0.002,-0.000,0.004,-0.000,0.005,-0.000,-0.001,0.001,0.001,-0.005,0.001,0.006,-0.005,-0.003,-0.003,-0.000,0.004,0.000,0.005,-0.000,-0.001,0.000,0.000,-0.005,0.000,0.001,-0.005,-0.001,-0.001,-0.000,0.001,-0.001,0.002,-0.000,-0.000,0.000,0.000,-0.004,0.000,0.001,-0.004,0.001,-0.000,0.001,-0.001,0.001
"2Q1",0.005,-0.020,0.000,0.008,0.001,-0.019,0.000,0.005,0.001,-0.084,0.000,0.012,0.007,-0.015,0.000,0.004,0.001,-0.014,0.000,0.005,0.001,-0.018,0.000,0.004,0.001,-0.028,0.000,0.004,0.001,-0.027,0.000,0.004,0.001,1.813,0.000,0.015,-0.094,-0.020,0.000,0.004,0.001,-0.039,-0.000,0.005,0.002,-0.007,0.000,0.001,0.002,-0.002,0.000,0.001,0.001,-0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.004,0.003,0.003,0.003,0.003,-0.005,0.003,0.008,-0.005,0.003,0.005,-0.000,0.006,0.002,0.006,0.001,0.001,0.002,0.002,0.001,0.002,0.006,0.001,0.005,0.006,0.001,0.005,0.002,0.006,-0.001,-0.003,0.006,0.007,-0.014,0.008,0.017,-0.014,-0.003,0.000,-0.001,0.013,0.003,0.016,0.002,0.001,0.002,0.001,0.003,0.001,0.006,0.003,0.006,0.006,0.001,0.004,0.002,0.005,0.001,0.001,0.002,0.001,0.002,0.001,0.007,0.002,0.006,0.005,0.001,0.005,0.002,0.006,0.001,0.001,0.002,0.001,0.003,0.001,0.007,0.003,0.006,0.006,0.001,0.005,0.002,0.006,0.001,0.001,0.003,0.001,0.001,0.001,0.008,0.001,0.006,0.005,0.001,0.004,0.002,0.005,0.002,0.001,0.002,0.001,0.003,0.001,0.006,0.003,0.006,0.006,0.001,0.004,0.002,0.005,0.103,0.108,0.087,0.077,-0.251,-0.006,-0.208,-0.251,-0.012,-0.137,0.041,-0.140,0.020,-0.187,0.001,0.001,0.003,0.001,0.001,0.001,0.007,0.001,0.004,0.006,0.001,0.005,0.002,0.006,-0.000,-0.001,0.003,0.002,-0.006,0.002,0.007,-0.006,0.005,0.006,0.000,0.005,0.000,0.007,-0.000,-0.001,0.001,0.001,-0.005,0.001,0.003,-0.005,-0.004,-0.003,0.000,0.002,-0.000,0.003,-0.000,-0.000,0.000,0.000,-0.005,0.000,0.001,-0.005,-0.003,-0.001,-0.000,0.000,-0.001,0.001,-0.000,-0.000,0.000,0.000,-0.004,0.000,0.001,-0.004,0.000,-0.000,0.000,-0.001,0.001
"2Q2",0.004,-0.025,0.000,0.008,0.002,-0.024,0.000,0.005,0.002,-0.090,0.000,0.008,0.006,-0.020,0.000,0.004,0.001,-0.019,0.000,0.005,0.002,-0.024,0.000,0.004,0.002,-0.035,0.000,0.004,0.002,-0.032,0.000,0.004,0.001,1.751,0.000,0.001,-0.076,-0.026,0.000,0.004,0.002,-0.040,-0.000,0.005,0.003,-0.006,0.000,0.000,0.001,-0.001,0.000,0.000,0.001,-0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.007,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.023,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.005,0.004,0.004,0.004,0.003,-0.005,0.004,0.007,-0.005,0.002,0.003,0.001,0.005,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.006,0.002,0.004,0.004,0.001,0.005,0.003,0.006,-0.000,-0.003,0.007,0.007,-0.014,0.007,0.010,-0.014,-0.003,-0.001,0.000,0.008,0.002,0.010,0.002,0.002,0.003,0.001,0.004,0.001,0.007,0.004,0.005,0.004,0.002,0.005,0.003,0.006,0.002,0.002,0.003,0.001,0.002,0.001,0.008,0.002,0.005,0.004,0.002,0.006,0.003,0.007,0.002,0.001,0.003,0.001,0.004,0.001,0.008,0.004,0.005,0.004,0.002,0.005,0.003,0.006,0.001,0.001,0.004,0.001,0.002,0.001,0.009,0.002,0.005,0.004,0.002,0.005,0.002,0.006,0.002,0.002,0.003,0.001,0.004,0.001,0.007,0.004,0.005,0.004,0.002,0.005,0.003,0.005,-0.002,0.017,-0.070,0.067,-0.294,-0.005,-0.236,-0.294,-0.008,-0.082,0.013,-0.160,-0.049,-0.193,0.002,0.001,0.004,0.001,0.001,0.001,0.007,0.001,0.004,0.004,0.002,0.005,0.003,0.006,0.000,-0.001,0.003,0.002,-0.007,0.002,0.007,-0.007,0.004,0.004,0.000,0.005,0.000,0.006,-0.000,-0.000,0.001,0.001,-0.004,0.001,0.001,-0.004,-0.003,-0.002,0.000,0.001,0.000,0.001,-0.000,-0.000,0.000,0.000,-0.004,0.000,0.000,-0.004,-0.003,-0.001,-0.000,-0.000,-0.001,0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,0.000,-0.004,0.000,-0.000,0.000,-0.001,0.001
"2Q3",0.003,-0.026,0.000,0.006,0.002,-0.026,0.000,0.004,0.002,-0.083,0.000,0.003,0.004,-0.021,0.000,0.003,0.002,-0.022,0.000,0.004,0.002,-0.025,0.000,0.003,0.002,-0.035,0.000,0.003,0.002,-0.033,0.000,0.003,0.002,1.701,0.000,-0.011,-0.057,-0.026,0.000,0.003,0.002,-0.037,-0.000,0.004,0.004,-0.005,0.000,-0.001,0.000,-0.000,0.000,-0.000,0.001,-0.000,0.000,-0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.009,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.021,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.006,0.004,0.004,0.004,0.003,-0.006,0.004,0.006,-0.006,0.001,0.001,0.001,0.004,0.002,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.006,0.002,0.003,0.003,0.002,0.005,0.003,0.005,0.000,-0.002,0.007,0.005,-0.013,0.006,0.005,-0.013,-0.002,-0.001,0.001,0.003,0.001,0.004,0.002,0.002,0.004,0.001,0.005,0.001,0.007,0.005,0.004,0.003,0.002,0.005,0.003,0.006,0.003,0.002,0.003,0.001,0.003,0.001,0.007,0.003,0.004,0.002,0.002,0.005,0.003,0.006,0.002,0.002,0.003,0.001,0.005,0.001,0.007,0.005,0.004,0.002,0.002,0.005,0.003,0.006,0.001,0.001,0.005,0.001,0.002,0.001,0.009,0.002,0.004,0.002,0.002,0.004,0.002,0.005,0.002,0.002,0.004,0.001,0.004,0.001,0.007,0.004,0.004,0.002,0.002,0.005,0.003,0.005,-0.068,-0.041,-0.163,0.055,-0.323,-0.005,-0.231,-0.323,-0.003,-0.033,-0.009,-0.159,-0.093,-0.178,0.002,0.001,0.004,0.001,0.002,0.001,0.007,0.002,0.003,0.003,0.002,0.005,0.003,0.005,0.000,-0.001,0.003,0.002,-0.008,0.002,0.006,-0.008,0.004,0.003,0.001,0.004,0.000,0.005,0.000,0.000,0.001,0.001,-0.004,0.001,-0.000,-0.004,-0.002,-0.001,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,-0.002,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.004,0.000,-0.000,-0.004,0.000,-0.000,-0.000,-0.001,0.000
"2Q4",0.001,-0.025,0.000,0.003,0.002,-0.025,0.000,0.003,0.002,-0.068,0.000,-0.003,0.002,-0.021,0.000,0.003,0.002,-0.022,0.000,0.003,0.002,-0.025,0.000,0.003,0.002,-0.033,0.000,0.003,0.002,-0.032,0.000,0.003,0.002,1.655,0.000,-0.018,-0.039,-0.025,0.000,0.002,0.002,-0.033,-0.000,0.002,0.003,-0.004,0.000,-0.001,-0.000,0.001,0.000,-0.001,0.000,0.000,0.000,-0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.009,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.018,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-0.006,0.004,0.004,0.004,0.003,-0.005,0.003,0.004,-0.005,0.000,0.000,0.002,0.003,0.001,0.003,0.003,0.002,0.003,0.001,0.003,0.002,0.005,0.003,0.002,0.002,0.002,0.004,0.003,0.005,0.001,-0.001,0.006,0.003,-0.012,0.004,0.000,-0.012,-0.001,-0.001,0.001,-0.000,0.001,-0.001,0.002,0.002,0.004,0.001,0.005,0.001,0.006,0.005,0.003,0.002,0.002,0.004,0.003,0.005,0.003,0.003,0.003,0.001,0.003,0.001,0.006,0.003,0.003,0.001,0.002,0.005,0.003,0.005,0.002,0.002,0.003,0.001,0.005,0.001,0.006,0.005,0.003,0.001,0.002,0.005,0.003,0.005,0.001,0.001,0.005,0.001,0.002,0.001,0.008,0.002,0.003,0.001,0.003,0.004,0.002,0.005,0.002,0.002,0.004,0.001,0.005,0.001,0.007,0.005,0.003,0.001,0.003,0.004,0.003,0.005,-0.104,-0.076,-0.203,0.045,-0.340,-0.003,-0.207,-0.340,0.001,0.005,-0.026,-0.145,-0.117,-0.154,0.002,0.001,0.004,0.001,0.002,0.001,0.006,0.002,0.002,0.001,0.002,0.004,0.003,0.005,0.000,-0.001,0.003,0.002,-0.008,0.002,0.004,-0.008,0.003,0.002,0.001,0.003,0.000,0.004,0.000,0.000,0.001,0.000,-0.003,0.001,-0.001,-0.003,-0.001,-0.001,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.001,-0.003,-0.002,-0.001,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,0.000,-0.000,-0.000,-0.001,-0.000
"3Q1",-0.000,-0.022,0.000,0.001,0.001,-0.024,0.000,0.001,0.001,-0.051,0.000,-0.006,0.000,-0.020,0.000,0.002,0.002,-0.022,0.000,0.002,0.002,-0.023,0.000,0.002,0.002,-0.030,0.000,0.002,0.002,-0.030,0.000,0.002,0.002,1.607,0.000,-0.020,-0.021,-0.023,0.000,0.002,0.002,-0.028,-0.000,0.001,0.003,-0.002,0.000,-0.001,-0.001,0.001,0.000,-0.001,0.000,0.001,0.000,-0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.008,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.014,0.001,0.000,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.005,0.004,0.005,0.004,0.002,-0.005,0.002,0.002,-0.005,0.000,-0.001,0.002,0.001,0.001,0.001,0.003,0.002,0.003,0.001,0.003,0.001,0.004,0.003,0.002,0.001,0.002,0.003,0.003,0.003,0.001,-0.001,0.005,0.002,-0.010,0.002,-0.003,-0.010,0.000,-0.000,0.001,-0.003,0.000,-0.004,0.002,0.002,0.004,0.001,0.005,0.001,0.005,0.005,0.002,0.001,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.001,0.003,0.001,0.005,0.003,0.002,-0.000,0.002,0.004,0.003,0.004,0.002,0.002,0.003,0.001,0.005,0.001,0.005,0.005,0.002,0.000,0.002,0.004,0.003,0.004,0.001,0.001,0.005,0.001,0.002,0.001,0.007,0.002,0.002,-0.000,0.003,0.003,0.002,0.004,0.002,0.002,0.004,0.001,0.005,0.001,0.006,0.005,0.002,0.000,0.003,0.004,0.003,0.004,-0.121,-0.096,-0.210,0.038,-0.347,-0.002,-0.173,-0.347,0.005,0.031,-0.038,-0.125,-0.128,-0.125,0.002,0.001,0.004,0.001,0.003,0.001,0.005,0.003,0.002,0.001,0.002,0.003,0.002,0.004,0.000,-0.001,0.003,0.001,-0.008,0.002,0.003,-0.008,0.002,0.001,0.001,0.002,-0.000,0.003,0.001,0.001,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.000,0.000,-0.001,0.000,-0.002,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.002,-0.001,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.000,-0.000,-0.000,-0.000,-0.000
"3Q2",-0.001,-0.019,0.000,-0.001,0.000,-0.022,0.000,0.001,0.001,-0.034,0.000,-0.007,-0.001,-0.019,0.000,0.001,0.001,-0.022,0.000,0.001,0.001,-0.022,0.000,0.001,0.001,-0.026,0.000,0.001,0.002,-0.027,0.000,0.001,0.001,1.553,0.000,-0.018,-0.004,-0.020,0.000,0.001,0.001,-0.023,-0.000,-0.000,0.002,-0.001,0.000,-0.002,-0.001,0.002,0.000,-0.001,-0.000,0.001,0.000,-0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.007,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.010,0.001,0.000,0.001,0.000,-0.001,0.000,-0.000,0.000,-0.000,0.000,-0.005,0.004,0.005,0.004,0.002,-0.005,0.002,0.001,-0.005,0.000,-0.001,0.002,0.000,0.001,0.000,0.003,0.002,0.003,0.001,0.003,0.001,0.003,0.003,0.001,0.000,0.002,0.003,0.003,0.002,0.001,0.001,0.004,0.001,-0.008,0.001,-0.005,-0.008,0.001,0.000,0.001,-0.005,-0.000,-0.006,0.002,0.002,0.004,0.001,0.005,0.001,0.004,0.005,0.002,-0.000,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0.004,0.001,0.004,0.004,0.001,-0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.001,0.005,0.001,0.004,0.005,0.002,-0.000,0.002,0.003,0.003,0.003,0.001,0.001,0.005,0.001,0.002,0.001,0.005,0.002,0.002,-0.001,0.003,0.003,0.002,0.003,0.002,0.002,0.004,0.001,0.005,0.001,0.005,0.005,0.002,-0.001,0.003,0.003,0.003,0.003,-0.127,-0.106,-0.201,0.032,-0.346,-0.001,-0.137,-0.346,0.007,0.047,-0.046,-0.104,-0.130,-0.096,0.002,0.001,0.004,0.001,0.003,0.001,0.004,0.003,0.001,-0.000,0.002,0.003,0.002,0.003,0.000,-0.000,0.003,0.001,-0.007,0.001,0.002,-0.007,0.002,0.001,0.001,0.001,-0.000,0.002,0.001,0.001,0.000,0.000,-0.000,0.000,-0.002,-0.000,-0.001,-0.000,0.000,-0.001,0.001,-0.002,-0.000,-0.000,-0.001,0.000,-0.001,0.000,-0.001,-0.001,-0.001,-0.000,-0.000,-0.001,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.000,-0.000,-0.000,-0.000,-0.000
