"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_qi","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_qi","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_qi","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_qi","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_qi","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_qi","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_qi","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_qi","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_qi","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_qi","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_qi","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_qi","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_qi","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_qi","US_reer","US_w","US_y","US_ysn","US_yst"
"1Q1",0.001,0.000,0.000,0.001,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,-0.000,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.000,0.000,0.001,0.001,-0.000,0.000,0.019,-0.076,0.000,-0.000,0.000,0.001,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,-0.088,0.002,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.024,0.002,0.003,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.000,0.000,0.002,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,-0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.003,0.000,0.001,-0.000,0.000,0.002,0.001,0.003,0.003,0.002,0.006,0.000,0.002,0.000,0.012,0.002,0.002,-0.002,0.002,0.009,0.002,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,-0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.000,0.000,0.002,0.000,0.002,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.001,-0.000,0.001,0.000,0.000,0.000,-0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.000,0.000,0.002,0.001,0.002,0.641,0.692,0.356,5.027,-0.131,-0.001,1.777,-0.131,-0.014,-0.130,0.085,1.211,1.078,1.265,-0.000,-0.001,0.000,0.000,-0.001,0.000,0.001,-0.001,0.001,-0.000,0.000,0.001,-0.000,0.001,0.000,0.000,0.000,-0.000,-0.001,-0.000,0.000,-0.001,-0.002,-0.003,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.001,0.000,-0.000,-0.001,-0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.001,-0.000,0.000,-0.001,0.000,-0.000,-0.001,0.001,-0.000,-0.000,-0.000,-0.000
"1Q2",0.002,-0.001,0.000,0.002,0.001,0.001,0.000,0.001,0.001,-0.001,0.000,0.001,0.003,-0.004,0.000,0.002,0.017,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.003,0.003,0.000,0.001,0.001,0.002,0.000,0.001,0.002,-0.001,0.000,0.001,0.003,0.332,0.000,0.042,-0.278,0.002,-0.000,0.001,0.002,0.000,0.000,-0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,-0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,-0.068,0.004,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.036,0.004,0.004,0.002,0.001,0.002,0.001,0.006,0.002,0.000,-0.001,0.001,0.004,0.002,0.004,0.001,0.001,0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.001,0.000,0.002,0.001,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.006,0.001,0.001,-0.001,0.000,0.005,0.002,0.006,0.004,0.003,0.010,0.001,0.003,0.000,0.031,0.003,0.003,-0.006,0.003,0.023,0.004,0.030,0.001,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.000,0.002,0.001,0.003,0.001,0.000,0.001,0.000,0.001,0.000,0.006,0.001,0.001,-0.001,0.001,0.004,0.001,0.005,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.002,-0.000,0.001,-0.000,0.000,0.001,-0.000,0.002,0.001,0.000,0.001,0.000,0.001,0.000,0.005,0.001,0.001,-0.001,0.001,0.003,0.001,0.004,0.002,0.002,0.002,0.000,0.002,0.000,0.008,0.002,0.001,-0.001,0.001,0.005,0.002,0.006,1.840,2.045,0.711,5.064,-0.274,-0.003,2.443,-0.274,-0.033,-0.284,0.149,1.663,1.911,1.564,-0.000,-0.001,0.001,0.000,-0.002,0.000,0.004,-0.002,0.001,-0.001,0.000,0.003,-0.000,0.004,0.000,0.000,0.000,-0.000,-0.001,-0.000,0.001,-0.001,-0.001,-0.003,0.000,0.001,-0.000,0.001,-0.000,-0.000,0.000,0.000,-0.002,0.000,0.000,-0.002,-0.000,-0.001,-0.000,0.000,-0.000,0.001,-0.001,-0.001,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.001,0.000
"1Q3",0.003,-0.004,0.000,0.003,0.001,0.001,0.000,0.002,0.001,-0.003,0.000,0.002,0.004,-0.014,0.000,0.004,0.022,0.000,0.000,0.002,0.001,-0.000,0.000,0.002,0.004,0.007,0.000,0.001,0.001,0.003,0.000,0.001,0.002,-0.002,0.000,0.002,0.004,0.187,0.000,0.060,-0.372,0.003,-0.000,0.002,0.003,-0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,-0.000,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,0.000,0.004,-0.030,0.004,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.039,0.005,0.005,0.003,0.001,0.002,0.001,0.007,0.002,0.000,-0.002,0.001,0.005,0.003,0.005,0.001,0.001,0.001,0.001,0.000,0.001,0.003,0.000,0.001,-0.001,0.000,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.008,0.001,0.000,-0.002,0.001,0.006,0.002,0.008,0.005,0.003,0.013,0.001,0.002,0.001,0.038,0.002,0.003,-0.009,0.004,0.028,0.005,0.037,0.001,0.001,0.001,0.000,0.001,0.000,0.004,0.001,0.001,-0.001,0.001,0.003,0.001,0.003,0.001,0.000,0.002,0.001,0.001,0.001,0.008,0.001,0.001,-0.002,0.001,0.006,0.001,0.007,-0.000,-0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,-0.001,0.000,0.002,-0.000,0.002,0.001,0.001,0.001,0.000,0.001,0.000,0.006,0.001,0.001,-0.001,0.001,0.004,0.001,0.005,0.003,0.003,0.002,0.001,0.002,0.001,0.009,0.002,0.001,-0.002,0.001,0.006,0.002,0.007,2.294,2.551,0.873,5.088,-0.417,-0.005,2.632,-0.417,-0.049,-0.396,0.181,1.789,2.213,1.619,-0.000,-0.001,0.001,0.000,-0.002,0.000,0.005,-0.002,0.002,-0.001,0.000,0.004,-0.000,0.005,0.000,0.000,0.000,0.000,-0.001,0.000,0.002,-0.001,-0.001,-0.003,0.000,0.001,-0.000,0.002,-0.000,-0.000,0.000,0.000,-0.003,0.000,0.001,-0.003,-0.000,-0.001,-0.000,0.000,-0.000,0.001,-0.001,-0.001,-0.000,0.000,-0.002,0.000,-0.000,-0.002,0.001,-0.000,-0.000,-0.001,0.000
"1Q4",0.004,-0.006,0.000,0.003,0.002,0.002,0.000,0.002,0.001,-0.007,0.000,0.003,0.004,-0.025,0.000,0.005,0.023,-0.000,0.000,0.002,0.002,-0.001,0.000,0.003,0.004,0.010,0.000,0.002,0.001,0.003,0.000,0.002,0.003,-0.005,0.000,0.003,0.004,0.178,0.000,0.068,-0.431,0.003,-0.000,0.002,0.004,-0.001,0.000,0.000,0.001,-0.000,0.000,0.000,0.001,0.000,0.000,-0.000,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.000,0.005,0.016,0.005,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.040,0.005,0.006,0.003,0.001,0.002,0.001,0.007,0.002,-0.000,-0.003,0.001,0.006,0.003,0.006,0.001,0.001,0.001,0.001,0.000,0.001,0.004,0.000,0.001,-0.001,0.001,0.003,0.001,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.009,0.001,0.000,-0.003,0.001,0.007,0.002,0.008,0.005,0.003,0.014,0.001,0.002,0.001,0.041,0.002,0.003,-0.011,0.005,0.030,0.005,0.040,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,-0.001,0.001,0.003,0.001,0.004,0.001,0.000,0.002,0.001,0.001,0.001,0.009,0.001,0.001,-0.003,0.001,0.006,0.001,0.008,-0.000,-0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.001,-0.001,0.001,0.002,0.000,0.003,0.001,0.001,0.001,0.000,0.002,0.000,0.007,0.002,0.002,-0.002,0.001,0.004,0.001,0.006,0.003,0.003,0.003,0.001,0.002,0.001,0.010,0.002,0.001,-0.003,0.001,0.007,0.003,0.008,2.463,2.746,0.899,5.108,-0.549,-0.007,2.652,-0.549,-0.057,-0.435,0.174,1.800,2.314,1.593,-0.000,-0.001,0.001,0.001,-0.003,0.001,0.006,-0.003,0.002,-0.001,0.001,0.004,-0.000,0.006,0.000,0.000,0.001,0.000,-0.002,0.000,0.002,-0.002,-0.001,-0.003,0.000,0.002,-0.000,0.002,-0.000,-0.000,0.000,0.000,-0.003,0.000,0.001,-0.003,0.000,-0.001,-0.000,0.001,-0.000,0.001,-0.000,-0.001,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,0.000,-0.001,0.000
"2Q1",0.004,-0.009,0.000,0.003,0.001,0.002,0.000,0.002,0.001,-0.009,0.000,0.003,0.003,-0.036,0.000,0.005,0.017,-0.001,0.000,0.002,0.001,-0.003,0.000,0.003,0.003,0.013,0.000,0.002,0.001,0.004,0.000,0.002,0.002,-0.007,0.000,0.003,0.003,0.261,0.000,0.047,-0.379,0.004,-0.000,0.002,0.003,-0.002,0.000,0.000,0.001,-0.000,0.000,0.000,0.001,0.000,0.000,-0.000,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.000,0.002,0.044,0.002,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.016,0.005,0.006,0.003,0.002,0.002,0.002,0.006,0.002,-0.000,-0.003,0.001,0.004,0.003,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.001,0.001,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.007,0.001,0.000,-0.003,0.001,0.006,0.003,0.006,0.005,0.003,0.014,0.002,0.001,0.001,0.031,0.001,0.002,-0.011,0.005,0.023,0.005,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,-0.002,0.001,0.003,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.001,-0.003,0.001,0.005,0.002,0.007,-0.000,-0.000,-0.000,0.000,0.001,0.000,0.004,0.001,0.002,-0.001,0.001,0.002,0.000,0.003,0.001,0.001,0.001,0.000,0.002,0.000,0.006,0.002,0.002,-0.002,0.001,0.004,0.001,0.005,0.003,0.003,0.003,0.001,0.003,0.001,0.008,0.003,0.001,-0.003,0.002,0.005,0.003,0.006,1.825,2.037,0.651,0.078,-0.657,-0.009,0.772,-0.657,-0.058,-0.384,0.126,0.517,1.201,0.243,-0.000,-0.000,0.001,0.001,-0.003,0.001,0.005,-0.003,0.002,-0.001,0.001,0.004,0.000,0.005,0.000,0.000,0.001,0.000,-0.002,0.000,0.002,-0.002,-0.001,-0.002,0.000,0.001,-0.000,0.002,-0.000,-0.000,0.000,0.000,-0.003,0.000,0.001,-0.003,-0.000,-0.001,-0.000,0.000,-0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,0.000,-0.001,0.000
"2Q2",0.003,-0.012,0.000,0.003,-0.001,-0.000,0.000,0.002,0.001,-0.013,0.000,0.003,0.001,-0.045,0.000,0.004,0.005,-0.003,0.000,0.002,0.001,-0.006,0.000,0.003,0.001,0.011,0.000,0.002,0.001,0.001,0.000,0.002,0.001,-0.010,0.000,0.003,0.000,0.064,0.000,0.014,-0.180,0.002,-0.000,0.002,0.002,-0.002,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.057,0.001,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.002,0.005,0.006,0.003,0.002,0.002,0.002,0.003,0.002,-0.000,-0.003,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,-0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0.003,0.001,-0.000,-0.003,0.001,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0.001,0.001,0.011,0.001,-0.000,-0.010,0.005,0.008,0.005,0.010,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.001,-0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.005,0.001,0.001,-0.003,0.002,0.003,0.002,0.004,0.000,0.000,-0.000,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.000,0.004,0.002,0.001,-0.002,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.001,0.003,0.001,0.004,0.003,0.000,-0.003,0.002,0.003,0.003,0.002,0.528,0.576,0.260,0.068,-0.740,-0.010,-0.056,-0.740,-0.050,-0.284,0.067,-0.053,0.265,-0.181,0.000,0.000,0.001,0.001,-0.003,0.001,0.003,-0.003,0.001,-0.001,0.001,0.002,0.000,0.003,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,-0.002,-0.001,-0.002,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,-0.000,-0.001,0.000
"2Q3",0.002,-0.013,0.000,0.002,-0.001,-0.002,0.000,0.002,0.000,-0.016,0.000,0.002,-0.000,-0.046,0.000,0.003,-0.000,-0.004,0.000,0.002,0.000,-0.008,0.000,0.002,0.001,0.009,0.000,0.002,0.001,-0.001,0.000,0.002,0.000,-0.011,0.000,0.002,-0.000,0.421,0.000,-0.019,-0.110,0.000,-0.000,0.002,0.001,-0.002,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.060,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.003,0.005,0.006,0.003,0.002,0.001,0.002,0.001,0.001,-0.001,-0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,-0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0.002,0.001,-0.000,-0.003,0.001,0.001,0.003,0.001,0.004,0.003,0.010,0.001,0.001,0.001,0.003,0.001,-0.001,-0.009,0.005,0.002,0.004,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,-0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.000,-0.003,0.002,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.000,0.003,0.003,0.001,-0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.001,0.003,0.001,0.002,0.003,0.000,-0.003,0.002,0.001,0.003,0.001,0.074,0.087,0.003,0.054,-0.800,-0.010,-0.321,-0.800,-0.037,-0.173,0.013,-0.239,-0.066,-0.308,0.000,0.000,0.001,0.001,-0.003,0.001,0.002,-0.003,0.001,-0.001,0.001,0.001,0.000,0.002,0.000,0.000,0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.001,-0.002,0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,-0.000,-0.001,0.000
"2Q4",0.001,-0.013,0.000,0.001,-0.001,-0.004,0.000,0.001,0.000,-0.016,0.000,0.001,-0.001,-0.045,0.000,0.001,-0.002,-0.006,0.000,0.001,0.000,-0.009,0.000,0.001,0.000,0.006,0.000,0.001,0.001,-0.004,0.000,0.001,0.000,-0.012,0.000,0.001,-0.001,0.649,0.000,-0.042,-0.077,-0.001,-0.000,0.001,0.001,-0.002,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.001,0.000,-0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.057,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.004,0.005,0.005,0.002,0.001,0.001,0.001,0.000,0.001,-0.000,-0.003,0.002,0.000,0.003,-0.000,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.000,-0.002,0.001,0.002,0.002,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,-0.000,-0.003,0.001,0.001,0.003,0.000,0.004,0.003,0.007,0.001,0.002,0.001,-0.001,0.002,-0.002,-0.007,0.004,-0.001,0.004,-0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.001,-0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.000,-0.003,0.002,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.001,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.003,0.000,0.002,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.003,0.001,0.001,0.003,0.000,-0.003,0.002,0.001,0.003,0.000,-0.090,-0.080,-0.146,0.044,-0.839,-0.009,-0.382,-0.839,-0.023,-0.074,-0.033,-0.286,-0.187,-0.326,0.000,0.000,0.001,0.001,-0.002,0.001,0.001,-0.002,0.001,-0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.002,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.000,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,-0.000,-0.001,0.000
"3Q1",-0.000,-0.013,0.000,0.000,-0.002,-0.005,0.000,0.001,0.000,-0.015,0.000,0.000,-0.001,-0.042,0.000,-0.000,-0.004,-0.007,0.000,0.001,-0.000,-0.009,0.000,0.001,0.000,0.004,0.000,0.001,0.001,-0.005,0.000,0.001,-0.000,-0.012,0.000,0.001,-0.001,0.819,0.000,-0.054,-0.052,-0.001,-0.000,0.001,0.001,-0.001,0.000,-0.000,-0.000,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.000,0.001,0.050,0.001,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.005,0.005,0.005,0.002,0.001,0.001,0.001,-0.001,0.001,-0.000,-0.002,0.002,-0.000,0.003,-0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.000,-0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.002,0.001,0.001,0.001,0.000,0.001,-0.000,-0.002,0.001,0.000,0.002,-0.000,0.004,0.003,0.005,0.001,0.002,0.001,-0.003,0.002,-0.002,-0.006,0.004,-0.002,0.004,-0.004,0.002,0.002,0.001,0.001,0.003,0.001,0.002,0.003,0.001,-0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.000,-0.002,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.002,0.001,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.003,0.000,0.002,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.003,0.001,0.000,0.003,0.000,-0.002,0.002,0.000,0.003,-0.000,-0.148,-0.135,-0.219,0.036,-0.859,-0.008,-0.365,-0.859,-0.009,0.004,-0.069,-0.280,-0.230,-0.300,0.001,0.001,0.001,0.001,-0.002,0.001,0.001,-0.002,0.001,-0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,-0.002,-0.001,-0.001,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.000,-0.003,-0.001,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.001,-0.000,-0.000,-0.001,0.000
"3Q2",-0.001,-0.012,0.000,-0.000,-0.002,-0.005,0.000,0.001,-0.000,-0.014,0.000,-0.000,-0.001,-0.037,0.000,-0.001,-0.004,-0.007,0.000,0.001,-0.000,-0.009,0.000,0.000,-0.000,0.003,0.000,0.001,0.001,-0.006,0.000,0.001,-0.000,-0.012,0.000,0.000,-0.001,0.951,0.000,-0.056,-0.028,-0.002,-0.000,0.001,0.000,-0.001,0.000,-0.001,-0.000,0.001,0.000,-0.000,0.000,0.001,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.004,0.005,0.005,0.002,0.001,0.001,0.001,-0.001,0.001,-0.000,-0.002,0.002,-0.001,0.002,-0.001,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.002,0.000,-0.001,0.001,0.001,0.002,0.001,0.003,0.003,0.001,0.001,0.002,0.001,-0.000,0.002,-0.000,-0.002,0.001,-0.000,0.002,-0.001,0.003,0.003,0.004,0.001,0.003,0.001,-0.005,0.003,-0.002,-0.004,0.003,-0.003,0.003,-0.006,0.002,0.002,0.001,0.000,0.003,0.001,0.001,0.003,0.001,-0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.000,-0.002,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.002,0.001,-0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.003,0.000,0.001,0.003,0.001,-0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.003,0.001,-0.000,0.003,0.000,-0.002,0.002,0.000,0.003,-0.001,-0.166,-0.152,-0.246,0.030,-0.865,-0.006,-0.318,-0.865,0.002,0.061,-0.097,-0.253,-0.242,-0.257,0.001,0.001,0.000,0.001,-0.002,0.001,0.001,-0.002,0.001,-0.001,0.001,0.000,0.001,0.000,0.000,0.001,-0.000,0.000,-0.001,0.000,-0.001,-0.001,-0.001,-0.001,0.000,-0.001,0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.002,0.000,-0.000,-0.002,-0.001,-0.001,-0.000,-0.000,-0.000,-0.001,-0.000,-0.000,-0.000,0.000,-0.003,0.000,0.000,-0.003,0.000,-0.000,-0.000,-0.000,0.000
