Starting Dynare (version 6.1).
Calling Dynare with arguments: -ID:\BIG12-Calibrated-KB/eagleParsingTemp/submodules savemacro
Starting preprocessing of the model file ... 
Reading eagle_steady_stage1.txt. 
WARNING: Unknown symbol AUX_ENDO_LAG_426_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_426_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_426_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_410_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_410_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_410_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_393_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_492_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_492_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_492_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1043_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1043_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1043_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1027_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1027_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1027_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1010_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1109_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1109_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1109_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1660_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1660_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1660_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1644_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1644_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1644_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1627_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1726_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1726_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_1726_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2277_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2277_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2277_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2261_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2261_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2261_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2244_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2343_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2343_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2343_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2894_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2894_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2894_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2878_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2878_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2878_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2861_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2960_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2960_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_2960_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3511_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3511_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3511_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3495_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3495_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3495_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3478_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3577_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3577_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_3577_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4128_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4128_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4128_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4112_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4112_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4112_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4095_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4194_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4194_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4194_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4745_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4745_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4745_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4729_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4729_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4729_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4712_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4811_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4811_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_4811_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5362_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5362_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5362_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5346_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5346_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5346_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5329_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5428_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5428_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5428_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5979_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5979_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5979_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5963_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5963_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5963_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_5946_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6045_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6045_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6045_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6596_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6596_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6596_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6580_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6580_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6580_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6563_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6662_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6662_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_6662_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7213_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7213_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7213_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7197_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7197_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7197_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7180_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7279_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7279_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7279_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7833_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7833_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7833_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7817_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7817_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7817_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7800_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7899_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7899_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_7899_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_8452_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_8452_2 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_8452_3 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_8436_1 in eagle_steady_stage1.txt 
WARNING: Unknown symbol AUX_ENDO_LAG_8436_2 in eagle_steady_stage1.txt 
