"Variables ->","EAB","EAC","EAD","EAE","EAG","EAH","EAI","EAJ","EAK","EAL","EAM"
"Comments ->","","","","","","","","","","",""
"Class[Size] ->","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]","Series[32-by-1]"
"2021Q1",0.000,0.031,0.003,0.306,0.000,0.182,0.115,0.000,0.055,0.031,0.000
"2021Q2",0.000,0.031,0.003,0.306,0.000,0.182,0.115,0.000,0.055,0.031,0.000
"2021Q3",0.000,0.031,0.003,0.306,0.000,0.182,0.115,0.000,0.055,0.031,0.000
"2021Q4",0.000,0.031,0.003,0.306,0.000,0.182,0.115,0.000,0.055,0.031,0.000
"2022Q1",0.069,0.090,0.014,0.341,0.000,0.298,0.442,0.037,0.354,0.188,0.000
"2022Q2",0.069,0.090,0.014,0.341,0.000,0.298,0.442,0.037,0.354,0.188,0.000
"2022Q3",0.069,0.090,0.014,0.341,0.000,0.298,0.442,0.037,0.354,0.188,0.000
"2022Q4",0.069,0.090,0.014,0.341,0.000,0.298,0.442,0.037,0.354,0.188,0.000
"2023Q1",0.134,0.062,0.045,0.189,0.000,0.545,0.757,0.038,0.521,0.464,0.000
"2023Q2",0.134,0.062,0.045,0.189,0.000,0.545,0.757,0.038,0.521,0.464,0.000
"2023Q3",0.134,0.062,0.045,0.189,0.000,0.545,0.757,0.038,0.521,0.464,0.000
"2023Q4",0.134,0.062,0.045,0.189,0.000,0.545,0.757,0.038,0.521,0.464,0.000
"2024Q1",0.094,0.118,0.151,0.139,0.000,0.825,1.326,0.034,1.086,1.053,0.000
"2024Q2",0.094,0.118,0.151,0.139,0.000,0.825,1.326,0.034,1.086,1.053,0.000
"2024Q3",0.094,0.118,0.151,0.139,0.000,0.825,1.326,0.034,1.086,1.053,0.000
"2024Q4",0.094,0.118,0.151,0.139,0.000,0.825,1.326,0.034,1.086,1.053,0.000
"2025Q1",0.069,0.147,0.161,0.024,0.000,1.022,1.929,0.033,1.472,1.770,0.000
"2025Q2",0.069,0.147,0.161,0.024,0.000,1.022,1.929,0.033,1.472,1.770,0.000
"2025Q3",0.069,0.147,0.161,0.024,0.000,1.022,1.929,0.033,1.472,1.770,0.000
"2025Q4",0.069,0.147,0.161,0.024,0.000,1.022,1.929,0.033,1.472,1.770,0.000
"2026Q1",0.028,0.128,0.046,0.092,0.000,1.083,2.775,0.029,1.403,1.980,0.000
"2026Q2",0.028,0.128,0.046,0.092,0.000,1.083,2.775,0.029,1.403,1.980,0.000
"2026Q3",0.028,0.128,0.046,0.092,0.000,1.083,2.775,0.029,1.403,1.980,0.000
"2026Q4",0.028,0.128,0.046,0.092,0.000,1.083,2.775,0.029,1.403,1.980,0.000
"2027Q1",0.000,0.000,-0.000,0.000,0.000,0.483,-0.000,0.000,-0.000,0.000,0.000
"2027Q2",0.000,0.000,-0.000,0.000,0.000,0.483,-0.000,0.000,-0.000,0.000,0.000
"2027Q3",0.000,0.000,-0.000,0.000,0.000,0.483,-0.000,0.000,-0.000,0.000,0.000
"2027Q4",0.000,0.000,-0.000,0.000,0.000,0.483,-0.000,0.000,-0.000,0.000,0.000
"2028Q1",0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
"2028Q2",0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
"2028Q3",0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
"2028Q4",0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
